t_s,x_m,y_m,v,heading_deg,mode,sigma_pos,s_m,d_m,v_model,stop
0.000,NaN,NaN,0.0000,0.0000,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.100,NaN,NaN,0.0000,0.0645,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.200,NaN,NaN,0.0000,0.0390,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.300,NaN,NaN,0.0000,0.0567,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.400,NaN,NaN,0.0000,0.0794,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.500,NaN,NaN,0.0000,0.1072,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.600,NaN,NaN,0.0000,0.1377,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.700,NaN,NaN,0.0000,0.1724,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.800,NaN,NaN,0.0000,0.1426,GNSS_INS,NaN,NaN,NaN,0.0637,1
0.900,NaN,NaN,0.0000,0.1913,GNSS_INS,NaN,NaN,NaN,0.0637,1
1.000,NaN,NaN,0.0000,0.2475,GNSS_INS,NaN,NaN,NaN,0.0637,1
1.100,NaN,NaN,0.0000,0.1839,GNSS_INS,NaN,NaN,NaN,0.0637,1
1.200,NaN,NaN,0.0000,0.2525,GNSS_INS,NaN,NaN,NaN,0.0637,1
1.300,NaN,NaN,0.0000,0.2248,GNSS_INS,NaN,NaN,NaN,0.0637,1
1.400,NaN,NaN,0.0000,0.3512,GNSS_INS,NaN,NaN,NaN,0.0637,1
1.500,NaN,NaN,0.0000,0.3641,GNSS_INS,NaN,NaN,NaN,0.0637,1
1.600,-0.0039,-0.0006,0.0000,0.3481,GNSS_INS,2.3523,15.356,4.780,0.0637,1
1.700,-0.0039,-0.0006,0.0000,0.3686,GNSS_INS,2.3523,15.356,4.780,0.0637,1
1.800,-0.0039,-0.0006,0.0000,0.3689,GNSS_INS,2.3523,15.356,4.780,0.0637,1
1.900,-0.0039,-0.0006,0.0000,0.3284,GNSS_INS,2.3523,15.356,4.780,0.0637,1
2.000,-0.0039,-0.0006,0.0000,0.3028,GNSS_INS,2.3523,15.356,4.780,0.0637,1
2.100,-0.0039,-0.0006,0.0000,0.2999,GNSS_INS,2.3523,15.356,4.780,0.0637,1
2.200,-0.0039,-0.0006,0.0000,0.2788,GNSS_INS,2.3523,15.356,4.780,0.0637,1
2.300,-0.0039,-0.0006,0.0000,0.2448,GNSS_INS,1.9986,15.356,4.780,0.0637,1
2.400,-0.0039,-0.0006,0.0000,0.2472,GNSS_INS,1.9986,15.356,4.780,0.0637,1
2.500,-0.0039,-0.0006,0.0000,0.2199,GNSS_INS,1.9986,15.356,4.780,0.0637,1
2.600,-0.0039,-0.0006,0.0000,0.2028,GNSS_INS,1.9986,15.356,4.780,0.0637,1
2.700,-0.0039,-0.0006,0.0000,0.1935,GNSS_INS,1.9986,15.356,4.780,0.0637,1
2.800,-0.0039,-0.0006,0.0000,0.1834,GNSS_INS,1.9986,15.356,4.780,0.0637,1
2.900,-0.0039,-0.0006,0.0000,0.1896,GNSS_INS,1.9986,15.356,4.780,0.0637,1
3.000,-0.0039,-0.0006,0.0000,0.1980,GNSS_INS,1.9986,15.356,4.780,0.0637,1
3.100,-0.0039,-0.0006,0.0000,0.2488,GNSS_INS,1.9986,15.356,4.780,0.0637,1
3.200,-0.0039,-0.0006,0.0000,0.2647,GNSS_INS,1.9986,15.356,4.780,0.0637,1
3.300,-0.0126,0.0021,0.0000,0.3197,GNSS_INS,1.7679,15.357,4.771,0.0637,1
3.400,-0.0126,0.0021,0.0000,0.3469,GNSS_INS,1.7679,15.357,4.771,0.0637,1
3.500,-0.0126,0.0021,0.0000,0.3723,GNSS_INS,1.7679,15.357,4.771,0.0637,1
3.600,-0.0126,0.0021,0.0000,0.3746,GNSS_INS,1.7679,15.357,4.771,0.0637,1
3.700,-0.0126,0.0021,0.0000,0.4104,GNSS_INS,1.7679,15.357,4.771,0.0707,1
3.800,-0.0126,0.0021,0.0000,0.3999,GNSS_INS,1.7679,15.357,4.771,0.0125,1
3.900,-0.0126,0.0021,0.0000,0.3854,GNSS_INS,1.7679,15.357,4.771,0.0162,1
4.000,-0.0126,0.0021,0.0000,0.3839,GNSS_INS,1.7679,15.357,4.771,0.0147,1
4.100,-0.0126,0.0021,0.0000,0.3417,GNSS_INS,1.7679,15.357,4.771,0.0153,1
4.200,-0.0126,0.0021,0.0000,0.3377,GNSS_INS,1.7679,15.357,4.771,0.0045,1
4.300,-0.0042,-0.0012,0.0000,0.3269,GNSS_INS,1.6022,15.357,4.780,0.0073,1
4.400,-0.0042,-0.0012,0.0000,0.3172,GNSS_INS,1.6022,15.357,4.780,0.0086,1
4.500,-0.0042,-0.0012,0.0000,0.3052,GNSS_INS,1.6022,15.357,4.780,0.0000,1
4.600,-0.0042,-0.0012,0.0000,0.3016,GNSS_INS,1.6022,15.357,4.780,0.0000,1
4.700,-0.0042,-0.0012,0.0000,0.2932,GNSS_INS,1.6022,15.357,4.780,0.0000,1
4.800,-0.0042,-0.0012,0.0000,0.3042,GNSS_INS,1.6022,15.357,4.780,0.0000,1
4.900,-0.0042,-0.0012,0.0000,0.3145,GNSS_INS,1.6022,15.357,4.780,0.0000,1
5.000,-0.0042,-0.0012,0.0000,0.3188,GNSS_INS,1.6022,15.357,4.780,0.0000,1
5.100,-0.0042,-0.0012,0.0000,0.3259,GNSS_INS,1.6022,15.357,4.780,0.0000,1
5.200,-0.0042,-0.0012,0.0000,0.3316,GNSS_INS,1.6022,15.357,4.780,0.0000,1
5.300,-0.0009,-0.0041,0.0000,0.3485,GNSS_INS,1.4757,15.358,4.784,0.0000,1
5.400,-0.0009,-0.0041,0.0000,0.3516,GNSS_INS,1.4757,15.358,4.784,0.0000,1
5.500,-0.0009,-0.0041,0.0000,0.3538,GNSS_INS,1.4757,15.358,4.784,0.0000,1
5.600,-0.0009,-0.0041,0.0000,0.3527,GNSS_INS,1.4757,15.358,4.784,0.0000,1
5.700,-0.0009,-0.0041,0.0000,0.3499,GNSS_INS,1.4757,15.358,4.784,0.0000,1
5.800,-0.0009,-0.0041,0.0000,0.3458,GNSS_INS,1.4757,15.358,4.784,0.0000,1
5.900,-0.0009,-0.0041,0.0000,0.3471,GNSS_INS,1.4757,15.358,4.784,0.0000,1
6.000,-0.0009,-0.0041,0.0000,0.3394,GNSS_INS,1.4757,15.358,4.784,0.0000,1
6.100,-0.0009,-0.0041,0.0000,0.3434,GNSS_INS,1.4757,15.358,4.784,0.0000,1
6.200,-0.0009,-0.0041,0.0000,0.3493,GNSS_INS,1.4757,15.358,4.784,0.0000,1
6.300,-0.0046,-0.0023,0.0000,0.3472,GNSS_INS,1.3752,15.358,4.780,0.0000,1
6.400,-0.0046,-0.0023,0.0000,0.3361,GNSS_INS,1.3752,15.358,4.780,0.0000,1
