t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.5793387,18828083164242,28.5226828,77.5739808,155.9047852,3.7900925,0.0000000,,29,-0.0088028,-0.0027830
2.2593387,18828763164242,28.5226828,77.5739808,155.9046631,3.7900925,0.0000000,,29,-0.0088028,-0.0027830
3.2604523,18829764277888,28.5226828,77.5739807,155.9027710,3.7900925,0.0000000,,53,-0.0097809,-0.0050094
4.2613446,18830765170127,28.5226828,77.5739808,155.9071655,3.7900925,0.0000000,,55,-0.0058685,-0.0061226
5.2566201,18831760445647,28.5226827,77.5739808,155.9052124,3.7900925,0.0000000,,56,-0.0058685,-0.0072358
6.2577198,18832761545335,28.5226828,77.5739808,155.9020996,3.7900925,0.0000000,,57,-0.0019562,-0.0050094
7.2515987,18833755424293,28.5226828,77.5739808,155.8965454,3.7900925,0.0000000,,56,0.0000000,-0.0027830
8.2534760,18834757301532,28.5226828,77.5739808,155.8915405,3.7900925,0.0000000,,58,0.0009781,0.0005566
9.2599381,18835763763615,28.5226828,77.5739809,155.8868408,3.7900925,0.0000000,,59,0.0039124,-0.0005566
10.2596831,18836763508666,28.5226828,77.5739809,155.8847046,3.7900925,0.0000000,,59,0.0078247,-0.0005566
11.2620979,18837765923405,28.5226829,77.5739809,155.8772583,3.7900925,0.0000000,,59,0.0029343,0.0128018
12.2485381,18838752363665,28.5226829,77.5739809,155.8796387,3.7900925,0.0000000,,58,0.0058685,0.0083490
13.2572286,18839761054186,28.5226829,77.5739809,155.8803711,3.7900925,0.0000000,,58,0.0078247,0.0061226
14.2611793,18840765004862,28.5226828,77.5739810,155.8809814,3.7900925,0.0000000,,58,0.0117371,0.0050094
15.2497885,18841753614082,28.5226828,77.5739810,155.8828125,3.7900925,0.0000000,,58,0.0146713,0.0016698
16.2547795,18842758605018,28.5226828,77.5739810,155.8807373,3.7900925,0.0000000,,58,0.0176056,0.0016698
17.2524148,18843756240382,28.5226755,77.5739804,155.6741943,3.7900925,0.4600000,201.9000000,58,-0.0410797,-0.8120794
18.2583442,18844762169705,28.5226614,77.5739762,155.9371338,3.7900925,1.6100000,200.0000000,60,-0.4499209,-2.3783518
19.2532857,18845757111267,28.5226485,77.5739708,155.9107056,3.7900925,1.4500000,204.1000000,61,-0.9829793,-3.8232854
20.2607488,18846764574340,28.5226356,77.5739675,155.8373413,3.7900925,1.5300000,195.5000000,60,-1.3047705,-5.2526342
