t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=-426.3 s=213.6 count=0 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=0.0 s=15.4 count=1 corridors=2"
1.597,RECOG,"SNU_R1 fix=2 d=-426.3 s=213.6 count=0 corridors=2"
1.597,RECOG,"SNU_R2 fix=2 d=0.0 s=15.4 count=2 corridors=2"
2.800,RECOG,"SNU_R1 fix=3 d=-426.3 s=213.6 count=0 corridors=2"
2.800,RECOG,"SNU_R2 fix=3 d=0.0 s=15.5 count=3 corridors=2"
3.803,RECOG,"SNU_R1 fix=4 d=-426.3 s=213.6 count=0 corridors=2"
3.803,RECOG,"SNU_R2 fix=4 d=0.0 s=15.5 count=4 corridors=2"
4.798,RECOG,"SNU_R1 fix=5 d=-426.3 s=213.6 count=0 corridors=2"
4.798,RECOG,"SNU_R2 fix=5 d=0.0 s=15.5 count=5 corridors=2"
5.805,RECOG,"SNU_R1 fix=6 d=-426.3 s=213.6 count=0 corridors=2"
5.805,RECOG,"SNU_R2 fix=6 d=0.0 s=15.5 count=6 corridors=2"
6.803,RECOG,"SNU_R1 fix=7 d=-426.3 s=213.6 count=0 corridors=2"
6.803,RECOG,"SNU_R2 fix=7 d=0.0 s=15.5 count=7 corridors=2"
7.804,RECOG,"SNU_R1 fix=8 d=-426.3 s=213.6 count=0 corridors=2"
7.804,RECOG,"SNU_R2 fix=8 d=0.0 s=15.5 count=8 corridors=2"
7.804,CORRIDOR,"recognised SNU_R2 (Circular Rd) s=15.5 d=0.0 s_start=15.5"
15.001,ALIGN,"stand g=9.870 pitch=2.03 roll=67.45 bias_dps=[-0.011 -0.045 0.144] quiet=true qfrac=0.86 rot=2.78deg"
15.002,PHASE,"RIDE"
20.798,MOTION_START,"v=1.68"
21.900,DIRECTION,"AB"
26.800,ALIGN,"psi=58.11 (init) pitch=2.03 roll=67.45 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=58.11 (init) pitch=0.72 roll=68.15 blocks=1 moved_at=NaN sway_ratio=NaN"
40.790,ALIGN,"psi=90.50 (sway) pitch=0.72 roll=68.15 blocks=1 moved_at=NaN sway_ratio=70.3"
40.800,ARMED,""
45.010,ALIGN,"psi=90.50 (sway) pitch=0.69 roll=67.80 blocks=2 moved_at=NaN sway_ratio=70.3"
50.790,ALIGN,"psi=90.34 (sway) pitch=0.69 roll=67.80 blocks=2 moved_at=NaN sway_ratio=75.3"
55.010,ALIGN,"psi=90.34 (sway) pitch=0.78 roll=67.58 blocks=3 moved_at=NaN sway_ratio=75.3"
60.790,ALIGN,"psi=90.43 (sway) pitch=0.78 roll=67.58 blocks=3 moved_at=NaN sway_ratio=49.2"
63.801,SIM_ENTER,"armed=true"
63.900,MODE,"GNSS_INS->INERTIAL sim"
63.900,DISARMED,"gnss5s"
63.900,BAND_ENTER,""
65.010,ALIGN,"psi=90.43 (sway) pitch=0.71 roll=67.40 blocks=4 moved_at=NaN sway_ratio=49.2"
70.790,ALIGN,"psi=90.14 (sway) pitch=0.71 roll=67.40 blocks=4 moved_at=NaN sway_ratio=47.9"
75.010,ALIGN,"psi=90.14 (sway) pitch=0.57 roll=67.50 blocks=5 moved_at=NaN sway_ratio=47.9"
80.790,ALIGN,"psi=89.91 (sway) pitch=0.57 roll=67.50 blocks=5 moved_at=NaN sway_ratio=58.2"
