t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=3.6 s=334.1 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-417.0 s=280.0 count=0 corridors=2"
1.593,RECOG,"SNU_R1 fix=2 d=3.6 s=334.0 count=2 corridors=2"
1.593,RECOG,"SNU_R2 fix=2 d=-416.9 s=280.0 count=0 corridors=2"
2.857,RECOG,"SNU_R1 fix=3 d=3.6 s=333.5 count=3 corridors=2"
2.857,RECOG,"SNU_R2 fix=3 d=-416.7 s=280.1 count=0 corridors=2"
3.851,RECOG,"SNU_R1 fix=4 d=3.7 s=333.3 count=4 corridors=2"
3.851,RECOG,"SNU_R2 fix=4 d=-416.6 s=280.2 count=0 corridors=2"
4.855,RECOG,"SNU_R1 fix=5 d=3.7 s=333.1 count=5 corridors=2"
4.855,RECOG,"SNU_R2 fix=5 d=-416.4 s=280.3 count=0 corridors=2"
5.844,RECOG,"SNU_R1 fix=6 d=3.7 s=333.0 count=6 corridors=2"
5.844,RECOG,"SNU_R2 fix=6 d=-416.3 s=280.3 count=0 corridors=2"
6.850,RECOG,"SNU_R1 fix=7 d=3.8 s=332.9 count=7 corridors=2"
6.850,RECOG,"SNU_R2 fix=7 d=-416.2 s=280.4 count=0 corridors=2"
7.847,RECOG,"SNU_R1 fix=8 d=3.8 s=332.8 count=8 corridors=2"
7.847,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=332.8 d=3.8 s_start=332.8"
15.000,ALIGN,"stand g=9.872 pitch=3.74 roll=65.47 bias_dps=[-0.016 -0.028 0.013] quiet=true qfrac=0.86 rot=0.96deg"
15.000,PHASE,"RIDE"
18.849,MOTION_START,"v=2.32"
18.900,DIRECTION,"BA"
24.850,ALIGN,"psi=35.74 (init) pitch=3.74 roll=65.47 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=35.74 (init) pitch=0.08 roll=66.42 blocks=1 moved_at=NaN sway_ratio=NaN"
38.840,ALIGN,"psi=92.17 (sway) pitch=0.08 roll=66.42 blocks=1 moved_at=NaN sway_ratio=14.9"
38.900,ARMED,""
39.849,SIM_ENTER,"armed=true"
39.900,MODE,"GNSS_INS->INERTIAL sim"
39.900,DISARMED,"gnss5s"
39.900,BAND_ENTER,""
45.010,ALIGN,"psi=92.17 (sway) pitch=0.30 roll=66.27 blocks=2 moved_at=NaN sway_ratio=14.9"
48.840,ALIGN,"psi=92.62 (sway) pitch=0.30 roll=66.27 blocks=2 moved_at=NaN sway_ratio=14.2"
55.010,ALIGN,"psi=92.62 (sway) pitch=0.43 roll=65.90 blocks=3 moved_at=NaN sway_ratio=14.2"
58.840,ALIGN,"psi=91.51 (sway) pitch=0.43 roll=65.90 blocks=3 moved_at=NaN sway_ratio=9.1"
61.851,REVEAL,"off_by_m=7.9 distance_m=137 duration_s=23 max_err_m=10.5 sim=true armed=true"
61.900,MODE,"INERTIAL->RECOVERING"
61.900,BAND_EXIT,""
64.900,MODE,"RECOVERING->GNSS_INS"
65.010,ALIGN,"psi=91.51 (sway) pitch=0.36 roll=65.97 blocks=4 moved_at=NaN sway_ratio=9.1"
66.900,ARMED,""
68.840,ALIGN,"psi=89.81 (sway) pitch=0.36 roll=65.97 blocks=4 moved_at=NaN sway_ratio=8.1"
75.010,ALIGN,"psi=89.81 (sway) pitch=0.25 roll=65.65 blocks=5 moved_at=NaN sway_ratio=8.1"
80.454,PHASE,"STOP_STAND"
95.455,PHASE,"DONE"
