t_ns,clk_time_ns,full_bias_ns,bias_ns,drift_nps,hw_clock_disc,leap_s,time_unc_ns,bias_unc_ns,drift_unc_nps,constellation,svid,cn0,baseband_cn0,pr_rate_mps,pr_rate_unc,adr_state,adr_m,adr_unc_m,carrier_freq_hz,multipath,received_sv_time_ns,state,agc_db,code_type
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,1,3,30.9,25.9,19.86665916442871,0.9075000286102295,16,0.0,0.0,1.57542E9,0,497820974967761,16399,-53.02,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,1,14,39.2,34.2,299.2653503417969,0.9160000681877136,16,0.0,0.0,1.57542E9,0,497820985085729,16399,-53.02,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,1,17,42.0,37.0,363.7273254394531,0.8705000281333923,16,0.0,0.0,1.57542E9,0,497820982564686,16399,-53.02,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,1,19,42.9,37.9,52.34027862548828,0.8615000247955322,16,0.0,0.0,1.57542E9,0,497820988017146,16399,-53.02,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,1,22,43.9,38.9,102.9869384765625,0.846000075340271,16,0.0,0.0,1.57542E9,0,497820985906951,16399,-53.02,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,1,24,36.0,31.0,-223.043212890625,0.9890000224113464,16,0.0,0.0,1.57542E9,0,497820983073884,16399,-53.02,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,1,30,35.7,30.700000000000003,689.1104736328125,0.7430000305175781,16,0.0,0.0,1.57542E9,0,497820977992834,16399,-53.02,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,3,18,39.7,35.7,726.9859008789062,0.9655000567436218,16,0.0,0.0,1.6003124E9,0,76602982072035,49359,-55.4,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,3,9,39.3,35.3,-406.1465759277344,0.6820000410079956,16,0.0,0.0,1.600875E9,0,76602991146548,49359,-55.4,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,3,16,36.0,32.0,303.8851623535156,1.0099999904632568,16,0.0,0.0,1.6014374E9,0,76602989459567,49359,-55.4,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,3,19,37.9,33.9,198.92225646972656,0.9754999876022339,16,0.0,0.0,1.6036876E9,0,76602992531749,49359,-55.4,C
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,5,38,41.4,37.1,59.484230041503906,0.9075000286102295,16,0.0,0.0,1.561098E9,0,497806984891459,16399,-59.84,I
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,5,37,36.6,32.300000000000004,-576.492919921875,0.6649999618530273,16,0.0,0.0,1.561098E9,0,497806969842188,16399,-59.84,I
15856832647001,15781770000000,-1472565239286901940,0.4216456413269043,-7.461203682291216,2,18,0.0,105052.46371030807,23.56242414674622,5,34,44.4,40.1,504.3917236328125,0.8795000314712524,16,0.0,0.0,1.561098E9,0,497806976462886,16399,-59.84,I
