t_ns,qx,qy,qz,qw
15856026102801,0.37204453,0.3965274,0.5856587,0.60112625
15856030861186,0.37203607,0.3965095,0.58566976,0.6011325
15856035619519,0.37204075,0.39649162,0.5856814,0.6011301
15856040377905,0.37203357,0.39647543,0.58569145,0.60113543
15856045136290,0.37202883,0.396459,0.58570164,0.6011392
15856049894676,0.37202197,0.3964527,0.5857054,0.60114396
15856054653061,0.37202042,0.39644447,0.5857106,0.60114527
15856059411446,0.37201664,0.39643815,0.5857145,0.601148
15856064169780,0.37201306,0.39643133,0.5857188,0.6011506
15856068928165,0.37201893,0.39641288,0.5857307,0.6011475
15856073686551,0.37203726,0.3963885,0.58574694,0.6011364
15856078444936,0.37206137,0.3963583,0.58576715,0.6011217
15856083203321,0.37209338,0.3963073,0.5858009,0.60110265
15856087961707,0.37213677,0.3962521,0.58583766,0.6010763
15856092720040,0.37219313,0.39618868,0.5858803,0.60104173
15856097478426,0.37224355,0.39613163,0.5859185,0.6010108
15856102236811,0.3722928,0.39608407,0.5859506,0.6009803
15856106995717,0.3723384,0.39604688,0.58597606,0.6009518
15856111753582,0.37236375,0.3960278,0.5860014,0.60092396
15856116511967,0.37237942,0.39602286,0.58601683,0.6009023
15856121270301,0.37238142,0.39603642,0.5860185,0.60089064
15856126028686,0.37237367,0.39606068,0.5860094,0.6008883
15856130787071,0.3723673,0.39608172,0.58599573,0.6008917
15856135545457,0.37235442,0.39610988,0.58597744,0.60089904
15856140303842,0.37233114,0.39613843,0.5859583,0.6009132
15856145062176,0.37230277,0.3961642,0.58594084,0.6009309
15856149820509,0.37227413,0.39618933,0.58592373,0.60094875
15856154578946,0.37224382,0.39620984,0.5859095,0.6009679
15856159337332,0.37221426,0.39622107,0.5859012,0.60098684
15856164095717,0.37218106,0.3962342,0.5858915,0.6010082
15856168854103,0.37215525,0.39624408,0.5858842,0.6010248
15856173612436,0.37213528,0.39625284,0.58587795,0.6010375
15856178370821,0.37212828,0.39625767,0.58587456,0.6010419
15856183129207,0.37214074,0.39625788,0.5858749,0.60103375
15856187887592,0.37217233,0.39625847,0.5858757,0.601013
15856192645978,0.37220746,0.39625916,0.58587664,0.6009899
15856197404363,0.37223554,0.39626437,0.58587444,0.6009712
15856202162696,0.37224963,0.3962918,0.5858628,0.6009557
15856206921082,0.37226108,0.39632696,0.5858466,0.6009412
15856211679467,0.37226227,0.39636394,0.58582824,0.60093397
15856216437853,0.3722635,0.3964043,0.5858027,0.6009316
15856221196238,0.37225607,0.39643994,0.58577967,0.6009351
15856225954571,0.37224522,0.3964677,0.5857615,0.6009411
15856230712957,0.3722336,0.39648545,0.5857498,0.6009481
15856235471342,0.37220797,0.39649406,0.58574337,0.6009646
15856240229728,0.37217483,0.39649126,0.58574384,0.6009865
15856244988113,0.37214556,0.39648917,0.585744,0.6010058
15856249746499,0.37211087,0.39649433,0.5857395,0.6010284
15856254504832,0.37207487,0.39649475,0.58573765,0.60105205
15856259263217,0.37204048,0.39649856,0.585734,0.60107446
15856264021603,0.37201998,0.3965007,0.58573174,0.60108787
15856268779988,0.37201014,0.39649773,0.58573323,0.6010944
15856273538374,0.37201482,0.3964833,0.5857428,0.6010919
15856278296707,0.37202367,0.39645967,0.5857581,0.60108703
15856283055092,0.3720369,0.3964339,0.58577496,0.60107934
15856287813478,0.37205055,0.39640757,0.58579236,0.60107136
15856292571863,0.3720686,0.3963905,0.58580387,0.6010602
15856297330249,0.37208012,0.39639032,0.58580965,0.6010475
15856302088582,0.37208557,0.3964065,0.5858067,0.60103637
15856306846967,0.37207213,0.39645097,0.5857861,0.60103554
