t_ns,wall_ms,batt_pct,charging,batt_temp_c,thermal_status,rotation,free_bytes
19996634174891,1788549942808,46,false,31.8,0,0,5831290880
20001653277701,1788549947827,46,false,31.8,0,0,5827268608
20006671216293,1788549952845,46,false,31.8,0,0,5823381504
20011688293531,1788549957862,46,false,31.8,0,0,5822345216
20016706662487,1788549962880,46,false,31.8,0,0,5821399040
20021733806860,1788549967908,46,false,31.8,0,0,5820297216
20026786333681,1788549972960,46,false,31.8,0,0,5816582144
20031812697013,1788549977987,46,false,31.8,0,0,5813788672
20036852338990,1788549983026,46,false,31.8,0,0,5806764032
20041862959613,1788549988037,46,false,31.8,0,0,5805355008
20046878258830,1788549993052,46,false,31.8,0,0,5800943616
20051919087838,1788549998093,46,false,31.8,0,0,5799149568
