run,dir,n_train,speed_mae,speed_mae_moving,speed_bias_moving,v_mean,outage_m,outage_s,last_end_m,ml_end_m,ml_rmse_m,ml_drift_pct,last_drift_pct,ml_after_stop_m,last_after_stop_m,heading_err_deg
run1,AB,21295,0.212,0.268,-0.02,3.03,230.0,82.0,24.5,11.2,6.8,4.9,10.6,11.2,68.4,-2.7
run2,BA,21465,0.132,0.15,0.006,3.31,213.0,66.0,15.1,5.0,2.4,2.4,7.1,5.6,66.3,0.1
run3,AB,21404,0.15,0.18,-0.026,3.28,220.0,72.0,39.1,6.5,3.0,3.0,17.8,6.4,91.2,-0.7
run4,BA,21555,0.161,0.178,-0.058,3.69,195.0,57.0,27.2,8.2,3.2,4.2,13.9,8.3,85.1,-1.2
run5,AB,21479,0.173,0.191,0.012,3.4,213.0,64.0,4.3,9.7,4.6,4.5,2.0,9.6,54.1,2.0
run6,BA,21545,0.151,0.171,-0.034,3.67,206.0,58.0,24.1,11.7,4.9,5.7,11.7,11.9,82.7,-2.9
run7,AB,21486,0.181,0.217,0.015,3.43,215.0,63.0,30.6,11.4,7.5,5.3,14.2,11.3,85.2,2.1
run9,BA,21495,0.17,0.196,0.025,3.44,221.0,63.0,25.8,14.4,5.8,6.5,11.6,14.1,81.9,-2.9
run10,AB,21735,0.284,0.358,-0.163,4.6,181.0,40.0,16.3,11.6,10.8,6.4,9.0,11.3,85.9,7.0
run11,BA,21793,0.21,0.272,-0.076,5.14,144.0,32.0,71.8,2.5,4.9,1.7,49.8,1.5,174.4,2.3
run12,AB,21729,0.25,0.288,-0.049,4.65,194.0,40.0,44.1,27.6,13.9,14.2,22.7,28.7,109.3,-9.5
run13,BA,21724,0.344,0.479,-0.128,4.88,147.0,40.0,52.6,12.8,6.5,8.7,35.9,12.9,127.2,3.1
run14,AB,21717,0.256,0.326,-0.249,4.62,176.0,40.0,47.7,4.5,6.7,2.5,27.1,3.0,134.9,2.7
run15,BA,21661,0.246,0.315,0.004,4.23,171.0,47.0,47.5,32.7,18.4,19.1,27.8,32.9,102.6,9.7
run16,AB,21520,0.252,0.296,0.114,3.56,201.0,60.0,38.4,19.6,9.2,9.8,19.1,20.1,97.2,-2.4
run17,BA,21584,0.189,0.235,0.039,3.89,201.0,53.0,45.3,30.8,15.7,15.3,22.5,31.3,100.5,-10.1
run18,AB,21655,0.198,0.25,-0.048,4.22,176.0,46.0,57.9,10.7,7.3,6.1,32.9,10.7,132.9,8.4
run19,BA,21750,0.206,0.265,-0.117,4.75,148.0,38.0,27.1,5.1,3.6,3.4,18.3,4.9,97.0,-3.2
run20,AB,21639,0.198,0.248,-0.048,4.19,175.0,48.0,44.9,7.2,4.5,4.1,25.7,7.5,114.4,1.4
run21,BA,21601,0.249,0.292,0.052,3.92,189.0,53.0,48.8,16.4,7.5,8.7,25.8,17.8,116.5,-2.5
