t_ns,qx,qy,qz,qw,heading_acc_rad
21846339430763,0.49782452,-0.17614417,-0.39220336,0.7532068,-1.0
21846344188627,0.49954373,-0.17503636,-0.38786513,0.75457203,-1.0
21846348946544,0.50156724,-0.17362486,-0.38149884,0.7567981,-1.0
21846353704409,0.5018118,-0.17663606,-0.38159594,0.75588965,-1.0
21846358462325,0.50310415,-0.17562084,-0.37627456,0.75793207,-1.0
21846363220190,0.5045384,-0.1734347,-0.37044394,0.76035035,-1.0
21846367978106,0.5051295,-0.17294279,-0.36835524,0.7610843,-1.0
21846372735971,0.5041835,-0.17556833,-0.37152126,0.7595701,-1.0
21846377493888,0.5039938,-0.17563644,-0.3711637,0.759855,-1.0
21846382251752,0.5051234,-0.17228258,-0.36530364,0.76270723,-1.0
21846387009669,0.50514096,-0.17219853,-0.3641974,0.76324344,-1.0
21846391767534,0.5041265,-0.17498825,-0.36711732,0.76187956,-1.0
21846396525450,0.5041866,-0.17482376,-0.36537609,0.76271415,-1.0
21846401283315,0.50426877,-0.17474541,-0.36382037,0.7634211,-1.0
21846406041231,0.50428855,-0.17458966,-0.3624601,0.7640904,-1.0
21846410799096,0.5029403,-0.17804213,-0.3669363,0.7620432,-1.0
21846415557013,0.50261086,-0.17817475,-0.36691687,0.76223886,-1.0
21846420314877,0.501469,-0.18032107,-0.37030742,0.7608453,-1.0
21846425072794,0.5009849,-0.18062818,-0.37096125,0.7607728,-1.0
21846429830659,0.5004992,-0.18117432,-0.37167913,0.7606123,-1.0
21846434588575,0.5003601,-0.1812458,-0.37144297,0.76080215,-1.0
21846439346440,0.50029814,-0.1815037,-0.37124327,0.76087886,-1.0
21846444104356,0.5005168,-0.18129945,-0.37039942,0.76119494,-1.0
21846448862221,0.5007841,-0.18107204,-0.369865,0.7613331,-1.0
21846453620138,0.50122935,-0.18051124,-0.36920902,0.76149166,-1.0
21846458378002,0.5015747,-0.18029751,-0.36947218,0.7611872,-1.0
21846463135919,0.50132626,-0.18143608,-0.3721872,0.7597563,-1.0
21846467893784,0.5013934,-0.18148676,-0.37340492,0.7591021,-1.0
21846472651700,0.5005866,-0.1840156,-0.3782011,0.75664735,-1.0
21846477409565,0.50063926,-0.18407644,-0.37889588,0.75625,-1.0
21846482167481,0.5004611,-0.18461789,-0.37988463,0.75573975,-1.0
21846486925346,0.50042266,-0.18466519,-0.3797258,0.7558335,-1.0
