t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=572.6 s=0.0 count=0 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-4.4 s=903.4 count=1 corridors=2"
1.250,RECOG,"SNU_R1 fix=2 d=572.6 s=0.0 count=0 corridors=2"
1.250,RECOG,"SNU_R2 fix=2 d=-4.4 s=903.4 count=2 corridors=2"
2.531,RECOG,"SNU_R1 fix=3 d=572.6 s=0.0 count=0 corridors=2"
2.531,RECOG,"SNU_R2 fix=3 d=-4.4 s=903.4 count=3 corridors=2"
3.533,RECOG,"SNU_R1 fix=4 d=572.6 s=0.0 count=0 corridors=2"
3.533,RECOG,"SNU_R2 fix=4 d=-4.4 s=903.4 count=4 corridors=2"
4.536,RECOG,"SNU_R1 fix=5 d=572.6 s=0.0 count=0 corridors=2"
4.536,RECOG,"SNU_R2 fix=5 d=-4.4 s=903.4 count=5 corridors=2"
5.527,RECOG,"SNU_R1 fix=6 d=572.6 s=0.0 count=0 corridors=2"
5.527,RECOG,"SNU_R2 fix=6 d=-4.4 s=903.5 count=6 corridors=2"
6.537,RECOG,"SNU_R1 fix=7 d=572.6 s=0.0 count=0 corridors=2"
6.537,RECOG,"SNU_R2 fix=7 d=-4.4 s=903.5 count=7 corridors=2"
7.538,RECOG,"SNU_R1 fix=8 d=572.6 s=0.0 count=0 corridors=2"
7.538,RECOG,"SNU_R2 fix=8 d=-4.4 s=903.5 count=8 corridors=2"
7.538,CORRIDOR,"recognised SNU_R2 (Circular Rd) s=903.5 d=-4.4 s_start=903.5"
15.001,ALIGN,"stand g=9.870 pitch=1.56 roll=67.42 bias_dps=[0.021 0.035 -0.025] quiet=true qfrac=1.00 rot=0.27deg"
15.002,PHASE,"RIDE"
33.535,MOTION_START,"v=2.08"
34.600,DIRECTION,"BA"
39.540,ALIGN,"psi=46.36 (init) pitch=1.56 roll=67.42 blocks=0 moved_at=NaN sway_ratio=NaN"
45.010,ALIGN,"psi=46.36 (init) pitch=1.01 roll=68.35 blocks=1 moved_at=NaN sway_ratio=NaN"
53.530,ALIGN,"psi=91.62 (sway) pitch=1.01 roll=68.35 blocks=1 moved_at=NaN sway_ratio=10.4"
53.600,ARMED,""
55.010,ALIGN,"psi=91.62 (sway) pitch=1.03 roll=68.24 blocks=2 moved_at=NaN sway_ratio=10.4"
