t_ns,hPa
19042432003292,982.85767
19042472001313,982.8611
19042512003552,982.85913
19042552004542,982.865
19042592004750,982.8601
19042632004854,982.86475
19042672003709,982.8667
19042712003136,982.87256
19042752002511,982.8689
19042792005375,982.87036
19042832022979,982.8677
19042872002354,982.8677
19042912003448,982.8672
19042952006365,982.86816
19042992008500,982.8723
19043032004750,982.8738
19043072003865,982.8677
19043112002719,982.8694
19043152004125,982.8701
19043192001573,982.86865
19043232004386,982.8655
19043272197615,982.87305
19043312001573,982.8711
19043352004073,982.86597
19043392004750,982.8596
19043432004125,982.8638
19043472057302,982.86426
19043512004959,982.8616
19043552004282,982.86597
19043592003865,982.8679
19043632002979,982.85986
19043672004386,982.85986
19043712009073,982.85645
19043752003552,982.8535
19043792009490,982.85815
19043832005011,982.8572
19043872014802,982.86255
19043912004959,982.8606
19043952003448,982.8552
19043992002823,982.86426
19044032005427,982.8616
19044072005636,982.85864
19044112015792,982.85254
19044152001521,982.85425
19044192004802,982.8596
19044232005896,982.8518
19044272003396,982.8508
19044312006052,982.85815
19044352002927,982.8562
19044392002094,982.8696
19044432005792,982.8618
19044472003136,982.8667
19044512006052,982.86914
19044552003813,982.8655
19044592001729,982.86694
19044632004282,982.86694
19044672003657,982.8655
19044712007511,982.8601
19044752006209,982.8557
19044792001677,982.85547
19044832005115,982.8633
19044872004542,982.85864
19044912003865,982.85547
19044952005532,982.855
19044992003552,982.8623
19045032004073,982.8601
19045072005427,982.864
19045112002927,982.86035
19045152004386,982.86206
19045192005427,982.8533
19045232002823,982.8535
19045272002771,982.8623
19045312004177,982.8657
19045352004750,982.87085
19045392197511,982.87427
19045432002407,982.87744
19045472005063,982.86816
19045512004854,982.87036
19045552006677,982.8684
19045592130375,982.8645
19045632007459,982.85547
19045672002563,982.86035
19045712003813,982.85864
19045752004646,982.8613
19045792004282,982.86304
19045832005740,982.8628
19045872004229,982.86426
19045912004646,982.8635
19045952003709,982.86597
19045992004907,982.8699
19046032007094,982.86914
19046072091782,982.8677
19046112002615,982.8572
19046152005219,982.8616
19046192007511,982.8684
19046232004594,982.86646
19046272002563,982.8696
19046312006104,982.86475
19046352003500,982.8679
19046392002927,982.8728
19046432004750,982.86914
19046472004490,982.8633
19046512002146,982.86816
19046552003865,982.865
19046592005844,982.86743
19046632004021,982.8679
19046672005688,982.86523
19046712001938,982.8623
19046752005063,982.8635
19046792004594,982.86816
19046832003969,982.8679
19046872007354,982.86597
19046912002250,982.8655
19046952001834,982.8628
19046992005011,982.8679
19047032003292,982.8733
19047072093761,982.87085
19047112002875,982.8677
19047152002407,982.8618
19047192003604,982.8633
19047232003709,982.8589
19047272004542,982.85815
19047312004646,982.8699
19047352004698,982.8696
19047392004959,982.8672
19047432006990,982.86304
19047472003865,982.86304
19047512006938,982.8562
19047552004802,982.85913
19047592004490,982.865
19047632002875,982.86255
19047672003709,982.8638
19047712028500,982.8672
19047752008813,982.86523
19047792003969,982.8667
19047832003240,982.87036
19047872004490,982.874
19047912005167,982.87573
19047952058292,982.87134
19047992002563,982.86646
19048032003500,982.86694
19048072005532,982.86816
19048112004334,982.8677
19048152008292,982.8633
19048192089334,982.8623
19048232002302,982.8574
19048272004125,982.8574
19048312005375,982.8601
19048352005063,982.8596
19048392005219,982.8706
19048432001938,982.8738
19048472004646,982.8716
19048512005271,982.8755
19048552007198,982.8745
19048592004907,982.87646
19048632005375,982.88354
19048672002823,982.87256
19048712004177,982.87695
19048752005011,982.8738
19048792087198,982.8721
19048832003709,982.87866
19048872004490,982.87744
19048912004698,982.8762
19048952007198,982.87524
19048992004125,982.8838
19049032004802,982.87646
19049072002354,982.8696
19049112003917,982.87036
19049152004698,982.85913
19049192004073,982.8655
19049232004282,982.8733
19049272002354,982.8767
19049312004125,982.8716
19049352007042,982.8762
19049392002667,982.87427
19049432005792,982.87646
19049472003969,982.88184
19049512004177,982.88477
19049552003865,982.8767
19049592005375,982.8767
19049632006469,982.8801
19049672212407,982.8811
19049712001209,982.8784
19049752005167,982.8823
19049792004021,982.87427
19049832006209,982.8699
19049872006625,982.8784
19049912004698,982.8816
19049952002563,982.88184
19049992004542,982.8738
19050032004229,982.8667
19050072005479,982.8738
19050112004334,982.87305
19050152004334,982.8801
19050192004177,982.8782
19050232005219,982.8755
19050272004438,982.88184
19050312004698,982.87036
19050352001938,982.8716
19050392001990,982.8699
19050432004438,982.8684
19050472004802,982.8699
19050512020427,982.87085
19050552003032,982.8618
19050592004125,982.8616
19050632004594,982.8601
19050672004334,982.8677
19050712006261,982.86914
19050752004021,982.8689
19050792001469,982.8711
19050832005948,982.87354
19050872004646,982.8772
19050912005271,982.8782
19050952069542,982.87476
19050992001469,982.87134
19051032005063,982.86646
19051072003865,982.8677
19051112004959,982.8655
19051152050219,982.8633
19051192004282,982.875
19051232004698,982.87134
19051272006573,982.874
19051312005896,982.876
19051352005219,982.87427
19051392004750,982.87085
19051432003552,982.87646
19051472005740,982.8701
19051512010011,982.8706
19051552003552,982.86743
19051592004386,982.8701
19051632001469,982.87573
19051672003396,982.8799
19051712004438,982.8755
19051752005479,982.8723
19051792022407,982.8762
19051832002094,982.87646
19051872004334,982.87256
19051912005323,982.8718
19051952003396,982.8667
19051992003032,982.8794
19052032002198,982.8794
19052072001313,982.8745
19052112006990,982.88306
19052152003500,982.876
19052192009021,982.87524
19052232005323,982.87305
19052272002302,982.87915
19052312003500,982.88184
19052352002302,982.8801
19052392003813,982.88525
19052432049802,982.8801
19052472003448,982.87695
19052512005375,982.8711
19052552005219,982.88086
19052592006886,982.87964
19052632006729,982.86523
19052672002615,982.86816
19052712005636,982.8716
19052752005219,982.86743
19052792004282,982.8628
19052832004490,982.8628
19052872005740,982.8699
19052912003292,982.8721
19052952002146,982.8711
19052992004959,982.87305
19053032007407,982.8767
19053072004386,982.8728
19053112001261,982.86816
19053152002250,982.86816
19053192002407,982.8728
19053232004386,982.8733
19053272005375,982.875
19053312002667,982.88354
19053352002146,982.8872
19053392005844,982.8811
19053432004698,982.8821
19053472003969,982.88184
19053512186938,982.8728
19053552005844,982.864
19053592005323,982.8623
19053632005115,982.8594
19053672005688,982.86597
19053712045948,982.86523
19053752004229,982.8699
19053792002563,982.8755
19053832002407,982.87354
19053872004490,982.88306
19053912005323,982.88477
19053952005167,982.8843
19053992004177,982.8889
19054032002615,982.89087
19054072004073,982.89087
19054112001625,982.8926
19054152005167,982.88794
19054192003396,982.8845
19054232003552,982.8867
19054272005271,982.87744
19054312005271,982.8738
19054352063917,982.87866
19054392001677,982.8816
19054432003188,982.885
19054472003604,982.8828
19054512003917,982.88135
19054552101157,982.8833
19054592004542,982.8833
19054632002563,982.87744
19054672003292,982.8821
19054712010740,982.896
19054752005011,982.895
19054792005688,982.89014
19054832001677,982.8911
19054872003761,982.8938
19054912006729,982.89136
19054952003657,982.89087
19054992005844,982.89136
19055032004802,982.8823
19055072003448,982.876
19055112002459,982.87085
19055152004907,982.8677
19055192005323,982.86914
19055232002042,982.8772
19055272005688,982.8828
19055312006938,982.875
19055352003969,982.8794
19055392004438,982.8789
19055432005584,982.8794
19055472001365,982.8701
19055512001782,982.87085
19055552005427,982.87427
19055592004698,982.8816
19055632041938,982.8723
19055672001313,982.87085
19055712005271,982.87695
19055752006938,982.8684
19055792005167,982.8635
19055832005167,982.8655
19055872003448,982.8738
19055912001261,982.8716
19055952004802,982.8762
19055992006886,982.874
19056032007302,982.87476
19056072003552,982.87427
19056112001990,982.8721
19056152004542,982.88745
19056192002823,982.88135
19056232004229,982.88135
19056272004177,982.8777
19056312001521,982.8755
19056352003709,982.87573
19056392005375,982.8723
19056432005063,982.87866
19056472066000,982.87695
19056512002667,982.8811
19056552002979,982.8845
19056592005063,982.89014
19056632005740,982.88696
19056672005584,982.8833
19056712003500,982.88135
19056752004802,982.8794
19056792001417,982.87915
19056832004646,982.8865
19056872004021,982.8894
19056912171052,982.8865
19056952001990,982.88403
19056992003969,982.8794
19057032003865,982.8777
19057072004282,982.87427
19057112005740,982.87134
19057152002511,982.8723
19057192002719,982.8762
19057232005063,982.8772
19057272004854,982.8806
19057312003969,982.87866
19057352187042,982.88086
19057392002198,982.88257
19057432003552,982.8811
19057472005115,982.87744
19057512004490,982.8755
19057552007511,982.88135
19057592004854,982.8804
19057632005011,982.885
19057672004698,982.8877
19057712002198,982.88403
19057752006469,982.88477
19057792002719,982.8784
19057832004854,982.8701
19057872003448,982.876
19057912004854,982.8799
19057952121104,982.88086
19057992004854,982.8745
19058032002823,982.8738
19058072003761,982.87915
19058112004229,982.8794
19058152004073,982.88525
19058192096729,982.8833
19058232002719,982.8887
19058272003448,982.8965
19058312005011,982.8889
19058352009051,982.8816
19058392006291,982.8794
19058432001551,982.8784
19058472002801,982.8772
19058512003322,982.87915
19058552006082,982.8821
19058592005509,982.87695
19058632201134,982.8784
19058672003009,982.88135
19058712004468,982.8784
19058752004988,982.8701
19058792004155,982.874
19058832004728,982.8699
19058872039259,982.876
19058912001968,982.87524
19058952001603,982.8696
19058992003322,982.8762
19059032052593,982.8767
19059072004832,982.86523
19059112003374,982.8689
19059152005926,982.8628
19059192006082,982.86646
19059232034884,982.87036
19059272206499,982.8696
19059312001134,982.87256
19059352002541,982.874
19059392003634,982.87744
19059432003686,982.87354
19059472035978,982.87744
19059512001863,982.8855
19059552003374,982.8777
19059592004884,982.8762
19059632003947,982.88403
19059672006291,982.8789
19059712002280,982.88184
19059752002384,982.88477
19059792003113,982.8884
19059832004207,982.88306
19059872002801,982.8738
19059912003634,982.8745
19059952003270,982.87524
19059992002905,982.86743
19060032002280,982.86523
19060072003218,982.86743
19060112023738,982.8684
19060152104572,982.87744
19060192002957,982.8804
19060232004311,982.8862
19060272004416,982.8872
19060312047072,982.8877
19060352004884,982.885
19060392005561,982.875
19060432004416,982.87305
19060472002749,982.8667
19060512003895,982.85913
19060552216030,982.86523
19060592000770,982.8733
19060632004624,982.8772
19060672003634,982.8745
19060712005093,982.8779
19060752005405,982.8733
19060792001186,982.8772
19060832002228,982.88184
19060872003634,982.88184
19060912004624,982.885
19060952003478,982.88794
19060992002280,982.8877
19061032001916,982.88184
19061072004468,982.8877
19061112001759,982.8862
19061152010561,982.87646
19061192004780,982.8679
19061232002020,982.86084
19061272004311,982.8618
19061312002593,982.8594
19061352004051,982.86646
19061392005770,982.8672
19061432079936,982.87134
19061472002801,982.8772
19061512005770,982.8801
19061552004572,982.87695
19061592005457,982.8794
19061632002176,982.8762
19061672004363,982.8767
19061712002593,982.8733
19061752005770,982.8867
19061792006395,982.87915
19061832188218,982.8806
19061872000718,982.8755
19061912004832,982.88354
19061952006082,982.88306
19061992002697,982.88916
19062032156811,982.8801
19062072002124,982.8801
19062112004780,982.87476
19062152004051,982.8779
19062192002020,982.87964
19062232067697,982.8794
19062272004259,982.88354
19062312001395,982.88306
19062352005249,982.88086
19062392003999,982.8838
19062432004520,982.8843
19062472002853,982.8745
19062512004051,982.8723
19062552004780,982.87573
19062592003947,982.8784
19062632003843,982.8784
19062672002853,982.8755
19062712123999,982.8772
19062752003843,982.8745
19062792004207,982.8779
19062832003478,982.875
19062872003322,982.8789
19062912003634,982.8794
19062952004468,982.8762
19062992002957,982.87256
19063032004363,982.8799
19063072003582,982.8906
19063112142749,982.88794
19063152002853,982.8877
19063192003374,982.87427
19063232004728,982.86646
19063272005978,982.8711
19063312140770,982.8733
19063352002384,982.87305
19063392006186,982.87695
19063432003530,982.8701
19063472003009,982.87256
19063512056759,982.87866
19063552002749,982.8855
19063592001238,982.8823
19063632003634,982.8823
19063672002905,982.8789
19063712005509,982.8745
19063752006603,982.88403
19063792004311,982.8862
19063832004728,982.88403
19063872004780,982.8772
19063912006551,982.87573
19063952002384,982.8804
19063992003009,982.8767
19064032004051,982.86743
19064072002332,982.8628
19064112008426,982.8738
19064152003582,982.8677
19064192002488,982.8662
19064232002332,982.86694
19064272006030,982.86865
19064312005509,982.86694
19064352003843,982.86206
19064392005613,982.86523
19064432001916,982.8601
19064472003218,982.8567
19064512004780,982.85693
19064552002697,982.85986
19064592162541,982.86206
19064632004311,982.8711
19064672003166,982.8806
19064712005509,982.87524
19064752006186,982.88574
19064792002541,982.88965
19064832002905,982.89233
19064872001916,982.8928
19064912003166,982.89795
19064952004624,982.895
19064992002072,982.896
19065032004155,982.8921
19065072002905,982.896
19065112004520,982.88965
19065152002697,982.89087
19065192003061,982.88525
19065232016603,982.88574
19065272004832,982.8906
19065312003999,982.8816
19065352001551,982.8794
19065392004780,982.8811
19065432170197,982.88257
19065472003009,982.8794
19065512003478,982.8696
19065552003791,982.8738
19065592005561,982.8767
19065632003843,982.8779
19065672004259,982.8828
19065712000978,982.8806
19065752003478,982.8833
19065792003738,982.88306
19065832003374,982.87695
19065872004832,982.88354
19065912002124,982.8804
19065952003843,982.87427
19065992003686,982.8657
19066032004363,982.87134
19066072004936,982.8728
19066112004051,982.8794
19066152001186,982.8889
19066192007176,982.8994
19066232010093,982.90894
19066272004051,982.8999
19066312161759,982.8967
19066352003426,982.8921
19066392004780,982.897
19066432003530,982.897
19066472008218,982.90137
19066512049259,982.8992
19066552084728,982.9033
19066592004363,982.89233
19066632001863,982.89404
19066672004520,982.90015
19066712004207,982.90063
19066752004155,982.8926
19066792003686,982.90576
19066832006759,982.9043
19066872004155,982.9021
19066912005093,982.8889
19066952177384,982.8972
19066992001968,982.8989
19067032005249,982.8967
19067072006759,982.8877
19067112006030,982.8867
19067152161343,982.89233
19067192002280,982.8992
19067232001759,982.8865
19067272004624,982.8872
19067312002124,982.8767
19067352002488,982.8701
19067392002645,982.87476
19067432001811,982.87646
19067472003686,982.88086
19067512003113,982.88477
19067552005197,982.8862
19067592004676,982.8887
19067632001291,982.8882
19067672003530,982.8899
19067712002645,982.8882
19067752003843,982.8867
19067792009103,982.8811
19067832001603,982.88354
19067872005613,982.88916
19067912002853,982.88525
19067952007436,982.8865
19067992005197,982.8884
19068032002384,982.8845
19068072005822,982.88965
19068112003686,982.8911
19068152004259,982.896
19068192003634,982.89746
19068232005822,982.8994
19068272001603,982.9038
19068312004259,982.8911
19068352003895,982.89404
19068392003478,982.8877
19068432004363,982.8889
19068472001916,982.88745
19068512003218,982.88306
19068552004207,982.8855
19068592002801,982.89233
19068632054780,982.8884
19068672113895,982.88574
19068712001030,982.88477
19068752006447,982.88794
19068792003218,982.89453
19068832003791,982.89404
19068872026291,982.895
19068912002749,982.89795
19068952003843,982.90674
19068992003582,982.907
19069032006551,982.91626
19069072005093,982.9109
19069112004207,982.91284
19069152004520,982.9099
19069192003895,982.9143
19069232004520,982.9158
19069272009051,982.89844
19069312004311,982.9009
19069352003374,982.9016
19069392005874,982.8977
19069432005770,982.8926
19069472003686,982.8877
19069512004311,982.89526
19069552003009,982.9011
19069592002541,982.9009
19069632004207,982.8992
19069672006499,982.89575
19069712008738,982.8987
19069752002801,982.9048
19069792007228,982.9033
19069832004572,982.9053
19069872003166,982.906
19069912009572,982.9016
19069952004936,982.90576
19069992001603,982.90967
19070032003895,982.9133
19070072002957,982.9075
19070112002332,982.9048
19070152007488,982.9009
19070192001186,982.8933
19070232002697,982.89746
19070272004416,982.90186
19070312007332,982.9026
19070352006551,982.90186
19070392105353,982.90894
19070432004624,982.907
19070472003895,982.90405
19070512003061,982.90576
19070552007020,982.8977
19070592004207,982.89185
19070632003166,982.8884
19070672004051,982.8906
19070712002332,982.8994
19070752005978,982.9026
19070792082593,982.9092
19070832000822,982.91113
19070872004155,982.9077
19070912003843,982.9075
19070952004155,982.9077
19070992005874,982.8999
19071032001499,982.89355
19071072001707,982.89307
19071112002384,982.90356
19071152004207,982.9114
19071192002801,982.9038
19071232007541,982.91016
19071272001343,982.9075
19071312004676,982.906
