t_ns,mx,my,mz,accuracy
19030655974125,-1.5,-32.568752,-46.3875,3
19030665974125,-0.69375,-31.087502,-44.0625,3
19030675974125,-0.28125,-31.031252,-47.34375,3
19030685974125,0.112500004,-30.468752,-47.100002,3
19030695974125,-0.45000002,-32.68125,-45.73125,3
19030705974125,-0.6,-31.575,-44.68125,3
19030715974125,-0.35625002,-31.425001,-46.706253,3
19030725974125,1.5375,-30.7875,-44.34375,3
19030735974125,0.88125,-31.743752,-43.612503,3
19030745974125,-1.25625,-31.781252,-44.737503,3
19030755974125,-1.63125,-32.081253,-44.7,3
19030765974125,-0.1875,-31.893751,-44.86875,3
19030775974125,-1.6500001,-31.837502,-42.862503,3
19030785974125,-2.1000001,-32.4,-46.3125,3
19030795974125,-1.63125,-33.46875,-46.65,3
19030805974125,-0.31875002,-31.031252,-46.256252,3
19030815974125,2.11875,-30.206251,-49.800003,3
19030825974125,0.50625,-31.312502,-48.956253,3
19030835974125,0.54375005,-30.91875,-47.90625,3
19030845974125,3.1312501,-29.56875,-49.162502,3
19030855974125,1.7437501,-30.618752,-45.300003,3
19030865974125,1.6125001,-31.275002,-44.175003,3
19030875974125,0.31875002,-30.825,-45.581253,3
19030885974125,0.71250004,-32.268753,-45.881252,3
19030895974125,0.65625,-32.287502,-44.04375,3
19030905974125,0.26250002,-31.462502,-46.93125,3
19030915974125,0.46875003,-32.68125,-45.225002,3
19030925974125,-0.5625,-31.312502,-45.0,3
19030935974125,0.99375004,-31.48125,-45.787502,3
19030945974125,-0.88125,-31.612501,-46.03125,3
19030955974125,-1.575,-31.575,-43.95,3
19030965974125,-0.45000002,-31.425001,-44.081253,3
19030975974125,0.075,-32.100002,-44.737503,3
19030985974125,0.52500004,-31.425001,-45.131252,3
19030995974125,-0.41250002,-32.175003,-44.381252,3
19031005974125,-0.76875,-31.462502,-44.04375,3
19031015974125,-0.8625,-32.362503,-45.54375,3
19031025974125,-0.28125,-32.287502,-43.78125,3
19031035974125,-1.0125,-31.875002,-43.237503,3
