t_ns,qx,qy,qz,qw
19030662457979,0.3802384,0.39007056,0.58978385,0.59617007
19030667216417,0.37973526,0.39118686,0.58906204,0.5964729
19030671974802,0.37941116,0.3926576,0.58809644,0.5966655
19030676732615,0.37869343,0.39328283,0.58767766,0.59712225
19030681491573,0.3777216,0.39343596,0.58756536,0.59774697
19030686249959,0.37741584,0.3936813,0.5874004,0.59794074
19030691008396,0.37753215,0.39377946,0.5873372,0.59786475
19030695766782,0.37745348,0.39342102,0.5875721,0.5979196
19030700525167,0.3772869,0.39287174,0.58793086,0.5980332
19030705283552,0.37730673,0.3924604,0.5882008,0.5980253
19030710041938,0.3773582,0.39215985,0.58839834,0.59799576
19030714800375,0.3771796,0.39170453,0.58869386,0.5981159
19030719558761,0.3768702,0.39136383,0.5889127,0.5983185
19030724317146,0.37679085,0.39122254,0.5890039,0.5983711
19030729075532,0.37669933,0.39114726,0.589052,0.59843063
19030733833969,0.37665537,0.39091325,0.58920395,0.59846157
19030738592354,0.37678587,0.39075544,0.58931255,0.59837556
19030743350740,0.37696478,0.39064926,0.58939457,0.59825134
19030748109125,0.3769581,0.39067057,0.5893949,0.5982414
19030752867563,0.37682444,0.39082214,0.58930635,0.5983138
19030757625948,0.3766269,0.3912085,0.5890537,0.5984345
19030762384334,0.37637886,0.39162162,0.5887811,0.5985885
19030767142719,0.3762099,0.39194718,0.5885665,0.5986928
19030771901104,0.37614185,0.39213073,0.58842164,0.5987577
19030776659490,0.37615246,0.39222822,0.588329,0.5987782
19030781417927,0.3761862,0.39224544,0.5882904,0.5987837
19030786176313,0.37619254,0.3922107,0.58831316,0.59878004
19030790934698,0.3761933,0.3921491,0.5883535,0.59878033
19030795693084,0.37617385,0.39211306,0.5883768,0.5987932
19030800451521,0.37609234,0.39208227,0.58839595,0.5988457
19030805209907,0.3759647,0.39209113,0.5883887,0.59892726
19030809968292,0.37583005,0.3921234,0.5883659,0.599013
19030814726677,0.37570927,0.3921734,0.58833176,0.59908956
19030819485063,0.37561432,0.3921619,0.58833814,0.59915036
19030824243500,0.375553,0.39210278,0.5883761,0.59919024
19030829001886,0.37558115,0.39202106,0.58843154,0.59917164
19030833760271,0.37563258,0.3919421,0.5884999,0.5991239
19030838518657,0.3756699,0.3918798,0.58857054,0.59907186
19030843277042,0.37563866,0.3919184,0.58858174,0.5990551
19030848035479,0.3755385,0.392035,0.58854187,0.59908086
19030852793865,0.3753602,0.3922022,0.58846074,0.5991629
19030857552250,0.3751557,0.3923736,0.58836883,0.5992689
19030862310636,0.3749688,0.3925513,0.58826405,0.5993723
19030867069021,0.37483346,0.39270183,0.5881703,0.59945047
19030871827459,0.3747424,0.39279172,0.5881103,0.5995074
19030876585844,0.3746494,0.39286464,0.5880613,0.59956574
19030881344229,0.37459022,0.3929345,0.5880148,0.5996026
19030886102615,0.37453607,0.39299652,0.5879734,0.5996363
19030890861000,0.37446657,0.39305303,0.58793557,0.5996798
19030895619386,0.37437728,0.39311573,0.58789325,0.5997359
19030900377823,0.3743105,0.39318717,0.5878456,0.5997775
19030905136209,0.37425497,0.3932386,0.58781105,0.5998122
19030909894594,0.37418497,0.39327285,0.58778775,0.5998563
19030914652979,0.3741356,0.3933027,0.58776754,0.5998874
19030919411417,0.37411246,0.39333782,0.5877442,0.5999016
19030924169802,0.37409565,0.3933653,0.58772594,0.599912
19030928928188,0.3740878,0.39336583,0.5877255,0.59991693
19030933686573,0.3741183,0.3933619,0.5877285,0.5998976
19030938444959,0.374154,0.39337802,0.587729,0.59986424
19030943203396,0.37417585,0.39340523,0.58772814,0.59983367
19030947961782,0.3741618,0.393432,0.58773047,0.5998226
19030952720167,0.37412873,0.39348087,0.58771926,0.59982216
19030957478552,0.3740774,0.39355063,0.5876919,0.59983516
19030962236938,0.37399727,0.39361483,0.587663,0.5998713
