t_ns,wall_ms,type,text
19567967440419,1788549514141,SESSION_START,"20260905_004834_SNU_AJB_AB_run5"
19567967498283,1788549514141,CALIB_START,"stand still 15s"
19582968265830,1788549529142,CALIB_END,"n_fixes=14"
19582968723382,1788549529143,RIDE_START,""
19679829299595,1788549626003,STOP_CALIB_START,"stand still 15s"
19694829985370,1788549641004,STOP_CALIB_END,"n_fixes=15"
19694835216099,1788549641009,SESSION_END,""
