t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.2558067,30121561763528,28.5271200,77.5771963,152.5814209,3.7900925,0.0000000,,27,-0.1969369,-0.0154258
2.4158070,30122721763893,28.5271201,77.5771970,152.6007080,3.7900925,0.0000000,,27,-0.1362979,-0.0009542
3.4121439,30123718100767,28.5271201,77.5771972,152.7231445,3.7900925,0.0000000,,52,-0.1177150,-0.0020674
4.4119881,30124717944985,28.5271199,77.5771975,152.7884521,3.7900925,0.0000000,,56,-0.0815273,-0.0254446
5.4083697,30125714326600,28.5271198,77.5771980,152.8524170,3.7900925,0.0000000,,59,-0.0365371,-0.0321238
6.4085531,30126714509932,28.5271198,77.5771984,152.8432007,3.7900925,0.0000000,,60,0.0045409,-0.0298974
7.4129367,30127718893578,28.5271199,77.5771985,152.8510742,3.7900925,0.0000000,,61,0.0094312,-0.0232182
8.4149062,30128720863057,28.5271201,77.5771986,152.8374634,3.7900925,0.0000000,,57,0.0280141,-0.0009542
9.4086033,30129714560139,28.5271203,77.5771988,152.8347778,3.7900925,0.0000000,,56,0.0465970,0.0179702
10.4092650,30130715221858,28.5271203,77.5771991,152.8649292,3.7900925,0.0000000,,58,0.0749604,0.0257626
11.4126144,30131718571284,28.5271204,77.5771993,152.8802490,3.7900925,0.0000000,,60,0.0954994,0.0324418
12.4110802,30132717037014,28.5271203,77.5771994,152.8962402,3.7900925,0.0000000,,60,0.0994116,0.0257626
13.4135310,30133719487899,28.5271202,77.5771994,152.8995972,3.7900925,0.0000000,,61,0.1023457,0.0157438
14.4058616,30134711818472,28.5271202,77.5771995,152.9144897,3.7900925,0.0000000,,61,0.1082140,0.0124042
15.4059110,30135711867846,28.5271202,77.5771996,152.9343262,3.7900925,0.0000000,,61,0.1160384,0.0090646
16.4074444,30136713401230,28.5271201,77.5771996,152.9497681,3.7900925,0.0000000,,62,0.1219067,0.0057250
17.4048244,30137710781282,28.5271201,77.5771996,152.9591064,3.7900925,0.0000000,,61,0.1248408,0.0012722
18.4071953,30138713152115,28.5271200,77.5771995,152.9680176,3.7900925,0.0000000,,62,0.1150603,-0.0120862
