t_ns,ax,ay,az,accuracy
20775023181320,-0.9619147,8.953942,4.1587257,3
20775025557934,-0.94277215,8.925228,4.254439,3
20775027936945,-0.95712906,8.886943,4.2687955,3
20775030315903,-0.9236295,8.906086,4.2352962,3
20775032694861,-0.91405827,8.896515,4.173083,3
20775035073872,-0.8805587,8.896515,4.115655,3
20775037452830,-0.8805587,8.882157,4.0965123,3
20775039831788,-0.8662018,8.863015,4.1491547,3
20775042210747,-0.8566305,8.843872,4.2017965,3
20775044589757,-0.8039884,8.82473,4.273581,3
20775046968715,-0.7609176,8.82473,4.273581,3
20775049347726,-0.7369894,8.843872,4.2352962,3
20775051726684,-0.7178468,8.867801,4.197011,3
20775054105642,-0.66999036,8.872586,4.182654,3
20775056484236,-0.71306115,8.877372,4.211368,3
20775058863611,-0.6795616,8.886943,4.2831526,3
20775061242622,-0.65084773,8.891729,4.3262234,3
20775063621580,-0.66041905,8.896515,4.316652,3
20775066000174,-0.63170516,8.920443,4.2831526,3
20775068379549,-0.65084773,8.920443,4.23051,3
20775070758507,-0.61734825,8.9108715,4.1922255,3
20775073137465,-0.6269195,8.877372,4.206582,3
20775075516476,-0.6269195,8.853444,4.2017965,3
20775077895434,-0.64606214,8.839087,4.2161536,3
20775080274392,-0.66999036,8.819944,4.2017965,3
20775082653403,-0.6795616,8.805588,4.168297,3
20775085032361,-0.7082755,8.805588,4.1108694,3
20775087411320,-0.74177504,8.796016,4.1108694,3
20775089790330,-0.7752745,8.819944,4.1108694,3
20775092169288,-0.8422736,8.810373,4.1347976,3
20775094548247,-0.8709874,8.800801,4.130012,3
20775096927257,-0.9092726,8.800801,4.139583,3
20775099306163,-0.94277215,8.82473,4.15394,3
20775101685174,-0.9954142,8.85823,4.168297,3
20775104064184,-1.0001999,8.896515,4.1635113,3
20775106443142,-1.0241281,8.906086,4.1922255,3
20775108822101,-1.0336994,8.9348,4.197011,3
20775111201111,-1.0432707,8.944371,4.197011,3
20775113580070,-1.0145568,8.949157,4.2017965,3
20775115959028,-1.0193424,8.968299,4.2257247,3
20775118338038,-0.9619147,8.949157,4.2352962,3
20775120716997,-0.9284152,8.958728,4.240082,3
20775123096007,-0.8853444,8.949157,4.23051,3
20775125474965,-0.8279166,8.9348,4.2161536,3
20775127853924,-0.7752745,8.958728,4.211368,3
20775130232882,-0.7369894,8.9348,4.249653,3
20775132611892,-0.6891329,8.882157,4.273581,3
20775134990851,-0.6891329,8.877372,4.302295,3
20775137369861,-0.66041905,8.853444,4.2831526,3
20775139748820,-0.6891329,8.848659,4.278367,3
20775142127778,-0.70348984,8.843872,4.254439,3
20775144506788,-0.72263247,8.819944,4.240082,3
20775146885747,-0.7752745,8.805588,4.220939,3
20775149264705,-0.85184485,8.800801,4.2017965,3
20775151643715,-0.9092726,8.819944,4.197011,3
20775154022622,-0.9762716,8.839087,4.206582,3
20775156401632,-1.0576276,8.839087,4.220939,3
20775158780642,-1.134198,8.839087,4.23051,3
20775161159601,-1.1676974,8.82473,4.2257247,3
20775163538559,-1.2059826,8.848659,4.220939,3
20775165917570,-1.2490535,8.829515,4.2017965,3
20775168296528,-1.2346965,8.848659,4.2017965,3
20775170675486,-1.2251252,8.872586,4.206582,3
20775173054497,-1.2011969,8.85823,4.197011,3
20775175433455,-1.1485549,8.867801,4.206582,3
20775177812413,-1.1006985,8.906086,4.206582,3
20775180191424,-1.0049855,8.939586,4.2017965,3
20775182570382,-0.9236295,8.9348,4.173083,3
20775184949392,-0.8470592,8.9348,4.1491547,3
20775187328351,-0.7848458,8.939586,4.1443686,3
20775189707309,-0.71306115,8.9348,4.15394,3
20775192086320,-0.65084773,8.930014,4.1587257,3
20775194465278,-0.59342,8.920443,4.173083,3
20775196844236,-0.55513483,8.896515,4.15394,3
20775199223247,-0.53599226,8.9108715,4.1347976,3
20775201602205,-0.5312066,8.891729,4.125226,3
20775203981163,-0.5455636,8.877372,4.115655,3
20775206360174,-0.59342,8.843872,4.1108694,3
20775208739132,-0.6652047,8.834301,4.130012,3
20775211118090,-0.72263247,8.848659,4.1204405,3
20775213497101,-0.79441714,8.839087,4.106084,3
20775215876059,-0.8757731,8.891729,4.091727,3
20775218255017,-0.9236295,8.915657,4.0773697,3
20775220634028,-1.0097711,8.9013,4.101298,3
20775223012986,-1.0624132,8.925228,4.1587257,3
20775225391945,-1.1294123,8.9013,4.1874394,3
20775227770955,-1.1820544,8.920443,4.2161536,3
20775230149913,-1.2346965,8.9348,4.23051,3
20775232528872,-1.2203395,8.939586,4.240082,3
20775234907830,-1.253839,8.963513,4.23051,3
20775237286840,-1.253839,8.973084,4.2592244,3
20775239665799,-1.2346965,8.973084,4.3118663,3
20775242044809,-1.1820544,8.977871,4.3501515,3
20775244423767,-1.1246266,8.987442,4.354937,3
20775246802726,-1.0671989,8.992228,4.3405805,3
20775249181736,-0.95712906,8.968299,4.331009,3
20775251560695,-0.8566305,8.949157,4.331009,3
20775253939653,-0.7369894,8.9013,4.3262234,3
20775256318663,-0.6412765,8.867801,4.3645086,3
20775258697622,-0.57427746,8.843872,4.3932223,3
20775261076580,-0.51206404,8.82473,4.3788652,3
20775263455590,-0.4546363,8.834301,4.321438,3
20775265834549,-0.41635114,8.819944,4.254439,3
20775268213559,-0.43070808,8.819944,4.1635113,3
20775270592517,-0.41635114,8.834301,4.1587257,3
20775272971476,-0.44027936,8.82473,4.173083,3
20775275350486,-0.5024927,8.829515,4.168297,3
20775277729445,-0.5694918,8.848659,4.168297,3
20775280108403,-0.66041905,8.886943,4.1347976,3
20775282487413,-0.7609176,8.9108715,4.0869412,3
20775284866372,-0.8422736,8.930014,3.991228,3
20775287245330,-0.9236295,8.930014,3.9720855,3
20775289624340,-1.0336994,8.949157,3.9816568,3
20775292003299,-1.105484,8.949157,4.0151563,3
20775294382257,-1.1772687,8.958728,4.024728,3
20775296761267,-1.253839,8.920443,4.0103707,3
20775299140226,-1.3016955,8.925228,3.9816568,3
20775301519184,-1.3208381,8.930014,3.9290147,3
20775303898195,-1.3160524,8.915657,3.9146578,3
20775306277153,-1.2921243,8.872586,3.9242291,3
20775308656163,-1.253839,8.853444,3.9625144,3
20775311035122,-1.2107682,8.848659,3.9720855,3
20775313414080,-1.1246266,8.834301,3.9625144,3
20775315793090,-1.052842,8.82473,4.0007997,3
20775318172049,-1.0097711,8.815159,4.0103707,3
20775320551007,-0.9379865,8.815159,4.024728,3
20775322930017,-0.89013004,8.82473,4.058227,3
20775325308976,-0.8662018,8.82473,4.0965123,3
20775327687934,-0.86141616,8.85823,4.1491547,3
20775330066945,-0.8566305,8.877372,4.1587257,3
20775332445903,-0.8662018,8.867801,4.1874394,3
20775334824861,-0.89491564,8.915657,4.2161536,3
20775337203872,-0.9284152,8.930014,4.2592244,3
20775339582830,-0.9619147,8.953942,4.302295,3
20775341961788,-0.9810573,8.939586,4.316652,3
20775344340799,-1.0193424,8.930014,4.321438,3
20775346719757,-1.0193424,8.9348,4.345366,3
20775349098715,-1.0049855,8.920443,4.3645086,3
20775351477726,-0.9906286,8.920443,4.3740797,3
20775353856684,-0.9667004,8.915657,4.3645086,3
20775356235642,-0.93320084,8.9013,4.345366,3
20775358614653,-0.8853444,8.896515,4.359723,3
20775360993611,-0.86141616,8.872586,4.354937,3
20775363372517,-0.80877405,8.872586,4.3405805,3
