t_ns,qx,qy,qz,qw,heading_acc_rad
20775449666840,0.53706086,-5.577067E-4,-0.082344525,0.83951455,-1.0
20775454424809,0.53697735,-4.3422988E-4,-0.08228854,0.83957356,-1.0
20775459182778,0.5369198,-2.8737672E-4,-0.082230136,0.8396162,-1.0
20775463940695,0.5369003,-1.4689066E-4,-0.08217457,0.8396341,-1.0
20775468698663,0.53686917,-2.817115E-5,-0.0821237,0.839659,-1.0
20775473456632,0.5367962,2.0497086E-5,-0.082081005,0.8397098,-1.0
20775478214549,0.5367112,-9.185236E-6,-0.082050845,0.83976704,-1.0
20775482972517,0.5366201,-1.2457743E-4,-0.082030445,0.8398273,-1.0
20775487730486,0.5365242,-3.1539184E-4,-0.08202213,0.83988935,-1.0
20775492488403,0.5364505,-5.5503624E-4,-0.08201592,0.83993685,-1.0
20775497246372,0.53639394,-8.182263E-4,-0.08201444,0.8399729,-1.0
20775502004340,0.5363312,-0.0010439539,-0.082009904,0.8400132,-1.0
20775506762309,0.53627497,-0.001223121,-0.082006015,0.8400492,-1.0
20775511520226,0.536268,-0.0013390426,-0.08199264,0.8400548,-1.0
20775516278195,0.5363156,-0.0013768463,-0.08197245,0.8400263,-1.0
20775521036163,0.53636587,-0.0013678315,-0.08194659,0.83999676,-1.0
20775525794080,0.53641135,-0.0013327494,-0.08191916,0.83997047,-1.0
20775530551997,0.5364813,-0.0012913535,-0.08188427,0.8399292,-1.0
20775535310017,0.5365508,-0.0012791024,-0.081857346,0.83988744,-1.0
20775540067934,0.5365758,-0.0013076187,-0.081833236,0.8398738,-1.0
20775544825903,0.5365772,-0.0013962089,-0.08181585,0.83987445,-1.0
20775549583872,0.5365727,-0.0015339287,-0.081806034,0.8398781,-1.0
20775554341788,0.53654915,-0.0016955356,-0.08180103,0.8398933,-1.0
20775559099757,0.53652066,-0.0018444357,-0.08180008,0.8399113,-1.0
20775563857726,0.536508,-0.0019596214,-0.08179381,0.8399197,-1.0
20775568615642,0.53650874,-0.0020333698,-0.08178476,0.8399199,-1.0
20775573373559,0.53649515,-0.002076701,-0.081768654,0.83993006,-1.0
20775578131580,0.53647506,-0.002096935,-0.081750855,0.8399446,-1.0
20775582889497,0.5364471,-0.0021076147,-0.081733234,0.83996415,-1.0
20775587647465,0.53641,-0.0021244213,-0.081712656,0.8399898,-1.0
20775592405434,0.5363762,-0.0021714617,-0.081696354,0.84001285,-1.0
20775597163403,0.53634876,-0.002257685,-0.08168617,0.84003115,-1.0
20775601921320,0.5363315,-0.0023891742,-0.08168564,0.8400419,-1.0
20775606679288,0.5363062,-0.0025812371,-0.081692025,0.8400568,-1.0
20775611437257,0.536281,-0.0028221477,-0.08170429,0.8400709,-1.0
20775616195174,0.53626674,-0.0030809578,-0.08171615,0.84007794,-1.0
20775620953142,0.53625137,-0.0033476076,-0.08172812,0.84008557,-1.0
20775625711111,0.53624433,-0.0036059509,-0.08174713,0.8400872,-1.0
20775630468976,0.53624195,-0.003804214,-0.08176381,0.84008616,-1.0
20775635226997,0.5362511,-0.003916809,-0.08177922,0.8400783,-1.0
20775639984965,0.53625584,-0.0039312197,-0.08178451,0.8400747,-1.0
20775644742882,0.536203,-0.003856237,-0.08177228,0.84010994,-1.0
20775649500851,0.53613746,-0.0037473396,-0.08175094,0.84015435,-1.0
20775654258820,0.536115,-0.0036365497,-0.08172441,0.84017175,-1.0
20775659016788,0.5360838,-0.003561563,-0.08169875,0.8401945,-1.0
20775663774705,0.53602815,-0.003518703,-0.08166853,0.8402331,-1.0
20775668532674,0.5360014,-0.0035270937,-0.08164293,0.84025264,-1.0
20775673290642,0.53599983,-0.0035787593,-0.08162328,0.8402553,-1.0
20775678048559,0.53598166,-0.0036611436,-0.08160062,0.84026873,-1.0
20775682806528,0.5359855,-0.0037331248,-0.08156995,0.84026897,-1.0
20775687564497,0.53602755,-0.0037724462,-0.08153161,0.8402457,-1.0
20775692322413,0.536056,-0.0037376417,-0.08147967,0.84023273,-1.0
20775697080382,0.5360659,-0.003639785,-0.08141263,0.8402334,-1.0
20775701838351,0.53610635,-0.0035223323,-0.08133667,0.8402154,-1.0
20775706596267,0.5361695,-0.003410904,-0.08125512,0.84018344,-1.0
20775711354236,0.536186,-0.0033462928,-0.0811808,0.8401804,-1.0
20775716112205,0.53617555,-0.0033860037,-0.0811245,0.8401923,-1.0
20775720870174,0.5361669,-0.0035662756,-0.081098765,0.8401996,-1.0
20775725628090,0.53614175,-0.0038679976,-0.08109674,0.8402145,-1.0
20775730386059,0.5360724,-0.004282147,-0.081119664,0.84025455,-1.0
20775735144028,0.5359938,-0.0047833575,-0.08115734,0.8402983,-1.0
20775739901945,0.53592694,-0.005298936,-0.081202134,0.8403335,-1.0
20775744659861,0.53584206,-0.0057773,-0.08124352,0.8403805,-1.0
20775749417882,0.535757,-0.0061817896,-0.081270665,0.84042925,-1.0
20775754175799,0.53569233,-0.006495906,-0.08128685,0.8404665,-1.0
20775758933767,0.53564966,-0.006702783,-0.081288844,0.8404919,-1.0
20775763691736,0.535625,-0.0067996643,-0.08127726,0.840508,-1.0
20775768449653,0.5356263,-0.006821469,-0.081258014,0.8405088,-1.0
20775773207622,0.53563744,-0.0067819445,-0.08122838,0.8405049,-1.0
20775777965590,0.5356543,-0.0067309095,-0.08119626,0.8404977,-1.0
20775782723507,0.53568697,-0.006709606,-0.0811669,0.84047985,-1.0
20775787481476,0.53572536,-0.006766452,-0.08114332,0.8404572,-1.0
20775792239445,0.53575087,-0.0069346293,-0.08113256,0.84044063,-1.0
20775796997361,0.53575873,-0.007195616,-0.08113869,0.8404328,-1.0
20775801755330,0.5357815,-0.0075207055,-0.081164494,0.840413,-1.0
20775806513299,0.53581214,-0.007831351,-0.08120296,0.84038687,-1.0
20775811271267,0.5358314,-0.008096067,-0.08124346,0.84036815,-1.0
20775816029184,0.53582233,-0.008296341,-0.08128058,0.8403684,-1.0
20775820787153,0.5357983,-0.0084279645,-0.08131852,0.84037876,-1.0
20775825545070,0.5357406,-0.008505794,-0.08134916,0.8404118,-1.0
20775830303038,0.5356569,-0.008552274,-0.08137339,0.8404623,-1.0
