t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=4.8 s=15.4 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-214.0 s=443.5 count=0 corridors=2"
1.579,RECOG,"SNU_R1 fix=2 d=4.8 s=15.4 count=2 corridors=2"
1.579,RECOG,"SNU_R2 fix=2 d=-214.0 s=443.5 count=0 corridors=2"
2.259,RECOG,"SNU_R1 fix=3 d=4.8 s=15.4 count=3 corridors=2"
2.259,RECOG,"SNU_R2 fix=3 d=-214.0 s=443.5 count=0 corridors=2"
3.260,RECOG,"SNU_R1 fix=4 d=4.8 s=15.4 count=4 corridors=2"
3.260,RECOG,"SNU_R2 fix=4 d=-214.0 s=443.5 count=0 corridors=2"
4.261,RECOG,"SNU_R1 fix=5 d=4.8 s=15.4 count=5 corridors=2"
4.261,RECOG,"SNU_R2 fix=5 d=-214.0 s=443.5 count=0 corridors=2"
5.257,RECOG,"SNU_R1 fix=6 d=4.8 s=15.4 count=6 corridors=2"
5.257,RECOG,"SNU_R2 fix=6 d=-214.0 s=443.5 count=0 corridors=2"
6.258,RECOG,"SNU_R1 fix=7 d=4.8 s=15.4 count=7 corridors=2"
6.258,RECOG,"SNU_R2 fix=7 d=-213.9 s=443.5 count=0 corridors=2"
7.252,RECOG,"SNU_R1 fix=8 d=4.8 s=15.4 count=8 corridors=2"
7.252,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=15.4 d=4.8 s_start=15.4"
15.000,ALIGN,"stand g=9.874 pitch=7.29 roll=65.17 bias_dps=[0.002 0.051 -0.147] quiet=true qfrac=0.86 rot=0.21deg"
15.000,PHASE,"RIDE"
18.258,MOTION_START,"v=1.61"
19.300,DIRECTION,"AB"
24.260,ALIGN,"psi=75.50 (init) pitch=7.29 roll=65.17 blocks=0 moved_at=NaN sway_ratio=NaN"
25.000,ALIGN,"psi=75.50 (init) pitch=6.43 roll=66.14 blocks=1 moved_at=NaN sway_ratio=NaN"
35.000,ALIGN,"psi=75.50 (init) pitch=6.47 roll=66.09 blocks=2 moved_at=NaN sway_ratio=NaN"
39.260,ALIGN,"psi=95.10 (sway) pitch=6.47 roll=66.09 blocks=2 moved_at=NaN sway_ratio=6.6"
39.300,ARMED,""
45.000,ALIGN,"psi=95.10 (sway) pitch=6.52 roll=65.92 blocks=3 moved_at=NaN sway_ratio=6.6"
49.260,ALIGN,"psi=94.22 (sway) pitch=6.52 roll=65.92 blocks=3 moved_at=NaN sway_ratio=7.0"
54.260,SIM_ENTER,"armed=true"
54.300,MODE,"GNSS_INS->INERTIAL sim"
54.300,DISARMED,"gnss5s"
54.300,BAND_ENTER,""
55.000,ALIGN,"psi=94.22 (sway) pitch=6.55 roll=65.62 blocks=4 moved_at=NaN sway_ratio=7.0"
59.260,ALIGN,"psi=82.08 (sway) pitch=6.55 roll=65.62 blocks=4 moved_at=NaN sway_ratio=8.6"
65.000,ALIGN,"psi=82.08 (sway) pitch=6.70 roll=65.36 blocks=5 moved_at=NaN sway_ratio=8.6"
69.260,ALIGN,"psi=83.19 (sway) pitch=6.70 roll=65.36 blocks=5 moved_at=NaN sway_ratio=8.0"
75.000,ALIGN,"psi=83.19 (sway) pitch=6.74 roll=65.22 blocks=6 moved_at=NaN sway_ratio=8.0"
79.260,ALIGN,"psi=80.92 (sway) pitch=6.74 roll=65.22 blocks=6 moved_at=NaN sway_ratio=8.7"
85.000,ALIGN,"psi=80.92 (sway) pitch=7.13 roll=64.67 blocks=7 moved_at=NaN sway_ratio=8.7"
89.260,ALIGN,"psi=83.76 (sway) pitch=7.13 roll=64.67 blocks=7 moved_at=NaN sway_ratio=9.4"
95.000,ALIGN,"psi=83.76 (sway) pitch=10.97 roll=60.93 blocks=8 moved_at=80.0 sway_ratio=9.4"
98.255,REVEAL,"off_by_m=7.0 distance_m=141 duration_s=45 max_err_m=7.0 sim=true armed=true"
98.300,MODE,"INERTIAL->RECOVERING"
98.300,BAND_EXIT,""
99.260,ALIGN,"psi=83.79 (sway) pitch=10.97 roll=60.93 blocks=8 moved_at=80.0 sway_ratio=9.2"
101.300,MODE,"RECOVERING->GNSS_INS"
103.300,ARMED,""
105.000,ALIGN,"psi=83.79 (sway) pitch=11.01 roll=60.87 blocks=9 moved_at=80.0 sway_ratio=9.2"
109.260,ALIGN,"psi=83.94 (sway) pitch=11.01 roll=60.87 blocks=9 moved_at=80.0 sway_ratio=9.0"
115.000,ALIGN,"psi=83.94 (sway) pitch=11.07 roll=60.80 blocks=10 moved_at=80.0 sway_ratio=9.0"
119.260,ALIGN,"psi=83.89 (sway) pitch=11.07 roll=60.80 blocks=10 moved_at=80.0 sway_ratio=8.7"
125.000,ALIGN,"psi=83.89 (sway) pitch=11.14 roll=60.38 blocks=11 moved_at=80.0 sway_ratio=8.7"
130.253,PHASE,"STOP_STAND"
145.253,PHASE,"DONE"
