t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=-429.3 s=213.6 count=0 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=1.9 s=13.0 count=1 corridors=2"
1.256,RECOG,"SNU_R1 fix=2 d=-429.3 s=213.6 count=0 corridors=2"
1.256,RECOG,"SNU_R2 fix=2 d=1.9 s=13.0 count=2 corridors=2"
2.355,RECOG,"SNU_R1 fix=3 d=-429.3 s=213.6 count=0 corridors=2"
2.355,RECOG,"SNU_R2 fix=3 d=1.9 s=13.1 count=3 corridors=2"
3.345,RECOG,"SNU_R1 fix=4 d=-429.3 s=213.6 count=0 corridors=2"
3.345,RECOG,"SNU_R2 fix=4 d=1.9 s=13.1 count=4 corridors=2"
4.351,RECOG,"SNU_R1 fix=5 d=-429.3 s=213.6 count=0 corridors=2"
4.351,RECOG,"SNU_R2 fix=5 d=2.0 s=13.1 count=5 corridors=2"
5.345,RECOG,"SNU_R1 fix=6 d=-429.3 s=213.6 count=0 corridors=2"
5.345,RECOG,"SNU_R2 fix=6 d=2.0 s=13.2 count=6 corridors=2"
6.347,RECOG,"SNU_R1 fix=7 d=-429.3 s=213.6 count=0 corridors=2"
6.347,RECOG,"SNU_R2 fix=7 d=2.0 s=13.2 count=7 corridors=2"
7.356,RECOG,"SNU_R1 fix=8 d=-429.2 s=213.6 count=0 corridors=2"
7.356,RECOG,"SNU_R2 fix=8 d=2.0 s=13.3 count=8 corridors=2"
7.356,CORRIDOR,"recognised SNU_R2 (Circular Rd) s=13.3 d=2.0 s_start=13.3"
15.000,ALIGN,"stand g=9.869 pitch=0.93 roll=67.03 bias_dps=[-0.015 -0.045 0.120] quiet=true qfrac=0.86 rot=0.41deg"
15.001,PHASE,"RIDE"
21.344,MOTION_START,"v=1.89"
22.400,DIRECTION,"AB"
27.350,ALIGN,"psi=98.34 (init) pitch=0.93 roll=67.03 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=98.34 (init) pitch=1.27 roll=67.79 blocks=1 moved_at=NaN sway_ratio=NaN"
41.340,ALIGN,"psi=90.12 (sway) pitch=1.27 roll=67.79 blocks=1 moved_at=NaN sway_ratio=27.0"
41.400,ARMED,""
45.010,ALIGN,"psi=90.12 (sway) pitch=1.15 roll=67.91 blocks=2 moved_at=NaN sway_ratio=27.0"
51.340,ALIGN,"psi=89.56 (sway) pitch=1.15 roll=67.91 blocks=2 moved_at=NaN sway_ratio=44.5"
55.010,ALIGN,"psi=89.56 (sway) pitch=1.14 roll=67.83 blocks=3 moved_at=NaN sway_ratio=44.5"
61.340,ALIGN,"psi=89.79 (sway) pitch=1.14 roll=67.83 blocks=3 moved_at=NaN sway_ratio=30.7"
65.010,ALIGN,"psi=89.79 (sway) pitch=1.13 roll=67.73 blocks=4 moved_at=NaN sway_ratio=30.7"
67.356,SIM_ENTER,"armed=true"
67.400,MODE,"GNSS_INS->INERTIAL sim"
67.400,DISARMED,"gnss5s"
67.400,BAND_ENTER,""
71.340,ALIGN,"psi=89.88 (sway) pitch=1.13 roll=67.73 blocks=4 moved_at=NaN sway_ratio=27.8"
75.010,ALIGN,"psi=89.88 (sway) pitch=1.14 roll=67.61 blocks=5 moved_at=NaN sway_ratio=27.8"
81.340,ALIGN,"psi=90.27 (sway) pitch=1.14 roll=67.61 blocks=5 moved_at=NaN sway_ratio=26.4"
85.010,ALIGN,"psi=90.27 (sway) pitch=1.16 roll=67.49 blocks=6 moved_at=NaN sway_ratio=26.4"
91.340,ALIGN,"psi=89.66 (sway) pitch=1.16 roll=67.49 blocks=6 moved_at=NaN sway_ratio=18.9"
95.010,ALIGN,"psi=89.66 (sway) pitch=1.20 roll=67.48 blocks=7 moved_at=NaN sway_ratio=18.9"
101.340,ALIGN,"psi=89.78 (sway) pitch=1.20 roll=67.48 blocks=7 moved_at=NaN sway_ratio=19.7"
105.010,ALIGN,"psi=89.78 (sway) pitch=1.14 roll=67.32 blocks=8 moved_at=NaN sway_ratio=19.7"
111.340,ALIGN,"psi=89.65 (sway) pitch=1.14 roll=67.32 blocks=8 moved_at=NaN sway_ratio=20.8"
115.010,ALIGN,"psi=89.65 (sway) pitch=1.04 roll=67.23 blocks=9 moved_at=NaN sway_ratio=20.8"
121.340,ALIGN,"psi=87.73 (sway) pitch=1.04 roll=67.23 blocks=9 moved_at=NaN sway_ratio=12.9"
125.010,ALIGN,"psi=87.73 (sway) pitch=1.01 roll=67.16 blocks=10 moved_at=NaN sway_ratio=12.9"
131.340,ALIGN,"psi=87.86 (sway) pitch=1.01 roll=67.16 blocks=10 moved_at=NaN sway_ratio=11.4"
135.010,ALIGN,"psi=87.86 (sway) pitch=0.91 roll=67.03 blocks=11 moved_at=NaN sway_ratio=11.4"
141.340,ALIGN,"psi=88.26 (sway) pitch=0.91 roll=67.03 blocks=11 moved_at=NaN sway_ratio=11.5"
145.010,ALIGN,"psi=88.26 (sway) pitch=0.96 roll=67.03 blocks=12 moved_at=NaN sway_ratio=11.5"
151.340,ALIGN,"psi=88.48 (sway) pitch=0.96 roll=67.03 blocks=12 moved_at=NaN sway_ratio=11.2"
155.010,ALIGN,"psi=88.48 (sway) pitch=1.08 roll=67.23 blocks=13 moved_at=NaN sway_ratio=11.2"
161.340,ALIGN,"psi=88.85 (sway) pitch=1.08 roll=67.23 blocks=13 moved_at=NaN sway_ratio=11.3"
165.010,ALIGN,"psi=88.85 (sway) pitch=1.02 roll=67.13 blocks=14 moved_at=NaN sway_ratio=11.3"
171.340,ALIGN,"psi=88.79 (sway) pitch=1.02 roll=67.13 blocks=14 moved_at=NaN sway_ratio=11.0"
