t_ns,mx,my,mz,accuracy
28042041423862,-25.143751,-30.712502,-28.968752,3
28042051423862,-24.525002,-31.25625,-26.868752,3
28042061423862,-27.4125,-32.775,-26.79375,3
28042071423862,-27.13125,-32.11875,-27.45,3
28042081423862,-26.38125,-30.50625,-27.900002,3
28042091423862,-27.993752,-32.34375,-25.968752,3
28042101423862,-28.25625,-30.88125,-24.6,3
28042111423862,-26.85,-30.562502,-28.143751,3
28042121423862,-27.675001,-30.806252,-27.88125,3
28042131423862,-29.5125,-31.931252,-25.181252,3
28042141423862,-28.0125,-30.73125,-26.625002,3
28042151423862,-27.50625,-30.91875,-28.81875,3
28042161423862,-27.975,-29.718752,-27.581251,3
28042171423862,-29.306252,-31.031252,-26.60625,3
28042181423862,-29.04375,-29.60625,-27.45,3
28042191423862,-28.125002,-30.225,-25.3875,3
28042201423862,-29.456251,-30.4125,-28.462502,3
28042211423862,-28.875002,-31.218752,-26.6625,3
28042221423862,-29.493752,-30.91875,-25.368752,3
28042231423862,-28.425001,-28.781252,-27.862501,3
28042241423862,-29.38125,-30.656252,-27.54375,3
28042251423862,-28.593752,-30.54375,-27.337502,3
28042261423862,-27.13125,-28.725,-29.250002,3
28042271423862,-26.081251,-28.087502,-29.531252,3
28042281423862,-26.681252,-28.800001,-28.837502,3
28042291423862,-26.75625,-28.687502,-30.675001,3
28042301423862,-28.368752,-29.025002,-30.768751,3
28042311423862,-26.75625,-26.925001,-31.48125,3
28042321423862,-26.38125,-27.6375,-32.11875,3
28042331423862,-23.8125,-26.531252,-33.99375,3
28042341423862,-23.71875,-25.143751,-34.66875,3
28042351423862,-23.306252,-25.706251,-35.775,3
28042361423862,-23.362501,-26.362501,-37.443752,3
28042371423862,-23.681252,-24.393751,-36.525,3
28042381423862,-23.306252,-24.093752,-37.050003,3
28042391423862,-23.737501,-24.018751,-37.912502,3
28042401423862,-22.6875,-24.50625,-39.112503,3
28042411423862,-22.40625,-23.71875,-38.850002,3
28042421423862,-17.831251,-20.71875,-39.956253,3
28042431423862,-20.15625,-20.41875,-43.21875,3
28042441423862,-20.025002,-21.2625,-41.8125,3
28042451423862,-21.35625,-20.306252,-39.075,3
28042461423862,-21.225,-20.79375,-41.081253,3
28042471423862,-20.962502,-19.25625,-41.15625,3
28042481423862,-20.925001,-20.00625,-41.287502,3
28042491423862,-19.893751,-22.125,-40.725002,3
28042501423862,-20.400002,-21.31875,-40.237503,3
28042511423862,-23.0625,-23.175001,-39.862503,3
28042521423862,-22.96875,-22.5375,-39.28125,3
28042531423862,-20.19375,-21.65625,-39.1875,3
28042541423862,-22.556252,-22.85625,-39.318752,3
28042551423862,-21.075,-21.65625,-40.7625,3
28042561423862,-22.125,-23.175001,-39.825,3
28042571423862,-21.243752,-23.56875,-40.068752,3
28042581423862,-20.00625,-21.768751,-40.575,3
28042591423862,-19.03125,-21.768751,-41.925003,3
28042601423862,-23.025002,-22.1625,-40.818752,3
28042611423862,-21.6375,-22.10625,-39.768753,3
28042621423862,-21.975,-22.275002,-39.862503,3
28042631423862,-21.0375,-22.03125,-38.756252,3
28042641423862,-22.0125,-21.91875,-41.568752,3
28042651423862,-22.3125,-23.71875,-41.475002,3
28042661423862,-22.03125,-22.9125,-41.381252,3
28042671423862,-21.65625,-22.368752,-40.518753,3
28042681423862,-22.331251,-22.706251,-40.575,3
28042691423862,-23.38125,-23.23125,-39.525,3
28042701423862,-22.3125,-22.331251,-39.525,3
28042711423862,-24.35625,-22.725,-40.5,3
28042721423862,-22.1625,-22.425001,-39.693752,3
28042731423862,-21.6375,-22.368752,-41.1375,3
28042741423862,-21.487501,-23.212502,-40.818752,3
28042751423862,-21.46875,-22.96875,-40.068752,3
28042761423862,-22.612501,-24.13125,-39.131252,3
28042771423862,-23.212502,-23.831251,-38.456253,3
28042781423862,-21.5625,-23.23125,-38.362503,3
28042791423862,-21.075,-23.41875,-39.6375,3
28042801423862,-21.50625,-23.98125,-39.2625,3
28042811423862,-21.075,-22.66875,-40.575,3
28042821423862,-21.525002,-24.35625,-40.3125,3
28042831423862,-21.487501,-23.212502,-40.818752,3
28042841423862,-22.35,-24.712502,-40.518753,3
28042851423862,-21.1875,-23.175001,-40.0875,3
28042861423862,-19.368752,-22.06875,-42.487503,3
28042871423862,-17.6625,-22.96875,-41.8875,3
28042881423862,-18.65625,-22.725,-43.78125,3
28042891423862,-17.550001,-22.575,-43.29375,3
28042901423862,-18.46875,-21.5625,-43.537502,3
28042911423862,-16.6875,-23.212502,-44.30625,3
28042921423862,-15.69375,-22.706251,-43.818752,3
28042931423862,-17.34375,-21.16875,-42.600002,3
28042941423862,-18.31875,-22.556252,-43.36875,3
28042951423862,-16.743752,-20.7,-44.53125,3
28042961423862,-14.962501,-21.73125,-46.85625,3
28042971423862,-18.825,-21.862501,-43.78125,3
28042981423862,-19.40625,-22.706251,-44.60625,3
28042991423862,-17.831251,-22.35,-43.275,3
28043001423862,-18.525002,-21.5625,-41.831253,3
28043011423862,-19.7625,-21.618752,-42.45,3
28043021423862,-18.16875,-21.65625,-43.725002,3
28043031423862,-18.975,-22.0125,-44.381252,3
28043041423862,-19.0125,-20.00625,-43.050003,3
28043051423862,-18.91875,-20.75625,-44.568752,3
28043061423862,-20.8125,-21.375,-42.018753,3
28043071423862,-18.9375,-20.493752,-42.9,3
28043081423862,-19.81875,-21.112501,-43.068752,3
28043091423862,-20.15625,-21.16875,-42.2625,3
28043101423862,-21.712502,-21.375,-43.143753,3
28043111423862,-22.0125,-22.66875,-40.93125,3
28043121423862,-21.393751,-21.956251,-41.475002,3
28043131423862,-20.53125,-19.96875,-43.95,3
28043141423862,-22.63125,-23.38125,-39.91875,3
28043151423862,-23.400002,-23.23125,-39.206253,3
28043161423862,-23.625,-22.368752,-37.66875,3
28043171423862,-23.400002,-22.21875,-38.625,3
28043181423862,-26.681252,-24.16875,-38.943752,3
28043191423862,-26.38125,-22.743752,-35.9625,3
28043201423862,-28.743752,-23.681252,-35.34375,3
28043211423862,-27.0375,-24.843752,-36.131252,3
28043221423862,-26.8875,-23.94375,-36.16875,3
28043231423862,-26.00625,-23.681252,-33.35625,3
28043241423862,-29.00625,-25.593752,-31.875002,3
28043251423862,-28.237501,-24.993752,-33.525,3
28043261423862,-29.56875,-24.675001,-34.143753,3
28043271423862,-27.6,-26.531252,-32.325,3
28043281423862,-29.04375,-25.85625,-32.175003,3
28043291423862,-28.500002,-24.525002,-32.41875,3
28043301423862,-29.7,-25.181252,-32.568752,3
28043311423862,-30.13125,-24.243752,-33.46875,3
28043321423862,-30.487501,-23.2875,-31.9125,3
28043331423862,-30.112501,-24.993752,-33.300003,3
28043341423862,-31.800001,-25.725,-32.925003,3
28043351423862,-31.518751,-27.431252,-31.06875,3
28043361423862,-30.937502,-26.475,-30.093752,3
28043371423862,-30.656252,-25.931252,-30.750002,3
28043381423862,-29.325,-27.13125,-30.2625,3
28043391423862,-27.900002,-26.325,-31.518751,3
28043401423862,-30.35625,-26.906252,-30.900002,3
28043411423862,-29.04375,-27.225,-29.5125,3
