t_s,ax,ay,az,gx,gy,gz,x_m,y_m,lat,lon,speed_mps,bearing_deg,gnss_age_s,state
0.370000,-1.248519,8.843781,4.291117,-0.000805,-0.010847,0.001905,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.380000,-1.036876,8.874781,4.162939,-0.001213,-0.023413,0.009798,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.390000,-0.817973,8.875121,4.127542,-0.002423,-0.007558,-0.000421,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.400000,-0.804700,8.874615,4.211942,-0.004299,0.011619,-0.012648,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.410000,-0.906226,8.875142,4.388657,-0.003844,0.005691,-0.012532,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.420000,-0.913030,8.787392,4.417012,-0.000887,-0.008475,-0.006362,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.430000,-0.881492,8.762755,4.274814,0.000956,-0.003254,-0.007061,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.440000,-0.976019,8.824204,4.196962,0.000122,0.012458,-0.014541,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.450000,-1.169090,8.845083,4.232361,0.000357,0.013826,-0.015163,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.460000,-1.230922,8.853632,4.292784,0.000560,-0.005793,-0.003192,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.470000,-1.076345,8.847015,4.313169,0.000935,-0.022302,0.008072,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.480000,-0.860912,8.836414,4.257356,0.001405,-0.010473,0.003554,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.490000,-0.838772,8.836458,4.262280,0.001162,0.012194,-0.010518,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.500000,-1.008942,8.841622,4.321516,0.001521,0.013819,-0.015315,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.510000,-1.075337,8.845731,4.266390,0.002556,-0.003301,-0.005987,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.520000,-0.974580,8.854301,4.142346,0.001925,-0.010689,0.001200,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.530000,-0.906701,8.885244,4.084390,0.000587,0.002771,-0.003468,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.540000,-1.011044,8.876308,4.150280,-0.001465,0.016701,-0.010928,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.550000,-1.164702,8.817171,4.316577,-0.002532,0.006338,-0.005431,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.560000,-1.142112,8.810533,4.394849,-0.000636,-0.015364,0.007373,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.570000,-0.963244,8.862325,4.344067,0.001315,-0.015477,0.008407,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.580000,-0.889392,8.885938,4.295651,0.002043,0.003248,-0.003313,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.590000,-1.001380,8.898957,4.301752,0.001761,0.013565,-0.011900,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.600000,-1.115622,8.891215,4.318586,0.002435,0.002032,-0.005259,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.610000,-1.066753,8.880172,4.211167,0.003074,-0.009921,0.006653,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.620000,-0.955129,8.878221,4.100290,0.002203,-0.001284,0.005266,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.630000,-0.960342,8.861545,4.135903,0.000161,0.010592,-0.004349,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.640000,-1.010937,8.833490,4.267714,-0.001037,0.003007,-0.004217,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.650000,-0.905496,8.817363,4.351420,0.000006,-0.016408,0.005790,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.660000,-0.695411,8.807692,4.283112,0.001497,-0.015453,0.005781,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.670000,-0.667411,8.818717,4.192135,0.001715,0.011587,-0.010113,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.680000,-0.941854,8.824644,4.212121,0.000829,0.032722,-0.021574,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.690000,-1.291692,8.854705,4.275329,0.000921,0.019550,-0.012864,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.700000,-1.345415,8.915518,4.282075,0.000099,-0.011792,0.004172,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.710000,-1.075575,8.879079,4.243370,-0.000017,-0.023751,0.008987,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.720000,-0.841411,8.808860,4.230811,-0.000388,-0.008498,0.000487,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.730000,-0.838993,8.818157,4.262990,0.000143,0.011376,-0.007677,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.740000,-0.969113,8.859260,4.244068,0.001394,0.017390,-0.007967,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.750000,-1.093743,8.892818,4.164014,-0.000071,0.009965,-0.003659,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.760000,-1.092866,8.873471,4.186859,-0.001913,-0.005492,0.001983,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.770000,-0.947946,8.826389,4.275498,-0.002301,-0.016615,0.004592,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.780000,-0.789993,8.826524,4.317837,-0.001438,-0.013114,0.002896,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.790000,-0.755882,8.871121,4.277729,0.000391,0.003242,-0.004295,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.800000,-0.917415,8.907456,4.235896,0.000473,0.021953,-0.014182,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.810000,-1.197410,8.892343,4.258325,-0.000454,0.019887,-0.014683,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.820000,-1.321755,8.869670,4.269329,-0.000520,-0.004463,-0.001792,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.830000,-1.151921,8.858529,4.215973,-0.000404,-0.021733,0.010097,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.840000,-0.904278,8.846517,4.176818,-0.001655,-0.011846,0.007282,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.850000,-0.869028,8.825142,4.185506,-0.002775,0.011783,-0.004759,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.860000,-1.070432,8.824219,4.253107,-0.002671,0.018996,-0.007452,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.870000,-1.239457,8.842873,4.262928,-0.002737,0.001837,0.004294,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.880000,-1.180788,8.859242,4.225342,-0.002466,-0.017433,0.014613,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.890000,-1.018109,8.830697,4.215622,-0.002907,-0.019032,0.013021,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.900000,-0.964596,8.779634,4.291057,-0.003328,-0.009024,0.007621,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.910000,-1.047895,8.800965,4.333747,-0.002043,-0.000699,0.007854,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.920000,-1.189616,8.893608,4.289099,-0.000282,0.001642,0.011377,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.930000,-1.286564,8.925842,4.238403,0.000061,-0.003078,0.013753,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.940000,-1.285998,8.893896,4.226757,-0.002332,-0.014792,0.018334,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.950000,-1.123284,8.865893,4.323941,-0.002922,-0.028297,0.026489,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.960000,-0.858867,8.842956,4.313684,-0.001136,-0.026246,0.029172,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.970000,-0.774178,8.867222,4.217638,-0.001240,-0.003234,0.021250,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.980000,-0.965045,8.870527,4.185044,-0.001344,0.015063,0.011087,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.990000,-1.211677,8.847365,4.239596,-0.002311,0.001702,0.013036,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.000000,-1.209764,8.803567,4.335263,-0.002893,-0.033956,0.029924,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.010000,-0.920530,8.764624,4.298013,-0.002052,-0.047883,0.041582,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.020000,-0.703570,8.809620,4.193347,-0.001156,-0.017490,0.030116,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.030000,-0.902759,8.853075,4.194497,-0.001562,0.020245,0.011712,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.040000,-1.307604,8.857237,4.319944,-0.002245,0.012443,0.013914,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.050000,-1.386365,8.821784,4.433572,-0.000184,-0.034113,0.036683,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.060000,-1.027591,8.796902,4.336991,0.001780,-0.058136,0.051335,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.070000,-0.667987,8.847637,4.194115,0.002310,-0.030396,0.038523,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.080000,-0.766844,8.904032,4.128103,0.001173,0.012780,0.014396,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.090000,-1.154912,8.923234,4.226401,-0.000828,0.014449,0.012335,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.100000,-1.297572,8.867268,4.356210,-0.000429,-0.029677,0.036893,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.110000,-0.968145,8.783422,4.281871,0.000119,-0.060534,0.056207,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.120000,-0.569390,8.790025,4.197727,-0.000365,-0.039893,0.047133,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.130000,-0.607756,8.841113,4.237871,-0.000170,0.002093,0.024226,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.140000,-1.019771,8.876700,4.365319,0.000489,0.011090,0.018268,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.150000,-1.293610,8.906718,4.428239,0.002347,-0.024068,0.036203,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.160000,-1.104829,8.901398,4.365850,0.003569,-0.058251,0.053418,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.170000,-0.724137,8.853951,4.241558,0.003498,-0.051527,0.047850,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.180000,-0.568695,8.796957,4.200931,0.003625,-0.019618,0.030644,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
1.190000,-0.680039,8.824955,4.201640,0.002949,-0.003168,0.023960,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
