t_ns,qx,qy,qz,qw
32581050503955,0.37584794,0.4106717,0.5755282,0.59904456
32581055261664,0.37589595,0.41062894,0.5755589,0.5990142
32581060019320,0.3759498,0.41057038,0.57560027,0.5989809
32581064777028,0.37599114,0.41051778,0.57563674,0.5989558
32581069534685,0.37599757,0.41049775,0.5756799,0.59892416
32581074292393,0.37598294,0.41049573,0.5757076,0.59890807
32581079050049,0.37595046,0.4105125,0.5757206,0.5989044
32581083807757,0.37592265,0.4105274,0.5757092,0.5989226
32581088565414,0.37589046,0.41054657,0.5756947,0.59894365
32581093323070,0.3758606,0.41056523,0.5756807,0.5989631
32581098080778,0.3758335,0.41057917,0.5756699,0.5989809
32581102838487,0.37581542,0.4105792,0.57566863,0.5989934
32581107596143,0.37581298,0.41056868,0.57567525,0.5989958
32581112353851,0.37581703,0.41055438,0.5756847,0.59899396
32581117111507,0.37582475,0.41053933,0.57569486,0.59898967
32581121869164,0.3758257,0.41052708,0.5757027,0.59898984
32581126626872,0.37583172,0.410519,0.57570845,0.5989862
32581131384580,0.3758339,0.410522,0.57570666,0.5989845
32581136142237,0.37581524,0.41053253,0.57569855,0.5989967
32581140899893,0.37579215,0.4105464,0.5756881,0.5990118
32581145657601,0.37577567,0.41056013,0.5756782,0.59902227
32581150415257,0.37576953,0.4105624,0.5756763,0.5990263
32581155172966,0.3757706,0.41054854,0.57568526,0.59902656
32581159930622,0.37579316,0.41052568,0.5756931,0.59902066
32581164688330,0.37582985,0.410493,0.5757077,0.59900594
32581169445987,0.37587208,0.4104622,0.5757303,0.59897876
32581174203695,0.3759156,0.41043288,0.5757521,0.5989506
32581178961351,0.37595713,0.410405,0.57577276,0.59892374
32581183719060,0.3759882,0.41038722,0.57578635,0.5989034
32581188476716,0.37600696,0.4103813,0.57579136,0.59889084
32581193234424,0.37602583,0.41037586,0.5757962,0.5988781
32581197992080,0.3760344,0.4103883,0.57578874,0.59887135
32581202749789,0.37603158,0.41039854,0.575782,0.5988726
32581207507445,0.3760321,0.41041315,0.5757727,0.59887123
32581212265153,0.37603804,0.4104236,0.57576627,0.5988664
32581217022862,0.37604767,0.41042307,0.5757673,0.5988598
32581221780518,0.37607253,0.41040325,0.5757699,0.59885526
32581226538174,0.37609345,0.41038954,0.5757801,0.59884167
32581231295882,0.37611365,0.41037557,0.5757905,0.5988286
32581236053539,0.37613434,0.4103606,0.5758015,0.5988153
32581240811247,0.37615442,0.41034493,0.57581294,0.59880245
32581245568955,0.37616545,0.41032892,0.57582396,0.5987959
32581250326612,0.37617233,0.41031328,0.5758344,0.5987922
32581255084268,0.37617257,0.41030577,0.57583934,0.5987925
32581259841976,0.37616846,0.41030014,0.5758427,0.5987958
32581264599632,0.37615836,0.41030297,0.5758401,0.59880257
32581269357341,0.37614155,0.41031173,0.5758334,0.5988136
32581274114997,0.37612265,0.410324,0.57582426,0.5988259
32581278872705,0.3761005,0.41033244,0.57581735,0.59884065
32581283630310,0.37607995,0.4103446,0.575808,0.59885406
32581288388070,0.3760799,0.41035372,0.5757948,0.5988606
32581293145726,0.3760906,0.41034687,0.5757879,0.59886533
32581297903435,0.3761161,0.41033238,0.57578695,0.59886
32581302661091,0.3761539,0.4103075,0.5757975,0.5988432
32581307418799,0.37619773,0.41027242,0.5758181,0.59881985
32581312176455,0.37623855,0.41024026,0.57584584,0.59878963
32581316934164,0.37627494,0.4102211,0.5758745,0.59875226
32581321691820,0.376304,0.41020143,0.57588917,0.5987334
32581326449528,0.37631068,0.41019174,0.5758959,0.59872943
32581331207185,0.37630272,0.4101986,0.57589084,0.5987345
32581335964893,0.37628487,0.41020888,0.57588315,0.5987462
32581340722549,0.37625337,0.4102269,0.57586944,0.5987668
32581345480257,0.37622908,0.41023666,0.57586473,0.59877986
32581350237914,0.3762265,0.41022354,0.5758657,0.59878963
32581354995622,0.37624276,0.41018966,0.5758735,0.5987951
32581359753278,0.37627962,0.41013056,0.575895,0.5987918
32581364510987,0.37633237,0.410055,0.5759336,0.5987732
32581369268643,0.37640616,0.40996408,0.5759898,0.59873503
32581374026351,0.37647212,0.40987498,0.5760514,0.5986953
32581378784007,0.37652725,0.4097964,0.57610554,0.59866226
32581383541716,0.37655213,0.40973812,0.5761744,0.5986203
32581388299372,0.37654704,0.40970948,0.57622594,0.5985935
32581393057080,0.37651184,0.4097015,0.5762631,0.5985852
32581397814737,0.37645626,0.40971524,0.5762811,0.5985936
32581402572445,0.37640554,0.40971547,0.57627743,0.5986287
32581407330101,0.37635306,0.4097183,0.57627225,0.5986649
32581412087810,0.37631106,0.40970716,0.57627666,0.5986947
32581416845466,0.37629703,0.40966576,0.576287,0.59872186
32581421603174,0.37631354,0.40960947,0.5763035,0.5987341
32581426360830,0.3763488,0.40952358,0.5763422,0.5987334
32581431118539,0.37639824,0.40942407,0.57639927,0.5987155
32581435876195,0.37645072,0.40931925,0.5764699,0.5986861
32581440633903,0.37649524,0.40921932,0.576537,0.59866184
32581445391560,0.3764999,0.40916502,0.5766025,0.59863293
32581450149268,0.37647223,0.40913996,0.5766589,0.5986131
32581454906924,0.3764099,0.4091541,0.5766913,0.5986114
32581459664632,0.37632045,0.4091991,0.5766981,0.59863037
32581464422237,0.3762076,0.40926015,0.576684,0.5986731
32581469179997,0.37610322,0.409311,0.5766445,0.598742
32581473937653,0.3760136,0.40935466,0.5766107,0.5988011
32581478695362,0.37595618,0.40936786,0.57657814,0.5988593
32581483453018,0.37595546,0.4093463,0.57656497,0.5988872
32581488210726,0.37599307,0.40928945,0.5765768,0.5988911
32581492968382,0.37605003,0.40921867,0.5766104,0.5988714
32581497726091,0.37611353,0.40914863,0.5766586,0.5988329
32581502483747,0.37617195,0.40909186,0.57669884,0.59879625
32581507241455,0.37619132,0.40907845,0.57674396,0.5987498
32581511999112,0.37616953,0.4091026,0.57677263,0.5987194
32581516756820,0.37611502,0.4091622,0.57677317,0.5987124
32581521514476,0.37603772,0.4092535,0.5767434,0.59872717
32581526272185,0.37596005,0.40933642,0.5766851,0.59877545
32581531029841,0.37588936,0.40940464,0.5766315,0.59882486
32581535787497,0.37585953,0.40944365,0.57658166,0.59886485
32581540545205,0.37586778,0.4094485,0.57654124,0.5988953
32581545302862,0.3759194,0.40940863,0.5765246,0.59890616
32581550060570,0.3760142,0.40932673,0.5765412,0.5988867
32581554818226,0.3761236,0.40922964,0.57658064,0.5988463
32581559575935,0.3762353,0.40913317,0.5766363,0.5987885
32581564333591,0.37634248,0.4090521,0.57670116,0.59871405
32581569091299,0.37642622,0.40899977,0.57676005,0.59864044
32581573848955,0.37647736,0.4089757,0.57680726,0.59857917
32581578606664,0.37649062,0.40896735,0.5768421,0.5985429
32581583364320,0.3764898,0.40896398,0.5768442,0.5985437
32581588122028,0.3764678,0.40898377,0.57683015,0.59855765
32581592879685,0.37644708,0.4090046,0.5768164,0.59856975
32581597637393,0.3764446,0.4090039,0.5768026,0.598585
32581602395049,0.37646514,0.4089797,0.5767981,0.59859306
32581607152757,0.3765026,0.408931,0.57680845,0.5985927
32581611910414,0.37655962,0.40886447,0.5768394,0.59857243
32581616668122,0.3766285,0.40879667,0.5768817,0.59853464
32581621425778,0.376684,0.40873644,0.5769239,0.59850013
32581626183487,0.37673375,0.40869275,0.57695514,0.59846854
32581630941143,0.37675026,0.40869135,0.5769926,0.5984231
32581635698851,0.37673002,0.40870866,0.57701933,0.5983982
32581640456507,0.37669507,0.4087394,0.5770335,0.59838563
32581645214216,0.37665465,0.40878358,0.57703286,0.5983814
32581649971872,0.3766252,0.40882012,0.57700753,0.5983994
32581654729580,0.37660125,0.40884694,0.5769887,0.59841424
32581659487237,0.37660706,0.40885782,0.576982,0.5984096
32581664244945,0.37665474,0.40884158,0.5769824,0.59839046
32581669002601,0.37677246,0.40880576,0.5769887,0.5983347
32581673760310,0.3770299,0.40886074,0.57695276,0.5981696
32581678517966,0.37712476,0.4087644,0.57703453,0.5980967
32581683275674,0.37710992,0.40855277,0.5771932,0.5980976
32581688033330,0.37729153,0.40862513,0.57719785,0.5979291
32581692791039,0.37741306,0.4087488,0.57718986,0.5977756
32581697548695,0.37734845,0.4087738,0.57723683,0.59775394
32581702306403,0.3773091,0.40891764,0.5772085,0.5977076
32581707064060,0.37733063,0.40912208,0.57712007,0.5976396
32581711821768,0.3772972,0.40921292,0.57705957,0.59765697
32581716579424,0.37723538,0.40922236,0.577043,0.59770554
32581721337132,0.37731823,0.40927523,0.5769902,0.59766805
32581726094789,0.3774464,0.40931517,0.57695043,0.5975981
32581730852497,0.37751,0.4092339,0.5769883,0.5975771
32581735610153,0.37762347,0.40917298,0.57703465,0.5975023
32581740367862,0.3778031,0.40918425,0.5770388,0.59737694
32581745125518,0.37787542,0.40917403,0.5770969,0.5972822
32581749883226,0.3778166,0.40910017,0.57719094,0.59727913
32581754640882,0.3777947,0.40918222,0.5772004,0.5972276
32581759398591,0.37784684,0.40936387,0.57713205,0.59713614
32581764156247,0.37773323,0.40943074,0.5771186,0.59717524
32581768913955,0.3776336,0.40945625,0.5770957,0.59724283
32581773671612,0.37764266,0.40954524,0.57703906,0.5972308
32581778429268,0.37763503,0.40957117,0.57702196,0.5972344
32581783186976,0.37761173,0.40953174,0.57704574,0.59725314
32581787944632,0.377636,0.40952605,0.577051,0.5972367
32581792702341,0.3777156,0.40955675,0.5770364,0.5971794
32581797459997,0.37773013,0.40956783,0.57706094,0.5971389
32581802217705,0.3776782,0.4095773,0.57710236,0.59712523
32581806975362,0.37765363,0.40968665,0.5770953,0.59707254
32581811733070,0.37759957,0.40983632,0.57706964,0.59702873
32581816490726,0.37746292,0.4099866,0.57703876,0.59704185
32581821248435,0.3773359,0.41015226,0.576979,0.59706616
32581826006091,0.37723914,0.4102922,0.5769026,0.59710497
32581830763799,0.3771727,0.4103446,0.5768444,0.5971671
32581835521455,0.37718174,0.4103238,0.57680935,0.59720963
32581840279164,0.3773074,0.41024944,0.57679427,0.5971958
32581845036820,0.37751693,0.41009223,0.5768281,0.59713876
32581849794528,0.37777552,0.40984878,0.57691556,0.5970578
32581854552185,0.37809145,0.40956464,0.5770432,0.5969295
32581859309893,0.3784285,0.40929595,0.5771909,0.59675753
32581864067549,0.37871122,0.40905967,0.57735825,0.59657806
32581868825257,0.37890232,0.40891433,0.5775113,0.5964082
32581873582914,0.37897995,0.4088981,0.57761234,0.5962722
32581878340622,0.37894064,0.40898183,0.5776549,0.5961985
32581883098278,0.37878504,0.40913275,0.5776387,0.5962096
32581887855987,0.37855333,0.40935418,0.57755685,0.59628403
32581892613643,0.3782869,0.40961725,0.5774165,0.59640837
32581897371351,0.37799323,0.40987262,0.57725537,0.5965751
32581902129007,0.37772226,0.41007575,0.57709223,0.59676486
32581906886716,0.37755376,0.41025206,0.57691824,0.59691846
32581911644372,0.37745786,0.4103385,0.57678354,0.59704995
32581916402080,0.37740666,0.41029277,0.5767313,0.5971641
32581921159737,0.377469,0.41023773,0.576707,0.597186
32581925917393,0.3775941,0.41019198,0.5767094,0.59713614
32581930675101,0.3776516,0.41009152,0.5767778,0.5971027
32581935432810,0.3776671,0.41004196,0.57686347,0.59704417
32581940190466,0.3776645,0.4101127,0.5768967,0.59696496
32581944948174,0.37760282,0.4102227,0.57689816,0.5969271
32581949705830,0.37749773,0.41031,0.57687056,0.5969602
32581954463539,0.3774174,0.4103951,0.57681054,0.5970105
32581959221195,0.37745467,0.4104502,0.5767257,0.59703106
32581963978903,0.37755507,0.41041666,0.57668716,0.59702784
32581968736560,0.3776776,0.41031304,0.5767076,0.59700185
32581973494216,0.37781405,0.41023225,0.5767456,0.59693426
32581978251924,0.37793228,0.41021714,0.57677656,0.5968399
32581983009580,0.37797567,0.4102352,0.5768073,0.5967703
32581987767289,0.37795982,0.41030815,0.5768145,0.59672326
32581992524997,0.37789863,0.41045192,0.5767839,0.59669274
32581997282653,0.37776977,0.41062737,0.57672125,0.5967141
32582002040310,0.3775692,0.4107865,0.5766448,0.5968055
32582006798018,0.37737137,0.41093162,0.57655114,0.5969211
32582011555674,0.37725806,0.41107813,0.57642144,0.59701705
32582016313382,0.37720355,0.41115797,0.57630986,0.5971043
32582021071039,0.3771579,0.4110921,0.5762793,0.59720796
32582025828747,0.3771728,0.4110068,0.5762825,0.59725416
32582030586403,0.37727374,0.4109122,0.5763066,0.59723234
32582035344112,0.3773264,0.41079125,0.57638806,0.5972037
32582040101768,0.37729624,0.41063097,0.57651055,0.5972147
32582044859476,0.37729457,0.41056302,0.57658905,0.5971866
32582049617132,0.37728852,0.41059208,0.57660913,0.59715104
32582054374841,0.37715,0.41054365,0.57667035,0.5972128
32582059132497,0.3769876,0.41050175,0.57671106,0.5973048
32582063890205,0.3769632,0.4105955,0.576652,0.59731275
32582068647862,0.37687683,0.4106561,0.5766169,0.59735954
32582073405570,0.37667122,0.4106223,0.57664144,0.5974887
32582078163226,0.37657502,0.4107041,0.5765879,0.5975447
32582082920935,0.3765481,0.41089392,0.5764692,0.59754586
32582087678591,0.376345,0.41090503,0.57645404,0.5976807
32582092436299,0.37621194,0.41090316,0.5764193,0.5977993
32582097193955,0.37630683,0.41108558,0.5762757,0.59775245
32582101951664,0.37629926,0.4110704,0.5762521,0.5977905
32582106709320,0.3762659,0.41096935,0.57629424,0.5978403
32582111467028,0.37634477,0.41097176,0.57629794,0.59778553
32582116224685,0.3764634,0.41105038,0.57626975,0.5976839
32582120982393,0.3764437,0.41098094,0.5763257,0.5976901
32582125740049,0.37639984,0.41095796,0.57636684,0.5976939
32582130497705,0.37642264,0.41103244,0.5763536,0.59764105
32582135255414,0.37629455,0.41102016,0.57640415,0.5976814
32582140013070,0.37607017,0.41103435,0.5764509,0.59776783
32582144770726,0.37592107,0.41111165,0.5764276,0.59783095
32582149528435,0.3758462,0.41129544,0.5763102,0.59786475
32582154286143,0.37575707,0.411308,0.57624316,0.59797674
32582159043799,0.37572184,0.4111782,0.57622385,0.59810674
32582163801507,0.375947,0.4110805,0.5761767,0.5980779
32582168559164,0.3762997,0.410908,0.57619125,0.5979606
32582173316872,0.3766065,0.41062453,0.57632244,0.59783566
32582178074528,0.3768933,0.41044435,0.57646877,0.59763753
32582182832237,0.37716386,0.41047725,0.5765545,0.59736145
32582187589893,0.3772096,0.41066462,0.5766032,0.59715676
32582192347601,0.37697166,0.4109589,0.5766088,0.59709924
32582197105257,0.3766076,0.41143674,0.5764819,0.59712243
32582201862914,0.37616134,0.41198897,0.5762442,0.5972523
32582206620622,0.37563974,0.41241428,0.575985,0.59753704
32582211378330,0.37524262,0.41270092,0.5757104,0.5978532
32582216135987,0.37510338,0.41282704,0.5754584,0.5980961
32582220893695,0.37515667,0.4127109,0.57532734,0.59826887
