t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.2499132,31768428132327,28.5271128,77.5772305,152.7654419,3.7900925,0.0000000,,25,-0.0296907,-0.0050094
2.5309133,31769709132431,28.5271128,77.5772306,152.8143311,3.7900925,0.0000000,,25,-0.0248005,-0.0050094
3.5327158,31770710934930,28.5271128,77.5772306,152.8550415,3.7900925,0.0000000,,53,-0.0248005,-0.0139150
4.5356000,31771713819149,28.5271128,77.5772306,152.8746948,3.7900925,0.0000000,,56,-0.0199103,-0.0083490
5.5273918,31772705610919,28.5271128,77.5772306,152.9290771,3.7900925,0.0000000,,56,-0.0218664,-0.0150282
6.5372605,31773715479670,28.5271127,77.5772307,152.9595947,3.7900925,0.0000000,,57,-0.0159981,-0.0172546
7.5384351,31774716654252,28.5271128,77.5772308,152.9757080,3.7900925,0.0000000,,58,-0.0042615,-0.0072358
8.5325178,31775710736959,28.5271129,77.5772309,152.9732056,3.7900925,0.0000000,,60,0.0064970,0.0016698
9.5364464,31776714665554,28.5271129,77.5772309,153.0161743,3.7900925,0.0000000,,61,0.0104092,0.0027830
10.5348716,31777713090708,28.5271130,77.5772310,153.0491943,3.7900925,0.0000000,,61,0.0182336,0.0105754
11.5363756,31778714594719,28.5271130,77.5772310,153.0444336,3.7900925,0.0000000,,62,0.0231238,0.0139150
12.5358510,31779714070134,28.5271130,77.5772311,153.0537109,3.7900925,0.0000000,,60,0.0270360,0.0150282
13.5402918,31780718510969,28.5271130,77.5772311,153.0545654,3.7900925,0.0000000,,61,0.0289921,0.0161414
14.5392330,31781717452166,28.5271130,77.5772311,153.0765381,3.7900925,0.0000000,,60,0.0270360,0.0116886
15.5359861,31782714205238,28.5271129,77.5772310,153.0757446,3.7900925,0.0000000,,61,0.0221458,0.0061226
16.5298296,31783708048779,28.5271129,77.5772310,153.0828857,3.7900925,0.0000000,,60,0.0231238,0.0050094
17.5311615,31784709380654,28.5271129,77.5772311,153.0836182,3.7900925,0.0000000,,59,0.0241019,0.0050094
18.5287318,31785706950965,28.5271129,77.5772311,153.0914307,3.7900925,0.0000000,,59,0.0250799,0.0038962
19.5284937,31786706712841,28.5271129,77.5772311,153.0979614,3.7900925,0.0000000,,60,0.0280141,0.0038962
20.5336387,31787711857893,28.5271128,77.5772310,153.1005859,3.7900925,0.0000000,,59,0.0172556,-0.0128018
21.5331431,31788711362216,28.5271127,77.5772310,153.1077881,3.7900925,0.0000000,,59,0.0172556,-0.0194810
22.5371969,31789715416017,28.5271127,77.5772310,153.1087036,3.7900925,0.0000000,,59,0.0182336,-0.0205942
