t_ns,mx,my,mz,accuracy
20535863274745,-4.05,-19.85625,-38.79375,3
20535873274745,-4.03125,-17.85,-38.86875,3
20535883274745,-2.325,-18.0,-39.525,3
20535893274745,-3.7687502,-17.325,-39.05625,3
20535903274745,-3.7500002,-17.306252,-39.675003,3
20535913274745,-4.0687504,-18.112501,-38.850002,3
20535923274745,-2.04375,-17.212502,-39.43125,3
20535933274745,-2.325,-17.737501,-38.1375,3
20535943274745,-4.4625,-19.1625,-37.0875,3
20535953274745,-6.8625,-20.362501,-36.15,3
20535963274745,-6.9375005,-19.612501,-34.78125,3
20535973274745,-5.8875003,-20.1,-36.43125,3
20535983274745,-5.4750004,-18.4125,-35.60625,3
20535993274745,-4.275,-18.75,-36.1875,3
20536003274745,-6.20625,-18.2625,-36.28125,3
20536013274745,-4.8,-18.712502,-38.90625,3
20536023274745,-6.4500003,-19.425001,-34.6875,3
20536033274745,-6.76875,-18.712502,-35.5875,3
20536043274745,-6.1875005,-18.2625,-36.9,3
20536053274745,-5.2125,-19.0125,-37.3125,3
20536063274745,-4.40625,-18.65625,-36.037502,3
20536073274745,-7.275,-19.1625,-36.600002,3
20536083274745,-4.78125,-18.31875,-37.068752,3
20536093274745,-5.2875004,-19.275002,-36.375,3
20536103274745,-6.0375004,-19.125,-36.28125,3
20536113274745,-5.55,-20.0625,-36.768753,3
20536123274745,-5.26875,-18.2625,-36.09375,3
20536133274745,-6.6000004,-19.3125,-34.518753,3
20536143274745,-4.9125004,-18.975,-36.73125,3
20536153274745,-6.4500003,-19.800001,-36.825,3
20536163274745,-4.89375,-18.975,-37.03125,3
20536173274745,-4.89375,-18.712502,-35.9625,3
20536183274745,-5.5875,-20.0625,-36.0,3
20536193274745,-5.7375,-18.956251,-34.95,3
20536203274745,-4.3500004,-18.2625,-35.737503,3
20536213274745,-6.9375005,-19.612501,-35.25,3
20536223274745,-6.1875005,-19.7625,-35.175003,3
20536233274745,-4.78125,-18.31875,-37.068752,3
20536243274745,-6.0375004,-18.862501,-34.7625,3
20536253274745,-5.2312503,-19.0125,-36.375,3
20536263274745,-6.2812505,-18.525002,-35.193752,3
20536273274745,-5.2312503,-18.75,-35.30625,3
20536283274745,-4.425,-18.65625,-35.41875,3
20536293274745,-4.9125004,-18.712502,-35.362503,3
20536303274745,-5.1375003,-19.875,-34.518753,3
20536313274745,-5.90625,-18.46875,-36.9375,3
20536323274745,-5.5875,-18.5625,-37.575,3
20536333274745,-3.15,-17.60625,-36.206253,3
20536343274745,-5.3250003,-19.650002,-36.956253,3
20536353274745,-6.7500005,-19.462502,-35.41875,3
20536363274745,-7.33125,-19.425001,-36.28125,3
20536373274745,-5.45625,-19.1625,-34.96875,3
20536383274745,-4.8187504,-17.325,-35.550003,3
20536393274745,-4.93125,-18.975,-35.9625,3
20536403274745,-5.49375,-19.425001,-35.41875,3
20536413274745,-5.08125,-18.862501,-35.79375,3
20536423274745,-4.6687503,-19.050001,-35.0625,3
20536433274745,-4.9125004,-18.975,-36.412502,3
20536443274745,-6.4125004,-18.675001,-36.7125,3
20536453274745,-4.9125004,-18.712502,-35.362503,3
