t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=4.9 s=336.7 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-419.7 s=280.9 count=0 corridors=2"
1.574,RECOG,"SNU_R1 fix=2 d=5.0 s=336.7 count=2 corridors=2"
1.574,RECOG,"SNU_R2 fix=2 d=-419.7 s=281.0 count=0 corridors=2"
2.617,RECOG,"SNU_R1 fix=3 d=5.0 s=336.7 count=3 corridors=2"
2.617,RECOG,"SNU_R2 fix=3 d=-419.7 s=281.0 count=0 corridors=2"
3.614,RECOG,"SNU_R1 fix=4 d=4.9 s=336.7 count=4 corridors=2"
3.614,RECOG,"SNU_R2 fix=4 d=-419.7 s=280.9 count=0 corridors=2"
4.610,RECOG,"SNU_R1 fix=5 d=4.8 s=336.7 count=5 corridors=2"
4.610,RECOG,"SNU_R2 fix=5 d=-419.7 s=280.8 count=0 corridors=2"
5.608,RECOG,"SNU_R1 fix=6 d=4.8 s=336.7 count=6 corridors=2"
5.608,RECOG,"SNU_R2 fix=6 d=-419.7 s=280.8 count=0 corridors=2"
6.611,RECOG,"SNU_R1 fix=7 d=4.8 s=336.7 count=7 corridors=2"
6.611,RECOG,"SNU_R2 fix=7 d=-419.7 s=280.8 count=0 corridors=2"
7.616,RECOG,"SNU_R1 fix=8 d=4.7 s=336.7 count=8 corridors=2"
7.616,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=336.7 d=4.7 s_start=336.7"
15.000,ALIGN,"stand g=9.870 pitch=-1.64 roll=63.18 bias_dps=[0.004 -0.024 0.010] quiet=true qfrac=0.79 rot=1.52deg"
15.001,PHASE,"RIDE"
17.617,MOTION_START,"v=1.92"
18.700,DIRECTION,"BA"
23.620,ALIGN,"psi=102.66 (init) pitch=-1.64 roll=63.18 blocks=0 moved_at=NaN sway_ratio=NaN"
25.010,ALIGN,"psi=102.66 (init) pitch=-1.12 roll=64.23 blocks=1 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=102.66 (init) pitch=-1.11 roll=64.08 blocks=2 moved_at=NaN sway_ratio=NaN"
37.610,ALIGN,"psi=92.12 (sway) pitch=-1.11 roll=64.08 blocks=2 moved_at=NaN sway_ratio=8.8"
37.700,ARMED,""
45.010,ALIGN,"psi=92.12 (sway) pitch=-1.04 roll=63.87 blocks=3 moved_at=NaN sway_ratio=8.8"
46.617,SIM_ENTER,"armed=true"
46.700,MODE,"GNSS_INS->INERTIAL sim"
46.700,DISARMED,"gnss5s"
46.700,BAND_ENTER,""
47.610,ALIGN,"psi=92.70 (sway) pitch=-1.04 roll=63.87 blocks=3 moved_at=NaN sway_ratio=8.1"
55.010,ALIGN,"psi=92.70 (sway) pitch=-0.99 roll=63.76 blocks=4 moved_at=NaN sway_ratio=8.1"
57.610,ALIGN,"psi=91.82 (sway) pitch=-0.99 roll=63.76 blocks=4 moved_at=NaN sway_ratio=8.2"
65.010,ALIGN,"psi=91.82 (sway) pitch=-0.96 roll=63.56 blocks=5 moved_at=NaN sway_ratio=8.2"
67.610,ALIGN,"psi=91.38 (sway) pitch=-0.96 roll=63.56 blocks=5 moved_at=NaN sway_ratio=7.2"
75.010,ALIGN,"psi=91.38 (sway) pitch=-1.00 roll=63.55 blocks=6 moved_at=NaN sway_ratio=7.2"
77.610,ALIGN,"psi=92.46 (sway) pitch=-1.00 roll=63.55 blocks=6 moved_at=NaN sway_ratio=7.9"
81.606,REVEAL,"off_by_m=12.1 distance_m=136 duration_s=36 max_err_m=12.6 sim=true armed=true"
81.700,MODE,"INERTIAL->RECOVERING"
81.700,BAND_EXIT,""
84.700,MODE,"RECOVERING->GNSS_INS"
85.010,ALIGN,"psi=92.46 (sway) pitch=-1.05 roll=63.59 blocks=7 moved_at=NaN sway_ratio=7.9"
86.700,ARMED,""
87.610,ALIGN,"psi=91.02 (sway) pitch=-1.05 roll=63.59 blocks=7 moved_at=NaN sway_ratio=7.1"
95.010,ALIGN,"psi=91.02 (sway) pitch=-1.06 roll=63.53 blocks=8 moved_at=NaN sway_ratio=7.1"
97.610,ALIGN,"psi=90.88 (sway) pitch=-1.06 roll=63.53 blocks=8 moved_at=NaN sway_ratio=6.9"
105.010,ALIGN,"psi=90.88 (sway) pitch=-1.09 roll=63.16 blocks=9 moved_at=NaN sway_ratio=6.9"
105.218,PHASE,"STOP_STAND"
120.218,PHASE,"DONE"
