t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=573.9 s=0.0 count=0 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-2.9 s=903.7 count=1 corridors=2"
1.597,RECOG,"SNU_R1 fix=2 d=573.9 s=0.0 count=0 corridors=2"
1.597,RECOG,"SNU_R2 fix=2 d=-2.9 s=903.7 count=2 corridors=2"
2.179,RECOG,"SNU_R1 fix=3 d=573.9 s=0.0 count=0 corridors=2"
2.179,RECOG,"SNU_R2 fix=3 d=-2.9 s=903.7 count=3 corridors=2"
3.182,RECOG,"SNU_R1 fix=4 d=573.9 s=0.0 count=0 corridors=2"
3.182,RECOG,"SNU_R2 fix=4 d=-2.9 s=903.7 count=4 corridors=2"
4.182,RECOG,"SNU_R1 fix=5 d=573.8 s=0.0 count=0 corridors=2"
4.182,RECOG,"SNU_R2 fix=5 d=-3.0 s=903.7 count=5 corridors=2"
5.191,RECOG,"SNU_R1 fix=6 d=573.8 s=0.0 count=0 corridors=2"
5.191,RECOG,"SNU_R2 fix=6 d=-3.0 s=903.7 count=6 corridors=2"
6.179,RECOG,"SNU_R1 fix=7 d=573.8 s=0.0 count=0 corridors=2"
6.179,RECOG,"SNU_R2 fix=7 d=-3.0 s=903.7 count=7 corridors=2"
7.190,RECOG,"SNU_R1 fix=8 d=573.8 s=0.0 count=0 corridors=2"
7.190,RECOG,"SNU_R2 fix=8 d=-3.0 s=903.7 count=8 corridors=2"
7.190,CORRIDOR,"recognised SNU_R2 (Circular Rd) s=903.7 d=-3.0 s_start=903.7"
15.001,ALIGN,"stand g=9.868 pitch=0.87 roll=67.69 bias_dps=[-0.004 0.008 0.035] quiet=true qfrac=0.93 rot=1.08deg"
15.001,PHASE,"RIDE"
33.187,MOTION_START,"v=1.24"
34.200,DIRECTION,"BA"
39.190,ALIGN,"psi=106.91 (init) pitch=0.87 roll=67.69 blocks=0 moved_at=NaN sway_ratio=NaN"
45.010,ALIGN,"psi=106.91 (init) pitch=1.38 roll=68.57 blocks=1 moved_at=NaN sway_ratio=NaN"
54.180,ALIGN,"psi=89.69 (sway) pitch=1.38 roll=68.57 blocks=1 moved_at=NaN sway_ratio=13.1"
54.200,ARMED,""
55.010,ALIGN,"psi=89.69 (sway) pitch=1.43 roll=68.39 blocks=2 moved_at=NaN sway_ratio=13.1"
64.180,ALIGN,"psi=90.47 (sway) pitch=1.43 roll=68.39 blocks=2 moved_at=NaN sway_ratio=14.9"
65.010,ALIGN,"psi=90.47 (sway) pitch=1.49 roll=68.19 blocks=3 moved_at=NaN sway_ratio=14.9"
74.180,ALIGN,"psi=90.35 (sway) pitch=1.49 roll=68.19 blocks=3 moved_at=NaN sway_ratio=12.0"
75.010,ALIGN,"psi=90.35 (sway) pitch=1.50 roll=68.00 blocks=4 moved_at=NaN sway_ratio=12.0"
80.183,SIM_ENTER,"armed=true"
80.200,MODE,"GNSS_INS->INERTIAL sim"
80.200,DISARMED,"gnss5s"
80.200,BAND_ENTER,""
84.180,ALIGN,"psi=89.83 (sway) pitch=1.50 roll=68.00 blocks=4 moved_at=NaN sway_ratio=12.1"
85.010,ALIGN,"psi=89.83 (sway) pitch=1.53 roll=67.87 blocks=5 moved_at=NaN sway_ratio=12.1"
