t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
3.9900,CALIB,-0.1527,-0.7538,0.0000,1.1313,314.6690,-46.4624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1527,-0.7538,0.0000,-0.1527,-0.7538,0.0000,-0.1527,-0.7538,0.0000,0.0000
4.0900,CALIB,-0.1357,-0.7155,0.0000,1.1313,314.6813,-46.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1357,-0.7155,0.0000,-0.1357,-0.7155,0.0000,-0.1357,-0.7155,0.0000,0.0000
4.1900,CALIB,-0.1242,-0.6822,0.0000,1.1313,314.6870,-46.4443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1242,-0.6822,0.0000,-0.1242,-0.6822,0.0000,-0.1242,-0.6822,0.0000,0.0000
4.2900,CALIB,-0.1174,-0.6534,0.0000,1.1313,314.6898,-46.4416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1174,-0.6534,0.0000,-0.1174,-0.6534,0.0000,-0.1174,-0.6534,0.0000,0.0000
4.3900,CALIB,-0.1114,-0.6264,0.0000,1.1313,314.7018,-46.4295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1114,-0.6264,0.0000,-0.1114,-0.6264,0.0000,-0.1114,-0.6264,0.0000,0.0000
4.4900,CALIB,-0.1061,-0.6009,0.0000,1.1313,314.7055,-46.4258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1061,-0.6009,0.0000,-0.1061,-0.6009,0.0000,-0.1061,-0.6009,0.0000,0.0000
4.5900,CALIB,-0.1014,-0.5766,0.0000,1.1313,314.7029,-46.4284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1014,-0.5766,0.0000,-0.1014,-0.5766,0.0000,-0.1014,-0.5766,0.0000,0.0000
4.6900,CALIB,-0.0972,-0.5534,0.0000,1.1313,314.6953,-46.4361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0972,-0.5534,0.0000,-0.0972,-0.5534,0.0000,-0.0972,-0.5534,0.0000,0.0000
4.7900,CALIB,-0.0934,-0.5308,0.0000,1.1313,314.6882,-46.4432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0934,-0.5308,0.0000,-0.0934,-0.5308,0.0000,-0.0934,-0.5308,0.0000,0.0000
4.8900,CALIB,-0.0898,-0.5086,0.0000,1.1313,314.6784,-46.4530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0898,-0.5086,0.0000,-0.0898,-0.5086,0.0000,-0.0898,-0.5086,0.0000,0.0000
