t_ns,ax,ay,az
28489750619106,0.0,0.0,0.0
28489755377335,0.051152825,0.0035686493,-0.14228845
28489760135512,0.13590622,0.031168938,-0.2162261
28489764893741,0.23293889,-0.02504921,0.013637781
28489769651970,0.2633797,-0.010541916,0.060769558
28489774410199,0.17047673,0.021074295,-0.13685203
28489779168377,0.028220356,0.009851456,-0.10520816
28489783926606,-0.12301743,0.012730598,0.09216595
28489788684783,-0.22567952,0.02611065,0.054358482
28489793443064,-0.24819463,0.04720211,-0.03297186
28489798201293,-0.20855647,0.03422737,0.015731096
28489802959470,-0.1039449,0.022592545,0.100079775
28489807717699,0.01838684,9.784698E-4,-0.004709959
28489812475929,0.094509184,-0.012386322,-0.05549884
28489817234158,0.14624959,-0.02941513,0.006244421
28489821992335,0.11490059,-0.03208351,0.014829397
28489826750564,0.04768437,-0.005426407,-0.05591917
28489831508793,-0.03823495,-0.00737381,-0.021265745
28489836267022,-0.09261137,-0.011541367,0.05692339
28489841025252,-0.119791865,0.007191658,0.04277587
28489845783429,-0.114255786,0.011415482,-0.011664629
28489850541658,-0.05906403,-0.00508976,3.273487E-4
28489855299887,0.04169172,-0.0048656464,0.025527477
28489860058116,0.120108664,-0.009260178,-0.012177706
28489864816345,0.14069426,-0.027280807,-0.0415442
28489869574522,0.11487031,-0.01475811,-0.016923904
28489874332752,0.07418418,-0.0050325394,-0.013990879
28489879090981,0.021238089,-0.0048828125,-0.04119873
28489883849210,-0.048493326,-0.0024166107,-0.02826047
28489888607439,-0.07677728,0.013849258,-0.03196621
28489893365616,-0.06500971,-0.019014359,-0.042521477
28489898123845,-0.060715258,-0.0021781921,-0.038902283
28489902882074,-0.007879853,-0.009069443,-0.05164337
28489907640304,0.048115015,-0.022734642,-0.047814608
28489912398533,0.20992053,-0.038355827,-0.11395359
28489917156710,0.09552717,-1.077652E-4,-0.050363064
28489921914939,0.1707415,0.06735706,-0.025783062
28489926673168,-0.070382595,-0.07194996,-0.09736085
28489931431397,-0.063220024,0.1513977,0.016878605
