t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=6.3 s=15.8 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-214.5 s=443.5 count=0 corridors=2"
1.568,RECOG,"SNU_R1 fix=2 d=6.2 s=15.8 count=2 corridors=2"
1.568,RECOG,"SNU_R2 fix=2 d=-214.5 s=443.5 count=0 corridors=2"
2.383,RECOG,"SNU_R1 fix=3 d=6.2 s=15.8 count=3 corridors=2"
2.383,RECOG,"SNU_R2 fix=3 d=-214.4 s=443.5 count=0 corridors=2"
3.394,RECOG,"SNU_R1 fix=4 d=6.2 s=15.7 count=4 corridors=2"
3.394,RECOG,"SNU_R2 fix=4 d=-214.4 s=443.5 count=0 corridors=2"
4.386,RECOG,"SNU_R1 fix=5 d=6.2 s=15.7 count=5 corridors=2"
4.386,RECOG,"SNU_R2 fix=5 d=-214.3 s=443.5 count=0 corridors=2"
5.385,RECOG,"SNU_R1 fix=6 d=6.1 s=15.6 count=6 corridors=2"
5.385,RECOG,"SNU_R2 fix=6 d=-214.3 s=443.5 count=0 corridors=2"
6.395,RECOG,"SNU_R1 fix=7 d=6.1 s=15.6 count=7 corridors=2"
6.395,RECOG,"SNU_R2 fix=7 d=-214.2 s=443.5 count=0 corridors=2"
7.394,RECOG,"SNU_R1 fix=8 d=6.1 s=15.5 count=8 corridors=2"
7.394,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=15.5 d=6.1 s_start=15.5"
15.000,ALIGN,"stand g=9.871 pitch=3.34 roll=64.88 bias_dps=[0.003 0.038 -0.055] quiet=true qfrac=0.79 rot=1.55deg"
15.001,PHASE,"RIDE"
18.391,MOTION_START,"v=1.29"
19.400,DIRECTION,"AB"
24.400,ALIGN,"psi=59.82 (init) pitch=3.34 roll=64.88 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=59.82 (init) pitch=1.44 roll=65.27 blocks=1 moved_at=NaN sway_ratio=NaN"
39.390,ALIGN,"psi=86.58 (sway) pitch=1.44 roll=65.27 blocks=1 moved_at=NaN sway_ratio=8.4"
39.400,ARMED,""
41.385,SIM_ENTER,"armed=true"
41.400,MODE,"GNSS_INS->INERTIAL sim"
41.400,DISARMED,"gnss5s"
41.400,BAND_ENTER,""
49.390,ALIGN,"psi=91.70 (sway) pitch=1.44 roll=65.27 blocks=1 moved_at=NaN sway_ratio=7.4"
55.010,ALIGN,"psi=91.70 (sway) pitch=1.32 roll=65.20 blocks=2 moved_at=NaN sway_ratio=7.4"
59.390,ALIGN,"psi=91.17 (sway) pitch=1.32 roll=65.20 blocks=2 moved_at=NaN sway_ratio=8.3"
65.010,ALIGN,"psi=91.17 (sway) pitch=0.98 roll=65.13 blocks=3 moved_at=NaN sway_ratio=8.3"
69.390,ALIGN,"psi=90.79 (sway) pitch=0.98 roll=65.13 blocks=3 moved_at=NaN sway_ratio=9.2"
73.390,REVEAL,"off_by_m=4.7 distance_m=142 duration_s=33 max_err_m=5.4 sim=true armed=true"
73.400,MODE,"INERTIAL->RECOVERING"
73.400,BAND_EXIT,""
75.010,ALIGN,"psi=90.79 (sway) pitch=0.87 roll=65.12 blocks=4 moved_at=NaN sway_ratio=9.2"
76.400,MODE,"RECOVERING->GNSS_INS"
78.400,ARMED,""
79.390,ALIGN,"psi=90.44 (sway) pitch=0.87 roll=65.12 blocks=4 moved_at=NaN sway_ratio=9.4"
85.010,ALIGN,"psi=90.44 (sway) pitch=0.91 roll=65.07 blocks=5 moved_at=NaN sway_ratio=9.4"
89.390,ALIGN,"psi=90.49 (sway) pitch=0.91 roll=65.07 blocks=5 moved_at=NaN sway_ratio=9.5"
95.010,ALIGN,"psi=90.49 (sway) pitch=0.94 roll=64.54 blocks=6 moved_at=NaN sway_ratio=9.5"
95.886,PHASE,"STOP_STAND"
110.887,PHASE,"DONE"
