t_ns,value
30120362017028,2.0
30121722016195,1.0
30126042020987,1.0
30130362022132,1.0
30133402197237,2.0
30137722021872,2.0
30142042024320,2.0
30146362020049,2.0
30150682017914,2.0
30151322018330,3.0
30152282019372,1.0
30154202054974,2.0
30154362017943,1.0
30154522200026,2.0
30155002018828,1.0
30155322020964,2.0
30155482020756,1.0
30156922019818,2.0
30157242023308,3.0
30157722022058,2.0
30157882021068,3.0
30158842020026,2.0
30159002020495,1.0
30159642020964,3.0
30160442021693,2.0
30160602018881,1.0
30160762115391,0.0
30161242017995,1.0
30161562023724,2.0
30161722021693,3.0
30162202023672,2.0
30163322019974,1.0
30163482022943,2.0
30164602020495,1.0
30165082217162,6.0
30165242020131,8.0
30165402020235,9.0
30165562022683,8.0
30165722164558,4.0
30165882020443,1.0
30166362086224,9.0
30166682020703,10.0
30166842018047,9.0
30167002021276,8.0
30167162157110,7.0
30167322022631,0.0
30167482018151,4.0
30167642066433,5.0
30168282021485,4.0
30168922020964,3.0
30169722019714,2.0
30170842021328,1.0
30171322095183,2.0
30171482023308,1.0
30172122021589,2.0
30172282020860,1.0
30173082018047,8.0
30173242021589,15.0
30173402018516,14.0
30173722018881,1.0
30174202018360,5.0
30174362019610,8.0
30174522020547,7.0
30174682127839,11.0
30174842017943,10.0
30175002020964,6.0
30175162020183,4.0
30175482018516,3.0
30175642210756,6.0
30175962027631,5.0
30176282207578,4.0
30176442021172,2.0
30176922140599,3.0
30177082148672,2.0
30177722020183,0.0
30178042018203,1.0
30178362024089,4.0
30178682017735,3.0
30178842121641,1.0
30179482023360,2.0
30179802017787,1.0
30180442017995,0.0
30180602019349,1.0
30181722018151,2.0
30181882163776,0.0
30183482021693,14.0
30183802020339,7.0
30183962020860,0.0
30184602160131,6.0
30184762018464,5.0
30184922017787,4.0
30185242019610,3.0
30185402020235,1.0
30185562019766,0.0
30185722019297,1.0
30186522021537,0.0
30190842063047,0.0
30191802021797,1.0
30191962020183,5.0
30192122022370,10.0
30192442186172,0.0
30192762020131,8.0
30192922018881,0.0
30193242021224,4.0
30193402020756,5.0
30193562018047,4.0
30193722019714,12.0
30193882127266,21.0
30194042019870,8.0
30194202018672,3.0
30194362023672,2.0
30194842018151,7.0
30195002023360,11.0
30195162131120,10.0
30195322018568,9.0
30195482017422,7.0
30195642022526,6.0
30195802020495,1.0
30195962018412,2.0
30196122018256,3.0
30196602017943,2.0
30196922019714,1.0
30197082021901,2.0
30197242018516,1.0
30197722020131,2.0
30197882017839,0.0
30198842020235,3.0
30199002019453,4.0
30199162017474,3.0
30199322021120,0.0
30199802018933,4.0
30199962021172,8.0
30200122019610,7.0
30200282018412,6.0
30200602021068,5.0
30200762022318,4.0
30200922019870,3.0
30201242020964,2.0
30201562018047,1.0
30202522022318,0.0
30202682020391,1.0
30202842018985,0.0
30203962021016,8.0
30204282027891,7.0
30204442022006,6.0
30204602020287,0.0
30204762022162,2.0
30204922021953,4.0
30205082019974,3.0
30205402018047,2.0
30206042017578,1.0
30206522020339,4.0
30206682018360,8.0
30206842019037,2.0
30207002132735,0.0
30207482020860,14.0
30207642020599,13.0
30207962233933,3.0
30208122021537,0.0
30210042022891,1.0
30210202018047,0.0
30214522022765,0.0
30218042021411,3.0
30218202020786,6.0
30218362018286,0.0
30219002018494,11.0
30219162172869,20.0
30219322021515,21.0
30219482021411,19.0
30219642018598,17.0
30219802099327,14.0
30219962020056,13.0
30220122027296,11.0
30220282017765,9.0
30220442023702,7.0
30220602022817,4.0
30220762023650,0.0
30220922018025,2.0
30221082020733,3.0
30221242020108,2.0
30221562018338,0.0
30221722023025,1.0
30222362020890,0.0
30226682019171,0.0
30230042020108,1.0
30230202021411,0.0
30234522018702,0.0
30237402022765,1.0
30237562019067,2.0
30237882020838,0.0
30239322023390,5.0
30239482018442,20.0
30239642020056,9.0
30239802024119,6.0
30239962021358,0.0
30241402018077,7.0
30241562180108,12.0
30241722023338,11.0
30242042018077,10.0
30242202020786,9.0
30242362020629,8.0
30242682018181,5.0
30242842018963,7.0
30243002019744,6.0
30243162023911,5.0
30243482021619,4.0
30243962018233,3.0
30244282018911,2.0
30244762020369,1.0
30245242019015,0.0
30246362018025,4.0
30246522021879,0.0
30247162132765,9.0
30247322023025,8.0
30247482021931,7.0
30247642018025,6.0
30247802143129,5.0
30247962022296,4.0
30248282021931,3.0
30248602022973,2.0
30249242019640,1.0
30249402021515,0.0
30250042018025,1.0
30250522020786,0.0
30251322021515,1.0
30251482020369,0.0
30253082020577,8.0
30253242017504,0.0
30253882021046,10.0
30254202020369,9.0
30254522018025,8.0
30254682024275,7.0
30254842022400,6.0
30255162020629,5.0
30255482024015,4.0
30255802018390,3.0
30256122020004,2.0
30256442017608,1.0
30256602020473,0.0
30257082020004,1.0
30257402020577,0.0
30258682028911,6.0
30258842018077,4.0
30259002021098,5.0
30259322022921,0.0
30259482018442,4.0
30259642034119,7.0
30259802021671,6.0
30259962020108,5.0
30260122017973,4.0
30260282020369,3.0
30260602020213,2.0
30261082060786,1.0
30262362099015,0.0
30266202021046,1.0
30266522021723,2.0
30266682019848,0.0
30267482021150,6.0
30267642019067,0.0
30269242022400,1.0
30269722021150,0.0
30272122019119,5.0
30272282020629,3.0
30272442122921,0.0
30273082021491,3.0
30273242017793,7.0
30273722022741,6.0
30273882018001,5.0
30274362020501,4.0
30274682147063,2.0
30274842021022,1.0
30275002022532,5.0
30275162017584,8.0
30275642018938,3.0
30275802017949,4.0
30275962096907,6.0
30276122129616,7.0
30276442018157,6.0
30276602078209,3.0
30276762018782,0.0
30277562021386,1.0
30278682047168,0.0
30279642021751,1.0
30279802024824,2.0
30280122017428,1.0
30281402019928,0.0
30285722019459,0.0
30287322021959,1.0
30287482019928,2.0
30287642018470,6.0
30287962021022,7.0
30288122022793,8.0
30288282017584,7.0
30288922018782,6.0
30289082035397,5.0
30289402024303,4.0
30289562017845,3.0
30289882020136,1.0
30290042022532,8.0
30290362100657,2.0
30290522021074,1.0
30290842017845,0.0
30291002083418,1.0
30291802020657,0.0
30291962020345,8.0
30292122018730,17.0
30292282021647,15.0
30292442023313,13.0
30292602017584,10.0
30292762021803,0.0
30293082020136,5.0
30293242018053,4.0
30293402018209,3.0
30293722021074,2.0
30293882020709,1.0
30294522018418,0.0
30295482020032,1.0
30295962020866,0.0
30297242123366,1.0
30297402021334,0.0
30298202021438,5.0
30298362018105,4.0
30298522021855,0.0
30300602020709,3.0
30300762018886,7.0
30300922019303,2.0
30301082020345,0.0
30301242108157,1.0
30301402017532,3.0
30301882028261,2.0
30302202020553,1.0
30302362019928,0.0
30302842021282,1.0
30303162022011,0.0
30303482211959,12.0
30303642022845,6.0
30303802020866,0.0
30304442020657,6.0
30304602018001,12.0
30304922020605,11.0
30305082019928,10.0
30305242017897,8.0
30305402056126,7.0
30305562021751,6.0
30305722024616,5.0
30305882018209,2.0
30306042020761,3.0
30306202053053,2.0
30306362024251,1.0
30307002017845,0.0
30307162017636,1.0
30307322022011,0.0
30311642077324,0.0
30315162020657,6.0
30315322018261,11.0
30315482020449,0.0
30315802018626,4.0
30316122019563,1.0
30316442018001,7.0
30316762019511,3.0
30316922019980,5.0
30317082017584,9.0
30317242019616,5.0
30317402019876,4.0
30317722017688,3.0
30318042020188,2.0
30318682020032,1.0
30319322020449,0.0
30319482023209,1.0
30319642018418,0.0
30323002019095,1.0
30323162118366,0.0
30325562018782,1.0
30325722021751,0.0
30326042119095,3.0
30326202018157,0.0
30329242022272,1.0
30329402099980,0.0
30329722017584,1.0
30330042020918,0.0
30330202018470,1.0
30330362020397,0.0
30331002022063,2.0
30331162021751,0.0
30331642020813,4.0
30331802019147,8.0
30331962020136,5.0
30332122017584,0.0
30332922146833,13.0
30333082019125,12.0
30333402018292,11.0
30333562132719,10.0
30333722097771,9.0
30333882020010,8.0
30334042018135,7.0
30334202051364,6.0
30334522020792,5.0
30335002021885,2.0
30335322017823,0.0
30335482020583,1.0
30335642022458,0.0
30337082020323,1.0
30337242017979,4.0
30337402020375,0.0
30339642018500,1.0
30339802180635,2.0
30339962020271,0.0
30340442141833,1.0
30340762020219,0.0
30341082079021,1.0
30341242020062,0.0
30342362021469,1.0
30343322019750,2.0
30344122018448,1.0
30345562020010,0.0
30345882019854,1.0
30346042021833,0.0
30348762023135,4.0
30348922020375,6.0
30349242021104,5.0
30349562023604,4.0
30350042020479,3.0
30350202022094,2.0
30350522021677,3.0
30350682019750,1.0
30351322019385,0.0
30351962019125,4.0
30352282019906,3.0
30352602024958,1.0
30352762017667,0.0
30353082020687,1.0
30353242019281,2.0
30353882025844,1.0
30354842120531,0.0
30355482108864,1.0
30355642083864,0.0
30359962022146,0.0
30361722020635,5.0
30361882019698,11.0
30362042024750,4.0
30362202017354,3.0
30362362050062,0.0
30363322023656,1.0
30363482017875,2.0
30363642019489,4.0
30364122018448,8.0
30364282020219,11.0
30364442029958,12.0
30364602017562,11.0
30364762018344,5.0
30364922023604,6.0
30365082020479,8.0
30365402018135,3.0
30365562020010,0.0
30366362021260,3.0
30366522017510,2.0
30367002020479,1.0
30367962214958,0.0
30368602149333,4.0
30368762018031,8.0
30368922023031,7.0
30369242119125,6.0
30369402019333,5.0
30369722018552,4.0
30370202020687,3.0
30370682019854,2.0
30371002017302,1.0
30371162022719,0.0
30371482020635,5.0
30371642017771,10.0
30371802018760,11.0
30371962021000,12.0
30372122017406,5.0
30372282017562,1.0
30372602020114,0.0
30372762023135,4.0
30372922018187,9.0
30373082020479,13.0
30373242072250,12.0
30373402018448,9.0
30373562020219,8.0
30373722020375,9.0
30373882021104,8.0
30374042017823,6.0
30374202020375,7.0
30374362020114,6.0
30374522023083,4.0
30375002019489,3.0
30375322018031,2.0
30375802021000,1.0
30376762055062,0.0
30378042020010,1.0
30378202020739,0.0
30380282022250,9.0
30380442025219,13.0
30380762066156,12.0
30380922018344,11.0
30381082024125,10.0
30381242023292,5.0
30381402022927,0.0
30381562017510,3.0
30381722022719,7.0
30382042117979,6.0
30382202017823,5.0
30382522019698,3.0
30382682019958,2.0
30383162020531,1.0
30384122017823,0.0
30387002020531,4.0
30387162018864,3.0
30387482018187,1.0
30387802018031,0.0
30391322019437,1.0
30391482021312,0.0
30392282017719,1.0
30392922019206,0.0
30394042017279,3.0
30394202218164,7.0
30394362020248,0.0
30396442019883,8.0
30396602017852,14.0
30396762032435,12.0
30396922023998,10.0
30397082019727,8.0
30397242017800,0.0
30397402023841,4.0
30397562018581,5.0
30397722018268,4.0
30397882018425,3.0
30398042021185,2.0
30398202089362,1.0
30398842090664,0.0
30399802019154,1.0
30399962024050,0.0
30401562018373,8.0
30401722161081,15.0
30401882019727,8.0
30402042023425,4.0
30402202018112,0.0
30402522119102,1.0
30402682020039,4.0
30402842017800,0.0
30405722057748,5.0
30406042021029,4.0
30406362020039,3.0
30406682021498,2.0
30407002023841,1.0
30407642021498,0.0
30410042019675,1.0
30410522023164,2.0
30410682020560,1.0
30410842021341,0.0
30411162021237,2.0
30411802021133,1.0
30412122018477,2.0
30416442020925,2.0
30420762026081,2.0
30425082020612,2.0
30429402021654,2.0
