t_ns,wall_ms,type,text
30120305956862,1788560066480,SESSION_START,"20260905_034426_SNU_AJB_BA_run5"
30120306059102,1788560066480,CALIB_START,"stand still 15s"
30135306156856,1788560081480,CALIB_END,"n_fixes=14"
30135306476283,1788560081480,RIDE_START,""
30415264155447,1788560361438,STOP_CALIB_START,"stand still 15s"
30430266894921,1788560376441,STOP_CALIB_END,"n_fixes=15"
30430274013983,1788560376448,SESSION_END,""
