t_ns,gx,gy,gz
30120900864945,-0.2792441,9.050981,3.7645924
30120905622809,-0.27830282,9.051137,3.7642896
30120910380622,-0.27737573,9.051272,3.76403
30120915138487,-0.27644396,9.051446,3.7636807
30120919896351,-0.2756902,9.0516405,3.7632694
30120924654216,-0.27511406,9.051845,3.762818
30120929412028,-0.27466726,9.051974,3.7625391
30120934169893,-0.27429366,9.052056,3.7623699
30120938927757,-0.27397963,9.052182,3.7620888
30120943685570,-0.27345765,9.052327,3.7617803
30120948443434,-0.27259368,9.052506,3.7614086
30120953201299,-0.27162665,9.05267,3.7610874
30120957959164,-0.27066272,9.052794,3.7608554
30120962716976,-0.26960972,9.052871,3.7607474
30120967474841,-0.26848784,9.0529375,3.7606683
30120972232705,-0.26746997,9.0528965,3.7608395
30120976990518,-0.26649913,9.052886,3.7609315
30120981748382,-0.265135,9.052968,3.760831
30120986506247,-0.263607,9.05291,3.7610795
30120991264112,-0.261985,9.052927,3.7611525
30120996021976,-0.2599384,9.052858,3.7614603
30121000779789,-0.2576745,9.052752,3.7618716
30121005537653,-0.2552722,9.052579,3.7624507
30121010295518,-0.25298244,9.052356,3.7631438
30121015053382,-0.25063902,9.052127,3.7638493
30121019811195,-0.24843399,9.051899,3.7645454
30121024569059,-0.24649341,9.051681,3.7651966
30121029326924,-0.24471347,9.051457,3.7658484
30121034084789,-0.24316235,9.051102,3.7668066
30121038842601,-0.2421251,9.050705,3.767824
30121043600466,-0.24129401,9.050439,3.7685156
30121048358330,-0.24039935,9.050151,3.7692673
30121053116143,-0.23941505,9.049774,3.7702317
30121057874007,-0.23821585,9.049489,3.7709913
30121062631872,-0.2369902,9.049219,3.7717187
30121067389737,-0.23579732,9.048944,3.7724526
30121072147549,-0.23474985,9.048785,3.7728968
30121076905414,-0.23388189,9.048763,3.7730045
30121081663278,-0.23346479,9.049102,3.7722218
30121086421143,-0.2333428,9.049392,3.77153
30121091178955,-0.23334786,9.0489855,3.772506
30121095936820,-0.2332943,9.048554,3.7735407
30121100694684,-0.23252861,9.048333,3.774121
30121105452549,-0.23079787,9.047779,3.7755544
30121110210362,-0.2282203,9.047864,3.7755084
30121114968226,-0.22517112,9.048463,3.7742553
30121119726091,-0.22187597,9.048552,3.7742398
30121124483903,-0.21882169,9.048415,3.7747457
30121129241768,-0.21590845,9.048515,3.7746723
30121133999632,-0.2138871,9.04869,3.7743678
30121138757497,-0.21226847,9.048268,3.7754683
30121143515309,-0.21173276,9.047896,3.7763898
30121148273174,-0.2112505,9.047989,3.7761984
30121153031039,-0.21163374,9.0477,3.776866
30121157788903,-0.2121948,9.047619,3.7770293
30121162546716,-0.21237952,9.047884,3.7763848
30121167304580,-0.21249472,9.047942,3.7762375
30121172062445,-0.21259262,9.047947,3.7762206
30121176820257,-0.21271376,9.048075,3.7759101
30121181578122,-0.2127989,9.048069,3.7759156
30121186335987,-0.21311685,9.047521,3.777213
30121191093851,-0.21355085,9.047053,3.7783065
30121195851664,-0.21375345,9.04676,3.778997
30121200609528,-0.21350397,9.04623,3.7802818
30121205367393,-0.21304347,9.045543,3.7819505
30121210125257,-0.21282278,9.045155,3.7828918
30121214883070,-0.2128799,9.044739,3.783885
30121219640934,-0.21341369,9.043996,3.7856266
30121224398747,-0.21490648,9.043096,3.7876916
30121229156664,-0.21661729,9.042173,3.7897978
30121233914476,-0.21856503,9.041273,3.791834
30121238672341,-0.22047338,9.040445,3.7936978
30121243430205,-0.22204682,9.039958,3.794764
30121248188018,-0.2231862,9.039885,3.7948742
30121252945882,-0.22371133,9.040088,3.7943578
30121257703747,-0.22372052,9.040469,3.7934477
30121262461612,-0.22315738,9.040896,3.7924652
30121267219424,-0.22291961,9.041361,3.7913687
30121271977289,-0.22397885,9.041832,3.790185
30121276735153,-0.22711843,9.04223,3.7890477
30121281492966,-0.23323797,9.042579,3.787843
30121286250830,-0.2421944,9.04264,3.7871358
30121291008695,-0.25193083,9.043058,3.7855015
30121295766559,-0.2599802,9.04474,3.780938
30121300524372,-0.26462072,9.045255,3.7793832
30121305282237,-0.26476917,9.045675,3.7783682
30121310040101,-0.26062068,9.046285,3.7771933
30121314797966,-0.2536235,9.045856,3.7786982
30121319555778,-0.24564211,9.045006,3.7812598
30121324313643,-0.23830368,9.044885,3.7820175
30121329071507,-0.23306458,9.045201,3.7815864
30121333829320,-0.23055607,9.044637,3.78309
30121338587184,-0.23019937,9.044625,3.783141
30121343345049,-0.23078768,9.045645,3.7806673
30121348102914,-0.23192845,9.045269,3.781495
30121352860726,-0.23290133,9.044364,3.783601
30121357618591,-0.23317216,9.044098,3.784219
30121362376455,-0.23367228,9.04345,3.785734
30121367134320,-0.23459932,9.041937,3.7892933
30121371892132,-0.23577061,9.04126,3.790834
30121376649997,-0.23692606,9.041789,3.7894998
30121381407862,-0.23788866,9.041371,3.790436
30121386165674,-0.23813976,9.040887,3.7915764
30121390923539,-0.2375371,9.04123,3.7907956
30121395681403,-0.23743112,9.041607,3.7899024
30121400439268,-0.23834711,9.040592,3.7922664
30121405197080,-0.24079901,9.0403,3.7928042
30121409954945,-0.24433446,9.04086,3.7912426
30121414712809,-0.24830994,9.040757,3.7912316
30121419470622,-0.25113553,9.040558,3.7915215
30121424228487,-0.25230166,9.040512,3.7915537
30121428986351,-0.2512595,9.040435,3.791807
30121433744216,-0.2486049,9.040305,3.7922902
30121438502028,-0.24509752,9.039507,3.7944186
30121443259893,-0.24134412,9.039697,3.794208
30121448017757,-0.23867843,9.039997,3.7936616
30121452775570,-0.23792401,9.04026,3.7930825
30121457533434,-0.23887803,9.041121,3.790969
30121462291299,-0.24130745,9.041729,3.789367
30121467049164,-0.24466509,9.041512,3.7896695
30121471806976,-0.24756292,9.041078,3.7905185
30121476564841,-0.2489411,9.040957,3.7907143
30121481322705,-0.2485427,9.040829,3.7910442
30121486080570,-0.24608462,9.040836,3.7911878
30121490838382,-0.24209473,9.0408125,3.7915032
30121495596247,-0.23776028,9.040954,3.7914395
