t_ns,gx,gy,gz
19849525644742,-0.0814527,8.763352,4.400842
19849530402867,-0.0551503,8.770885,4.386218
19849535160940,-0.052178267,8.758468,4.4109993
19849539919117,-0.07306307,8.750932,4.4256344
19849544677242,-0.108028956,8.748661,4.4294076
19849549435367,-0.14742045,8.741723,4.4419513
19849554193492,-0.17818224,8.729724,4.4643645
19849558951670,-0.19533797,8.718474,4.4855795
19849563709795,-0.19437513,8.709683,4.502668
19849568467920,-0.18241945,8.701981,4.5180354
19849573226045,-0.16754095,8.696371,4.529398
19849577984170,-0.15460427,8.691919,4.5383945
19849582742295,-0.15060005,8.688941,4.5442286
19849587500420,-0.15879874,8.6867,4.5482326
19849592258597,-0.17847951,8.684921,4.5508976
19849597016722,-0.20452718,8.684111,4.5513487
19849601774847,-0.22870111,8.684418,4.5496116
19849606532972,-0.2427676,8.6846075,4.5485206
19849611291097,-0.24417678,8.685283,4.547155
19849616049222,-0.23406458,8.687752,4.542969
19849620807347,-0.21633512,8.690062,4.5394287
19849625565524,-0.19761343,8.692908,4.5348296
19849630323649,-0.18518426,8.695821,4.529768
19849635081774,-0.18309978,8.698643,4.5244303
19849639839899,-0.19286296,8.700922,4.519639
19849644597972,-0.2124738,8.702433,4.515851
19849649356149,-0.23580334,8.702899,4.5137944
19849654114274,-0.25744298,8.702146,4.5140634
19849658872451,-0.27016336,8.700606,4.5162883
19849663630576,-0.27244958,8.698895,4.519446
19849668388701,-0.2635525,8.697843,4.521998
19849673146826,-0.24772184,8.697297,4.523941
19849677904899,-0.23123577,8.697056,4.525277
19849682663076,-0.21966349,8.697314,4.525356
19849687421201,-0.21672489,8.697589,4.524972
19849692179378,-0.22390345,8.697867,4.5240865
19849696937503,-0.23899257,8.697874,4.5233006
19849701695628,-0.2558836,8.697652,4.5228043
19849706453753,-0.2688344,8.69768,4.521999
19849711211878,-0.27398807,8.69825,4.5205936
19849715970003,-0.27091476,8.699474,4.518422
19849720728180,-0.26025593,8.7014065,4.5153265
19849725486305,-0.24411926,8.703596,4.512009
19849730244430,-0.23448466,8.704307,4.5111465
19849735002555,-0.2283268,8.705327,4.5094953
19849739760680,-0.23330386,8.707897,4.5042734
19849744518805,-0.24488722,8.707722,4.5039988
19849749276930,-0.25812164,8.70613,4.506335
19849754035055,-0.26997098,8.7063465,4.5052238
19849758793232,-0.27433643,8.706755,4.504169
19849763551357,-0.27152106,8.706167,4.5054765
19849768309482,-0.2618517,8.706134,4.506113
19849773067607,-0.2490948,8.707615,4.5039744
19849777825732,-0.23804428,8.708673,4.5025253
19849782583857,-0.23159401,8.708651,4.5029078
19849787341982,-0.23172276,8.708905,4.502407
19849792100159,-0.2378443,8.709539,4.50086
19849796858284,-0.24645336,8.70954,4.500395
19849801616409,-0.25440034,8.709294,4.5004287
19849806374534,-0.25829723,8.709858,4.499117
19849811132659,-0.25638983,8.7106495,4.4976926
19849815890784,-0.24929467,8.711029,4.4973564
19849820648909,-0.23962234,8.711463,4.497041
19849825407034,-0.23063539,8.712345,4.495802
19849830165211,-0.22448556,8.713075,4.494699
19849834923336,-0.22317207,8.713307,4.4943137
19849839681461,-0.22644317,8.713752,4.493288
19849844439586,-0.23199916,8.714337,4.4918694
19849849197711,-0.23742959,8.714565,4.4911437
19849853955836,-0.240694,8.714706,4.490696
19849858713961,-0.2404395,8.715266,4.489622
19849863472086,-0.23648103,8.715772,4.4888535
19849868230263,-0.23012464,8.716038,4.488666
19849872988388,-0.22355855,8.716294,4.488498
