t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=6.3 s=15.8 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-214.5 s=443.5 count=0 corridors=2"
1.570,RECOG,"SNU_R1 fix=2 d=6.3 s=15.8 count=2 corridors=2"
1.570,RECOG,"SNU_R2 fix=2 d=-214.5 s=443.5 count=0 corridors=2"
2.768,RECOG,"SNU_R1 fix=3 d=6.3 s=15.9 count=3 corridors=2"
2.768,RECOG,"SNU_R2 fix=3 d=-214.5 s=443.5 count=0 corridors=2"
3.780,RECOG,"SNU_R1 fix=4 d=6.4 s=15.9 count=4 corridors=2"
3.780,RECOG,"SNU_R2 fix=4 d=-214.5 s=443.5 count=0 corridors=2"
4.778,RECOG,"SNU_R1 fix=5 d=6.4 s=15.9 count=5 corridors=2"
4.778,RECOG,"SNU_R2 fix=5 d=-214.6 s=443.5 count=0 corridors=2"
5.773,RECOG,"SNU_R1 fix=6 d=6.4 s=15.9 count=6 corridors=2"
5.773,RECOG,"SNU_R2 fix=6 d=-214.6 s=443.5 count=0 corridors=2"
6.775,RECOG,"SNU_R1 fix=7 d=6.4 s=16.0 count=7 corridors=2"
6.775,RECOG,"SNU_R2 fix=7 d=-214.6 s=443.5 count=0 corridors=2"
7.771,RECOG,"SNU_R1 fix=8 d=6.5 s=16.0 count=8 corridors=2"
7.771,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=16.0 d=6.5 s_start=16.0"
15.001,ALIGN,"stand g=9.867 pitch=-0.87 roll=64.73 bias_dps=[0.020 0.047 -0.082] quiet=true qfrac=0.57 rot=1.09deg"
15.001,PHASE,"RIDE"
16.770,MOTION_START,"v=1.66"
17.800,DIRECTION,"AB"
22.770,ALIGN,"psi=112.26 (init) pitch=-0.87 roll=64.73 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=112.26 (init) pitch=0.83 roll=65.11 blocks=1 moved_at=NaN sway_ratio=NaN"
36.760,ALIGN,"psi=87.69 (sway) pitch=0.83 roll=65.11 blocks=1 moved_at=NaN sway_ratio=11.9"
36.800,ARMED,""
40.771,SIM_ENTER,"armed=true"
40.800,MODE,"GNSS_INS->INERTIAL sim"
40.800,DISARMED,"gnss5s"
40.800,BAND_ENTER,""
46.760,ALIGN,"psi=92.68 (sway) pitch=0.83 roll=65.11 blocks=1 moved_at=NaN sway_ratio=5.6"
55.010,ALIGN,"psi=92.68 (sway) pitch=0.63 roll=65.18 blocks=2 moved_at=NaN sway_ratio=5.6"
56.760,ALIGN,"psi=92.00 (sway) pitch=0.63 roll=65.18 blocks=2 moved_at=NaN sway_ratio=5.6"
65.010,ALIGN,"psi=92.00 (sway) pitch=0.48 roll=65.24 blocks=3 moved_at=NaN sway_ratio=5.6"
66.760,ALIGN,"psi=91.50 (sway) pitch=0.48 roll=65.24 blocks=3 moved_at=NaN sway_ratio=5.9"
67.779,REVEAL,"off_by_m=6.3 distance_m=141 duration_s=28 max_err_m=8.4 sim=true armed=true"
67.800,MODE,"INERTIAL->RECOVERING"
67.800,BAND_EXIT,""
70.800,MODE,"RECOVERING->GNSS_INS"
72.800,ARMED,""
75.010,ALIGN,"psi=91.50 (sway) pitch=0.45 roll=65.16 blocks=4 moved_at=NaN sway_ratio=5.9"
76.760,ALIGN,"psi=91.53 (sway) pitch=0.45 roll=65.16 blocks=4 moved_at=NaN sway_ratio=6.3"
85.010,ALIGN,"psi=91.53 (sway) pitch=0.42 roll=64.90 blocks=5 moved_at=NaN sway_ratio=6.3"
86.231,PHASE,"STOP_STAND"
101.232,PHASE,"DONE"
