t_ns,ax,ay,az,accuracy
21223391342606,-0.71306115,8.958728,4.240082,3
21223393721669,-0.5982057,8.939586,4.240082,3
21223396100784,-0.4881358,8.930014,4.220939,3
21223398479898,-0.38285163,8.9348,4.1874394,3
21223400858961,-0.3684947,8.925228,4.15394,3
21223403238075,-0.3924229,8.9013,4.091727,3
21223405617138,-0.46899325,8.920443,4.0534415,3
21223407996252,-0.60777694,8.915657,4.0390844,3
21223410375367,-0.7609176,8.906086,4.0438704,3
21223412754429,-0.91405827,8.906086,4.0965123,3
21223415133544,-1.0767702,8.9108715,4.115655,3
21223417512659,-1.2059826,8.9013,4.1108694,3
21223419891721,-1.3304094,8.9013,4.115655,3
21223422270836,-1.4404793,8.896515,4.125226,3
21223424649898,-1.5074782,8.9108715,4.168297,3
21223427029013,-1.5314065,8.906086,4.220939,3
21223429408127,-1.5026926,8.906086,4.249653,3
21223431787190,-1.4739788,8.9013,4.302295,3
21223434166252,-1.416551,8.891729,4.3357944,3
21223436545419,-1.3160524,8.896515,4.345366,3
21223438924481,-1.2011969,8.925228,4.3357944,3
21223441303596,-1.0959128,8.953942,4.3118663,3
21223443682711,-0.94277215,8.963513,4.3262234,3
21223446061773,-0.7704889,8.9826565,4.3118663,3
21223448440888,-0.6364908,8.973084,4.3501515,3
21223450819950,-0.5024927,8.944371,4.3501515,3
21223453199065,-0.4019942,8.9013,4.354937,3
21223455578179,-0.3397808,8.877372,4.354937,3
21223457957242,-0.31585258,8.867801,4.354937,3
21223460336356,-0.32542387,8.829515,4.3405805,3
21223462715419,-0.3589234,8.79123,4.316652,3
21223465094534,-0.44506502,8.796016,4.302295,3
21223467473648,-0.55034924,8.7673025,4.278367,3
21223469852763,-0.70348984,8.762517,4.2448673,3
21223472231825,-0.8279166,8.762517,4.2017965,3
21223474610940,-0.94755775,8.800801,4.168297,3
21223476990002,-1.0576276,8.810373,4.1443686,3
21223479369117,-1.1389836,8.848659,4.1108694,3
21223481748231,-1.1964114,8.863015,4.091727,3
21223484127294,-1.2346965,8.896515,4.082155,3
21223486506409,-1.2203395,8.925228,4.072584,3
21223488885523,-1.1964114,8.930014,4.063013,3
21223491264586,-1.1485549,8.977871,4.0677986,3
21223493643700,-1.0767702,8.9826565,4.091727,3
21223496022763,-1.0241281,8.987442,4.125226,3
21223498401877,-0.9379865,8.987442,4.1347976,3
21223500780992,-0.86141616,9.01137,4.15394,3
21223503160054,-0.7752745,9.025727,4.1491547,3
21223505539169,-0.6891329,9.020942,4.173083,3
21223507918284,-0.61734825,9.020942,4.1635113,3
21223510297346,-0.5886344,9.030513,4.139583,3
21223512676461,-0.5599205,9.016156,4.1347976,3
21223515055575,-0.53599226,9.016156,4.1108694,3
21223517434638,-0.5455636,9.006584,4.1108694,3
21223519813752,-0.55034924,8.9826565,4.1204405,3
21223522192815,-0.55513483,8.953942,4.130012,3
21223524571929,-0.61734825,8.939586,4.1443686,3
