t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.2119818,20661729885678,28.5226754,77.5739999,154.7651367,3.7900925,0.0000000,,27,0.0281550,0.0119271
2.2389817,20662756885574,28.5226754,77.5739999,154.7689209,3.7900925,0.0000000,,27,0.0242426,0.0097007
3.2388618,20663756765626,28.5226753,77.5739998,154.7687988,3.7900925,0.0000000,,53,0.0203303,0.0063611
4.2291305,20664747034375,28.5226753,77.5739998,154.7698364,3.7900925,0.0000000,,62,0.0164179,0.0030215
5.2320997,20665750003542,28.5226753,77.5739998,154.7708740,3.7900925,0.0000000,,62,0.0144617,-0.0014313
6.2377612,20666755665103,28.5226753,77.5739997,154.7604370,3.7900925,0.0000000,,60,0.0046809,0.0041347
7.2393973,20667757301145,28.5226753,77.5739996,154.7614746,3.7900925,0.0000000,,62,-0.0002096,0.0019083
8.2402407,20668758144530,28.5226753,77.5739996,154.7605591,3.7900925,0.0000000,,62,-0.0041219,-0.0014313
9.2386870,20669756590831,28.5226752,77.5739995,154.7577515,3.7900925,0.0000000,,63,-0.0070562,-0.0047709
10.2293604,20670747264217,28.5226752,77.5739995,154.7577515,3.7900925,0.0000000,,64,-0.0099905,-0.0081105
11.2389875,20671756891351,28.5226752,77.5739995,154.7467651,3.7900925,0.0000000,,63,-0.0158590,-0.0047709
12.2295590,20672747462862,28.5226752,77.5739994,154.7470703,3.7900925,0.0000000,,63,-0.0217275,-0.0036577
13.2293426,20673747246454,28.5226752,77.5739994,154.7480469,3.7900925,0.0000000,,63,-0.0236837,-0.0047709
14.2342981,20674752201975,28.5226752,77.5739993,154.7483521,3.7900925,0.0000000,,62,-0.0256399,-0.0081105
15.2341788,20675752082651,28.5226752,77.5739993,154.7469482,3.7900925,0.0000000,,63,-0.0275961,-0.0114501
16.2348431,20676752746923,28.5226726,77.5739983,154.8609619,3.7900925,0.3000000,180.0000000,60,-0.1234488,-0.2986557
17.2343830,20677752286818,28.5226594,77.5739945,155.2022705,3.7900925,2.0200000,193.3000000,61,-0.5039254,-1.7714193
18.2400602,20678757964006,28.5226388,77.5739876,154.9716187,3.7900925,2.7500000,195.8000000,62,-1.1719601,-4.0623849
19.2316634,20679749567234,28.5226130,77.5739772,154.8046265,3.7900925,3.4000000,200.7000000,63,-2.1969973,-6.9288749
20.2403674,20680758271296,28.5225854,77.5739629,154.7541504,3.7900925,3.5000000,204.6000000,63,-3.5956644,-10.0024201
21.2319482,20681749852026,28.5225577,77.5739463,154.7192383,3.7900925,3.5200000,206.5000000,63,-5.2134235,-13.0859841
22.2402079,20682758111764,28.5225287,77.5739289,154.5353394,3.7900925,3.7300000,206.8000000,63,-6.9211668,-16.3220565
23.2373481,20683755251920,28.5224988,77.5739059,154.6486816,3.7900925,4.1800000,215.5000000,62,-9.1649027,-19.6505245
24.2320401,20684749944003,28.5224716,77.5738760,154.8139648,3.7900925,4.2300000,223.6000000,62,-12.0942790,-22.6750889
25.2317281,20685749631919,28.5224459,77.5738454,154.9297485,3.7900925,4.0700000,225.2000000,62,-15.0842969,-25.5315601
