t_ns,qx,qy,qz,qw
31151139314766,0.37151337,0.41198385,0.57486576,0.6014786
31151144072474,0.3714893,0.4120017,0.57485235,0.6014941
31151148830182,0.37146434,0.4120066,0.57484657,0.6015116
31151153587838,0.37145358,0.4119949,0.57485235,0.6015208
31151158345547,0.3714638,0.4119756,0.574865,0.60151553
31151163103255,0.37147778,0.41193762,0.5748893,0.6015097
31151167860963,0.37149772,0.4118995,0.5749144,0.6014995
31151172618620,0.37152082,0.41187772,0.5749303,0.601485
31151177376328,0.37153056,0.41186124,0.5749461,0.6014751
31151182134036,0.37152028,0.4118637,0.5749537,0.6014726
31151186891745,0.37149626,0.4118888,0.57494664,0.60147697
31151191649401,0.37146372,0.41191477,0.5749337,0.60149163
31151196407109,0.37141323,0.41194037,0.5749121,0.60152596
31151201164818,0.37137848,0.4119731,0.57488686,0.601549
31151205922422,0.37134585,0.41200733,0.5748526,0.6015785
31151210680182,0.37133342,0.41202837,0.5748268,0.6015964
31151215437891,0.37131625,0.4120504,0.5748006,0.601617
31151220195547,0.37131134,0.4120708,0.5747782,0.60162735
31151224953307,0.37130854,0.41208574,0.57476467,0.6016319
31151229710963,0.3713055,0.41210973,0.5747517,0.60162973
31151234468672,0.3712816,0.41213948,0.5747377,0.6016374
31151239226380,0.37126127,0.41218576,0.5747177,0.6016374
31151243984036,0.3712227,0.41224238,0.5746882,0.6016506
31151248741745,0.37116736,0.41230077,0.574659,0.6016726
31151253499453,0.37110555,0.41236478,0.57462215,0.6017021
31151258257161,0.37104896,0.4124299,0.57458264,0.6017301
31151263014818,0.37098327,0.4124889,0.5745457,0.6017654
31151267772526,0.3709265,0.4125438,0.57451046,0.6017964
31151272530234,0.3708721,0.41259965,0.5744766,0.6018239
31151277287943,0.3708158,0.41265216,0.57444715,0.6018507
31151282045599,0.37075135,0.4127009,0.57441825,0.6018846
31151286803307,0.37069196,0.41274428,0.5743854,0.60192275
31151291560963,0.3706466,0.41279194,0.5743518,0.60195017
31151296318724,0.370604,0.41282582,0.57432663,0.60197717
31151301076380,0.37056214,0.41285217,0.5743061,0.60200447
31151305834088,0.37052888,0.41288558,0.5742822,0.60202473
31151310591797,0.3704969,0.41292012,0.5742579,0.602044
31151315349505,0.37045193,0.41294307,0.57423896,0.6020739
31151320107161,0.37041444,0.4129754,0.57421535,0.60209733
31151324864870,0.37037417,0.4130171,0.5741857,0.6021218
31151329622578,0.3703265,0.4130387,0.5741674,0.6021538
31151334380286,0.37027475,0.41306278,0.57414705,0.60218847
31151339137943,0.3702431,0.4130944,0.57412446,0.6022078
31151343895651,0.3702161,0.41311625,0.5741082,0.6022248
31151348653359,0.37019667,0.41312215,0.57410246,0.6022382
31151353411068,0.3701966,0.41313,0.5740979,0.60223734
31151358168724,0.37020853,0.41312754,0.57410055,0.602229
31151362926432,0.37021196,0.41311136,0.57411075,0.60222834
31151367684141,0.37022406,0.41310212,0.57411766,0.60222065
31151372441797,0.3702347,0.4131086,0.574115,0.60221225
31151377199505,0.37023503,0.41311726,0.5741098,0.602211
31151381957213,0.37022966,0.41312936,0.574102,0.6022135
31151386714922,0.3702185,0.41314664,0.57409024,0.60221964
31151391472578,0.37021074,0.4131878,0.57406473,0.6022206
31151396230286,0.37019575,0.41321024,0.5740494,0.6022289
31151400987995,0.37017968,0.41322318,0.5740398,0.602239
31151405745703,0.37018552,0.41324407,0.574028,0.60223246
31151410503359,0.3701943,0.413245,0.57402843,0.602226
31151415261068,0.37018752,0.41323072,0.5740362,0.6022325
