t_ns,mx,my,mz,bx,by,bz
31151557063047,-24.712502,5.7562504,18.431252,3.36,13.62,8.16
31151567063047,-23.8125,5.0062504,20.493752,3.36,13.62,8.16
31151577063047,-24.73125,4.0125003,19.556252,3.36,13.62,8.16
31151587063047,-24.45,4.8,19.95,3.36,13.62,8.16
31151597063047,-24.862501,4.1062503,19.40625,3.36,13.62,8.16
31151607063047,-24.618752,5.26875,17.8125,3.36,13.62,8.16
31151617063047,-25.29375,5.0625,18.825,3.36,13.62,8.16
31151627063047,-25.650002,6.2625003,21.13125,3.36,13.62,8.16
31151637063047,-25.593752,5.26875,19.3125,3.36,13.62,8.16
31151647063047,-24.88125,6.1125,20.737501,3.36,13.62,8.16
31151657063047,-25.48125,4.9125004,19.0125,3.36,13.62,8.16
31151667063047,-25.518751,4.14375,20.71875,3.36,13.62,8.16
31151677063047,-26.118752,4.8187504,18.768751,3.36,13.62,8.16
31151687063047,-22.35,5.9625,18.6,3.36,13.62,8.16
31151697063047,-25.44375,4.9125004,17.925001,3.36,13.62,8.16
31151707063047,-23.00625,5.6062503,17.925001,3.36,13.62,8.16
31151717063047,-24.281252,5.30625,17.475,3.36,13.62,8.16
31151727063047,-24.393751,5.8125,18.69375,3.36,13.62,8.16
31151737063047,-25.218752,5.7000003,19.556252,3.36,13.62,8.16
31151747063047,-25.7625,4.36875,19.96875,3.36,13.62,8.16
31151757063047,-26.587502,5.0062504,19.893751,3.36,13.62,8.16
31151767063047,-24.750002,5.7562504,19.81875,3.36,13.62,8.16
31151777063047,-25.95,4.96875,18.900002,3.36,13.62,8.16
31151787063047,-24.91875,4.8562503,20.325,3.36,13.62,8.16
31151797063047,-25.5375,3.5062501,18.28125,3.36,13.62,8.16
31151807063047,-23.90625,5.11875,19.275002,3.36,13.62,8.16
31151817063047,-24.6,4.89375,20.2875,3.36,13.62,8.16
31151827063047,-23.53125,4.40625,18.31875,3.36,13.62,8.16
31151837063047,-25.95,3.4687502,20.79375,3.36,13.62,8.16
31151847063047,-26.1375,5.08125,20.60625,3.36,13.62,8.16
31151857063047,-24.825,5.3812504,19.837502,3.36,13.62,8.16
31151867063047,-24.806252,4.36875,19.40625,3.36,13.62,8.16
31151877063047,-24.825,4.36875,20.025002,3.36,13.62,8.16
31151887063047,-24.806252,5.3812504,19.518751,3.36,13.62,8.16
31151897063047,-22.59375,5.4187503,18.956251,3.36,13.62,8.16
31151907063047,-25.312502,5.30625,20.6625,3.36,13.62,8.16
31151917063047,-25.931252,4.59375,21.675001,3.36,13.62,8.16
31151927063047,-24.187502,5.45625,20.212502,3.36,13.62,8.16
