t_ns,mx,my,mz,accuracy
15974439804474,28.725,10.2375,-19.875,3
15974449804474,29.062502,10.5375,-19.48125,3
15974459804474,26.531252,9.431251,-18.993752,3
15974469804474,28.5375,9.337501,-19.06875,3
15974479804474,27.431252,9.431251,-17.868752,3
15974489804474,27.73125,10.9875,-19.0125,3
15974499804474,27.88125,8.3625,-18.1875,3
15974509804474,26.812502,9.225,-18.712502,3
15974519804474,26.550001,8.0625,-17.1,3
15974529804474,27.431252,9.1875,-19.237501,3
15974539804474,27.54375,9.69375,-19.725,3
15974549804474,26.831251,10.481251,-17.831251,3
15974559804474,27.13125,9.525001,-17.681252,3
15974569804474,28.63125,10.21875,-16.95,3
15974579804474,28.406252,8.681251,-18.2625,3
15974589804474,28.1625,9.7875,-19.35,3
15974599804474,26.906252,9.1125,-17.493752,3
15974609804474,29.775002,9.993751,-20.00625,3
15974619804474,29.41875,10.837501,-19.21875,3
15974629804474,28.800001,9.993751,-18.50625,3
15974639804474,26.475,9.1875,-18.206251,3
15974649804474,28.743752,9.4875,-19.556252,3
15974659804474,29.1,10.78125,-18.862501,3
15974669804474,30.13125,9.4125,-19.40625,3
15974679804474,27.675001,8.83125,-18.6375,3
15974689804474,28.687502,9.225,-18.9375,3
15974699804474,27.16875,9.262501,-20.1375,3
15974709804474,26.156252,9.01875,-19.087502,3
15974719804474,28.743752,9.731251,-18.1875,3
15974729804474,27.975,9.637501,-18.862501,3
15974739804474,28.125002,9.525001,-19.331251,3
15974749804474,27.7875,9.4875,-18.975,3
15974759804474,28.25625,9.4125,-19.5,3
15974769804474,26.681252,8.587501,-18.206251,3
15974779804474,27.018751,9.375,-19.650002,3
15974789804474,26.6625,7.8187504,-16.650002,3
15974799804474,26.343752,8.2875,-18.618752,3
15974809804474,25.5375,10.181251,-17.8125,3
15974819804474,25.743752,8.587501,-17.94375,3
15974829804474,25.85625,7.9687505,-19.63125,3
15974839804474,25.181252,10.012501,-17.625,3
15974849804474,26.625002,9.58125,-16.3875,3
15974859804474,28.218752,9.4125,-18.4125,3
15974869804474,27.150002,7.6312504,-18.54375,3
15974879804474,27.6375,8.83125,-17.56875,3
15974889804474,27.975,8.887501,-17.90625,3
15974899804474,28.06875,9.525001,-17.94375,3
15974909804474,30.018751,11.2875,-20.681252,3
15974919804474,28.275002,10.425,-19.368752,3
15974929804474,29.60625,10.725,-20.775002,3
15974939804474,28.593752,9.58125,-19.087502,3
15974949804474,27.750002,9.225,-18.975,3
15974959804474,26.8875,8.1,-17.60625,3
15974969804474,27.675001,9.58125,-19.425001,3
15974979804474,29.343752,9.5625,-18.243752,3
15974989804474,28.63125,9.6,-20.15625,3
15974999804474,27.50625,9.69375,-18.956251,3
15975009804474,27.7875,9.4875,-18.975,3
15975019804474,27.206251,9.525001,-20.1375,3
15975029804474,27.975,10.63125,-18.73125,3
15975039804474,28.893751,8.625,-19.237501,3
15975049804474,26.737501,8.962501,-17.925001,3
15975059804474,28.706251,9.225,-20.00625,3
15975069804474,27.750002,8.71875,-16.96875,3
15975079804474,27.487501,9.431251,-19.706251,3
15975089804474,27.50625,9.69375,-18.956251,3
15975099804474,28.0125,8.887501,-19.29375,3
15975109804474,27.468752,9.431251,-18.9375,3
15975119804474,28.781252,8.981251,-18.7875,3
15975129804474,27.093752,9.01875,-19.03125,3
15975139804474,27.13125,9.525001,-17.681252,3
15975149804474,27.16875,6.6375003,-18.975,3
15975159804474,27.13125,9.262501,-19.050001,3
15975169804474,25.44375,8.2875,-19.743752,3
15975179804474,27.618752,8.83125,-16.800001,3
15975189804474,24.975,8.475,-18.618752,3
15975199804474,27.656252,9.58125,-19.125,3
15975209804474,29.00625,9.525001,-18.206251,3
15975219804474,26.962502,10.125,-19.050001,3
15975229804474,28.10625,9.525001,-19.03125,3
15975239804474,28.25625,10.425,-18.75,3
15975249804474,29.962502,9.900001,-21.243752,3
15975259804474,28.5375,8.94375,-20.90625,3
15975269804474,28.1625,9.525001,-20.868752,3
15975279804474,28.1625,9.525001,-20.868752,3
15975289804474,28.1625,10.275001,-21.35625,3
15975299804474,27.750002,10.9875,-19.800001,3
15975309804474,29.38125,9.5625,-19.63125,3
15975319804474,28.893751,9.993751,-21.75,3
15975329804474,29.250002,9.4125,-21.0,3
15975339804474,25.143751,9.75,-17.2875,3
15975349804474,27.768751,9.4875,-18.206251,3
15975359804474,26.925001,8.118751,-18.69375,3
15975369804474,27.337502,7.0312505,-17.475,3
15975379804474,25.275002,9.01875,-15.900001,3
15975389804474,27.750002,9.4875,-17.90625,3
15975399804474,23.400002,7.0125003,-16.087502,3
15975409804474,28.125002,9.262501,-20.868752,3
15975419804474,27.975,10.387501,-19.800001,3
15975429804474,27.54375,7.93125,-19.21875,3
15975439804474,28.0125,9.375,-21.300001,3
15975449804474,26.625002,9.69375,-20.081251,3
15975459804474,26.04375,9.375,-18.618752,3
15975469804474,27.956251,9.637501,-18.393751,3
15975479804474,26.737501,10.59375,-19.050001,3
15975489804474,28.2,10.1625,-18.75,3
15975499804474,26.38125,8.925,-16.800001,3
15975509804474,26.831251,7.7250004,-17.587502,3
15975519804474,25.893751,7.7250004,-17.625,3
15975529804474,26.8875,8.7375,-19.1625,3
15975539804474,27.618752,9.337501,-19.10625,3
15975549804474,27.91875,9.1125,-20.212502,3
15975559804474,25.1625,7.1250005,-17.212502,3
15975569804474,26.681252,9.58125,-18.09375,3
15975579804474,27.300001,7.7812505,-17.643751,3
15975589804474,28.462502,8.700001,-19.800001,3
15975599804474,26.94375,9.1125,-18.5625,3
15975609804474,27.768751,7.4625,-19.237501,3
15975619804474,27.6375,8.587501,-18.6375,3
15975629804474,27.393751,9.1875,-18.16875,3
15975639804474,26.118752,7.1250005,-18.09375,3
15975649804474,26.85,7.7250004,-18.206251,3
15975659804474,26.8875,7.7250004,-19.29375,3
15975669804474,27.73125,6.7125,-17.212502,3
15975679804474,26.325,7.5375004,-17.362501,3
15975689804474,26.625002,6.8250003,-15.69375,3
15975699804474,25.087502,5.7375,-17.325,3
15975709804474,26.718752,8.212501,-16.368752,3
15975719804474,25.5375,8.8125,-15.618751,3
15975729804474,25.48125,7.6687503,-14.6625,3
15975739804474,25.29375,7.0125003,-16.931252,3
15975749804474,25.031252,6.7312503,-15.356251,3
15975759804474,22.95,7.33125,-15.13125,3
15975769804474,23.493752,8.2875,-17.362501,3
15975779804474,25.0125,7.2375,-16.59375,3
15975789804474,26.475,8.4375,-17.41875,3
15975799804474,24.768751,7.9500003,-15.356251,3
15975809804474,24.525002,7.425,-15.150001,3
15975819804474,21.9375,6.3187504,-13.125001,3
15975829804474,23.831251,6.0750003,-15.187501,3
15975839804474,25.593752,7.05,-16.35,3
15975849804474,26.56875,6.80625,-14.00625,3
15975859804474,24.975,9.1125,-15.731251,3
15975869804474,25.10625,7.36875,-14.306251,3
15975879804474,24.656252,7.05,-16.087502,3
15975889804474,23.475,7.1625004,-13.33125,3
15975899804474,23.5125,6.9,-15.4875,3
15975909804474,21.862501,7.8187504,-12.8625,3
15975919804474,23.831251,6.8250003,-16.125,3
15975929804474,22.48125,8.400001,-14.64375,3
15975939804474,25.031252,7.2375,-17.362501,3
15975949804474,23.7,8.0625,-15.225,3
15975959804474,24.956251,7.2187505,-15.20625,3
15975969804474,25.29375,7.275,-15.8625,3
15975979804474,23.306252,7.0125003,-13.6125,3
15975989804474,26.23125,8.26875,-15.39375,3
15975999804474,23.79375,6.8250003,-14.7375,3
15976009804474,25.5375,7.6687503,-16.518751,3
15976019804474,23.90625,7.33125,-15.69375,3
15976029804474,24.375002,7.51875,-14.981251,3
15976039804474,24.712502,8.325001,-16.275002,3
15976049804474,22.1625,6.6000004,-14.08125,3
15976059804474,26.250002,8.26875,-15.993751,3
15976069804474,27.2625,7.7812505,-16.10625,3
15976079804474,25.031252,6.7312503,-15.0375,3
15976089804474,24.91875,6.2250004,-14.250001,3
15976099804474,24.393751,8.6625,-14.418751,3
15976109804474,24.300001,7.275,-14.212501,3
15976119804474,24.4125,6.9,-14.3625,3
15976129804474,24.525002,6.675,-14.531251,3
15976139804474,24.281252,6.0,-14.775001,3
15976149804474,25.406252,8.15625,-14.512501,3
15976159804474,26.343752,7.1625004,-15.375001,3
15976169804474,23.5125,7.9125004,-15.356251,3
15976179804474,23.643751,7.425,-17.04375,3
15976189804474,25.2,7.6312504,-15.712501,3
15976199804474,24.825,7.9500003,-17.212502,3
15976209804474,26.643751,6.5625005,-17.53125,3
15976219804474,26.60625,7.5750003,-16.331251,3
15976229804474,24.31875,7.0125003,-16.050001,3
15976239804474,26.04375,9.0,-15.543751,3
15976249804474,26.175001,6.8812504,-16.25625,3
15976259804474,26.1,9.0,-17.38125,3
15976269804474,26.437502,7.1625004,-17.831251,3
15976279804474,26.456251,8.681251,-15.58125,3
15976289804474,26.906252,8.1,-17.925001,3
15976299804474,27.243752,7.0312505,-14.85,3
15976309804474,25.968752,8.625,-15.20625,3
15976319804474,24.375002,6.525,-15.1125,3
15976329804474,26.437502,7.425,-16.462502,3
15976339804474,24.468752,7.1625004,-14.83125,3
15976349804474,25.06875,9.375,-17.268751,3
15976359804474,27.69375,8.475,-16.181252,3
15976369804474,25.5375,7.6687503,-16.518751,3
15976379804474,25.5375,6.3,-14.025001,3
15976389804474,25.0125,5.71875,-14.85,3
15976399804474,25.331251,7.275,-16.931252,3
15976409804474,24.750002,8.700001,-15.525001,3
15976419804474,25.575,8.8125,-16.706251,3
15976429804474,24.50625,7.9125004,-16.706251,3
15976439804474,25.81875,8.212501,-17.493752,3
15976449804474,25.462502,8.418751,-15.3,3
15976459804474,25.462502,8.418751,-15.3,3
15976469804474,25.462502,8.175,-16.368752,3
15976479804474,24.13125,6.8625,-15.39375,3
15976489804474,23.456251,7.275,-16.40625,3
15976499804474,26.925001,5.7375,-16.462502,3
15976509804474,26.925001,5.7375,-16.462502,3
15976519804474,25.612501,7.3125005,-15.6,3
15976529804474,26.04375,9.0,-15.843751,3
15976539804474,24.54375,8.418751,-15.337501,3
15976549804474,26.550001,9.69375,-18.225,3
15976559804474,26.081251,9.262501,-15.543751,3
15976569804474,26.025002,9.618751,-16.48125,3
15976579804474,25.29375,6.525,-14.606251,3
15976589804474,27.35625,8.793751,-18.6,3
15976599804474,26.550001,7.3125005,-15.8625,3
15976609804474,24.075,7.4812503,-15.562501,3
15976619804474,25.368752,7.9125004,-14.962501,3
15976629804474,25.050001,7.1062503,-13.9875,3
15976639804474,24.6,6.675,-16.368752,3
15976649804474,24.581251,6.675,-16.06875,3
15976659804474,27.618752,7.0687504,-16.44375,3
15976669804474,25.63125,8.325001,-16.237501,3
15976679804474,24.656252,8.0625,-15.806251,3
15976689804474,25.1625,7.36875,-16.1625,3
15976699804474,24.45,7.275,-18.206251,3
15976709804474,29.118752,9.0375,-18.825,3
15976719804474,26.00625,8.625,-16.29375,3
15976729804474,23.23125,7.36875,-14.08125,3
15976739804474,25.125002,6.61875,-13.81875,3
15976749804474,25.1625,7.36875,-16.1625,3
15976759804474,24.206251,7.36875,-15.431251,3
15976769804474,25.181252,9.01875,-13.14375,3
15976779804474,24.112501,7.8750005,-14.512501,3
15976789804474,25.35,7.9125004,-14.512501,3
15976799804474,24.88125,8.475,-16.143751,3
15976809804474,24.69375,7.3125005,-16.40625,3
15976819804474,25.95,8.3625,-16.275002,3
15976829804474,25.706251,7.9500003,-15.618751,3
15976839804474,25.25625,5.8875003,-16.743752,3
15976849804474,26.5125,7.6875005,-17.85,3
15976859804474,24.91875,5.83125,-16.3875,3
15976869804474,24.093752,7.4812503,-16.03125,3
15976879804474,25.425001,7.9125004,-16.66875,3
15976889804474,26.5125,7.6875005,-17.550001,3
15976899804474,25.500002,8.8125,-14.55,3
15976909804474,25.29375,7.275,-15.8625,3
15976919804474,26.98125,6.7312503,-17.737501,3
15976929804474,26.475,8.681251,-15.88125,3
15976939804474,25.031252,6.7312503,-15.356251,3
15976949804474,24.093752,7.4812503,-16.03125,3
15976959804474,25.44375,7.425,-15.1125,3
