t_ns,wall_ms,batt_pct,charging,batt_temp_c,thermal_status,rotation,free_bytes
15978141387580,1788545924315,62,false,33.5,0,0,5953146880
15983161565286,1788545929335,62,false,33.5,0,0,5949333504
15988178003149,1788545934352,62,false,33.5,0,0,5945974784
15993196501272,1788545939370,62,false,33.5,0,0,5944074240
15998214610385,1788545944388,62,false,33.5,0,0,5940387840
16003289014862,1788545949463,62,false,33.5,0,0,5936734208
16008370696683,1788545954545,62,false,33.5,0,0,5934247936
16013415656056,1788545959589,62,false,33.5,0,0,5931868160
16018467145481,1788545964641,62,false,33.5,0,0,5927997440
16023487508188,1788545969661,62,false,33.5,0,0,5956063232
16028509994332,1788545974684,62,false,33.5,0,0,5954768896
16033532082767,1788545979706,62,false,33.5,0,0,5950996480
16038548238286,1788545984722,62,false,33.5,0,0,5947346944
16043586277868,1788545989760,62,false,33.5,0,0,5944410112
16048663761720,1788545994838,62,false,33.5,0,0,5942960128
16053712242291,1788545999886,62,false,33.5,0,0,5939130368
16058749805674,1788546004924,62,false,33.5,0,0,5935497216
16063757727756,1788546009932,62,false,33.5,0,0,5932290048
16068832209785,1788546015006,61,false,32.3,0,0,5930962944
