t_ns,ax,ay,az,accuracy
15973075395047,-0.72263247,9.078369,3.7088752,3
15973077774213,-0.6125626,9.068798,3.694518,3
15973080153328,-0.52163535,9.068798,3.6993039,3
15973082532443,-0.44506502,9.08794,3.6801612,3
15973084911557,-0.41635114,9.08794,3.6897326,3
15973087290672,-0.40677986,9.116654,3.7088752,3
15973089669786,-0.40677986,9.131011,3.723232,3
15973092048901,-0.44506502,9.145369,3.7088752,3
15973094428016,-0.49292147,9.150154,3.7088752,3
15973096807130,-0.57906306,9.15494,3.7136607,3
15973099186297,-0.6556334,9.150154,3.723232,3
15973101565411,-0.7369894,9.159725,3.7567315,3
15973103944526,-0.81834537,9.169296,3.7806597,3
15973106323641,-0.8853444,9.164511,3.804588,3
15973108702755,-0.9523434,9.188439,3.804588,3
15973111081870,-0.971486,9.2075815,3.7854455,3
15973113460984,-0.9954142,9.19801,3.7615173,3
15973115840099,-0.9954142,9.164511,3.7758741,3
15973118219213,-1.0049855,9.193225,3.7806597,3
15973120598328,-1.0001999,9.174082,3.8093736,3
15973122977443,-0.93320084,9.169296,3.8237305,3
15973125356557,-0.91884387,9.15494,3.8237305,3
15973127735724,-0.8757731,9.140582,3.7950168,3
15973130114838,-0.86141616,9.140582,3.7854455,3
15973132493953,-0.8135597,9.12144,3.7950168,3
15973134873068,-0.76570326,9.116654,3.790231,3
15973137252182,-0.7513463,9.116654,3.790231,3
15973139631245,-0.7609176,9.08794,3.804588,3
15973142010411,-0.7752745,9.068798,3.8237305,3
15973144389526,-0.7800602,9.059227,3.8141594,3
15973146768641,-0.7896315,9.078369,3.7710886,3
15973149147755,-0.8279166,9.083155,3.7615173,3
15973151526870,-0.8853444,9.08794,3.7567315,3
15973153906036,-0.9284152,9.097511,3.7710886,3
15973156285151,-0.93320084,9.092726,3.7567315,3
15973158664266,-0.9906286,9.078369,3.737589,3
15973161043380,-0.9810573,9.073584,3.7136607,3
15973163422495,-0.98584294,9.078369,3.6658044,3
15973165801609,-1.0097711,9.078369,3.6610186,3
15973168180724,-1.0097711,9.064013,3.67059,3
15973170559838,-1.0576276,9.073584,3.6753755,3
15973172938953,-1.0767702,9.068798,3.6801612,3
15973175318068,-1.105484,9.0544405,3.694518,3
15973177697182,-1.119841,9.044869,3.6801612,3
15973180076349,-1.1676974,9.020942,3.6897326,3
15973182455463,-1.1629118,9.006584,3.694518,3
15973184834578,-1.134198,8.963513,3.7471602,3
15973187213693,-1.1102697,8.915657,3.751946,3
15973189592807,-1.0480564,8.920443,3.751946,3
15973191971870,-1.0049855,8.9013,3.7567315,3
15973194351036,-0.971486,8.915657,3.737589,3
15973196730151,-0.9379865,8.925228,3.737589,3
15973199109213,-0.94277215,8.920443,3.751946,3
15973201488380,-0.94277215,8.930014,3.7615173,3
15973203867547,-0.9667004,8.9348,3.8093736,3
15973206246661,-1.0145568,8.958728,3.842873,3
15973208625776,-1.0480564,8.958728,3.842873,3
15973211004891,-1.0576276,8.977871,3.8141594,3
15973213384005,-1.0432707,8.977871,3.8141594,3
15973215763120,-1.0289137,9.016156,3.7998023,3
15973218142234,-0.9954142,9.035298,3.804588,3
15973220521349,-0.971486,9.059227,3.8237305,3
15973222900463,-0.9523434,9.049655,3.8237305,3
15973225279578,-0.90448695,9.040084,3.8285162,3
15973227658745,-0.8757731,9.059227,3.871587,3
15973230037807,-0.85184485,9.068798,3.8907297,3
15973232416974,-0.8327023,9.068798,3.8907297,3
15973234796036,-0.86141616,9.035298,3.9050865,3
15973237175203,-0.89013004,9.040084,3.9050865,3
15973239554318,-0.89013004,9.044869,3.8955152,3
15973241933432,-0.91405827,9.035298,3.8620157,3
15973244312547,-0.94755775,9.044869,3.8524444,3
15973246691661,-0.9619147,9.044869,3.8237305,3
15973249070776,-1.0097711,9.040084,3.7806597,3
15973251449891,-1.038485,9.025727,3.7471602,3
15973253829005,-1.0815558,9.016156,3.7423747,3
15973256208120,-1.0911272,8.992228,3.7328033,3
15973258587286,-1.1533405,9.006584,3.7423747,3
15973260966401,-1.2059826,9.030513,3.7663028,3
15973263345516,-1.2442678,9.044869,3.7806597,3
15973265724630,-1.282553,9.068798,3.7806597,3
15973268103745,-1.3208381,9.08794,3.7710886,3
15973270482859,-1.3160524,9.116654,3.7471602,3
15973272861974,-1.268196,9.164511,3.7184465,3
15973275241036,-1.2299109,9.19801,3.751946,3
15973277620203,-1.1676974,9.212367,3.7567315,3
15973279999318,-1.1150553,9.212367,3.7471602,3
15973282378484,-1.0576276,9.202796,3.7423747,3
15973284757599,-1.038485,9.221938,3.723232,3
15973287136713,-0.98584294,9.212367,3.737589,3
15973289515828,-0.9619147,9.19801,3.7710886,3
15973291894943,-0.9906286,9.183653,3.8237305,3
15973294274057,-1.0193424,9.159725,3.818945,3
15973296653172,-1.0193424,9.15494,3.8141594,3
15973299032286,-1.0336994,9.15494,3.7950168,3
15973301411401,-1.038485,9.12144,3.7615173,3
15973303790516,-1.0719845,9.068798,3.7423747,3
15973306169630,-1.105484,9.040084,3.7328033,3
15973308548745,-1.1437693,9.030513,3.723232,3
15973310927859,-1.1820544,9.020942,3.7088752,3
15973313307026,-1.2203395,9.020942,3.6897326,3
15973315686141,-1.268196,9.030513,3.6897326,3
15973318065255,-1.3304094,9.016156,3.6753755,3
15973320444370,-1.3591232,9.016156,3.6801612,3
15973322823484,-1.3782659,9.01137,3.6897326,3
15973325202599,-1.4069797,9.044869,3.7040894,3
