t_ns,hPa
29763427078729,981.60645
29763467081958,981.61304
29763507080552,981.61597
29763547080500,981.6167
29763587274094,981.61597
29763627077635,981.6128
29763667077062,981.61035
29763707081021,981.6052
29763747080135,981.603
29763787094458,981.6072
29763827077166,981.6096
29763867077166,981.61597
29763907162479,981.6167
29763947082844,981.6172
29763987083000,981.6206
29764027082271,981.6277
29764067077531,981.6223
29764107079823,981.6272
29764147095916,981.6189
29764187080187,981.61084
29764227183625,981.6179
29764267077583,981.6167
29764307078625,981.6211
29764347079562,981.61865
29764387079979,981.6172
29764427080239,981.6216
29764467076281,981.62085
29764507077479,981.61597
29764547082791,981.6218
29764587082479,981.6201
29764627076646,981.6162
29764667081906,981.61865
29764707078052,981.61743
29764747158469,981.6238
29764787079562,981.62354
29764827079927,981.624
29764867080448,981.6282
29764907077791,981.6262
29764947077323,981.6279
29764987079406,981.6277
29765027078208,981.62427
29765067079146,981.62085
29765107077948,981.6155
29765147077062,981.6167
29765187083052,981.624
29765227082114,981.62427
29765267082062,981.61646
29765307228781,981.6145
29765347077271,981.6135
29765387079146,981.60986
29765427079041,981.60254
29765467080552,981.6101
29765507079406,981.6072
29765547077114,981.60376
29765587081333,981.6116
29765627083260,981.6106
29765667079458,981.6062
29765707079094,981.60425
29765747080396,981.6096
29765787077948,981.6116
29765827082375,981.61523
29765867082635,981.61694
29765907079614,981.61255
29765947157114,981.615
29765987078052,981.6157
29766027079979,981.61206
29766067138677,981.614
29766107081802,981.6113
29766147081854,981.6084
29766187077531,981.6011
29766227079406,981.6045
29766267081646,981.60547
29766307077114,981.6035
29766347080812,981.60376
29766387248156,981.61035
29766427077323,981.6157
29766467077844,981.6184
29766507078937,981.6145
29766547080031,981.62134
29766587080500,981.6177
29766627077219,981.61743
29766667120239,981.614
29766707079302,981.6094
29766747082375,981.6106
29766787079771,981.61206
29766827085604,981.6089
29766867138104,981.60254
29766907082323,981.6113
29766947079823,981.60864
29766987081541,981.6135
29767027209250,981.6172
29767067078625,981.61426
29767107077583,981.62085
29767147139094,981.6223
29767187079823,981.6223
29767227083000,981.61914
29767267076906,981.6113
29767307077583,981.6133
29767347078989,981.6106
29767387146698,981.60815
29767427079094,981.6111
29767467289927,981.6062
29767507077166,981.6074
29767547077010,981.6128
29767587081541,981.6155
29767627080552,981.61035
29767667098781,981.60693
29767707077166,981.59937
29767747077427,981.6033
29767787082844,981.60425
29767827079041,981.6045
29767867079719,981.6118
29767907080239,981.6094
29767947077531,981.61084
29767987085239,981.61255
29768027080083,981.61914
29768067080448,981.6084
29768107214771,981.6072
29768147077219,981.61035
29768187077844,981.6062
29768227083052,981.6006
29768267080135,981.60693
29768307080187,981.6145
29768347077166,981.61694
29768387077375,981.6128
29768427079562,981.61255
29768467080708,981.61084
29768507083208,981.6033
29768547079406,981.6067
29768587077427,981.6033
29768627078469,981.5979
29768667080031,981.60376
29768707078156,981.60864
29768747135239,981.60767
29768787077948,981.6106
29768827079094,981.6079
29768867081646,981.6089
29768907079406,981.6084
29768947078729,981.61304
29768987078989,981.60547
29769027076802,981.6111
29769067080916,981.6111
29769107080187,981.6116
29769147080031,981.61646
29769187195500,981.61304
29769227079666,981.6157
29769267077687,981.6145
29769307089875,981.615
29769347079146,981.61035
29769387087010,981.6106
29769427077114,981.6128
29769467077427,981.6221
29769507079562,981.6233
29769547082635,981.62134
29769587080448,981.6179
29769627081021,981.61646
29769667077531,981.6196
29769707082531,981.6106
29769747078781,981.6145
29769787081906,981.614
29769827184771,981.6079
29769867077219,981.61523
29769907081750,981.62354
29769947079510,981.6221
29769987080239,981.625
29770027082010,981.6189
29770067077375,981.62036
29770107077271,981.6201
29770147081958,981.6079
29770187080864,981.6116
29770227080500,981.6106
29770267094510,981.61646
29770307078885,981.62036
29770347077791,981.625
29770387083156,981.625
29770427080239,981.6228
29770467118989,981.6221
29770507077166,981.6184
29770547077479,981.61694
29770587080291,981.61646
29770627082635,981.61475
29770667080552,981.6113
29770707080396,981.60693
29770747077114,981.6067
29770787082687,981.6101
29770827125083,981.60767
29770867080708,981.6177
29770907203416,981.61084
29770947077531,981.6096
29770987080291,981.61475
29771027081958,981.6172
29771067080916,981.61597
29771107079146,981.6179
29771147077635,981.6155
29771187077739,981.6211
29771227082583,981.61255
29771267082010,981.61597
29771307078521,981.6233
29771347080396,981.61084
29771387077739,981.60864
29771427080187,981.615
29771467080604,981.614
29771507080396,981.6118
29771547095864,981.60864
29771587077479,981.6101
29771627077219,981.6157
29771667080708,981.6162
29771707082791,981.6138
29771747080448,981.6211
29771787079146,981.6101
29771827076906,981.6106
29771867080708,981.61743
29771907083260,981.61523
29771947080604,981.61523
29771987254146,981.60767
29772027076906,981.6096
29772067077375,981.60547
29772107080916,981.6101
29772147078937,981.6155
29772187088156,981.6179
29772227079250,981.60986
29772267077844,981.5991
29772307082166,981.60376
29772347079719,981.60596
29772387080656,981.6128
29772427080187,981.61035
29772467076854,981.6157
29772507083937,981.61597
29772547081437,981.6157
29772587080031,981.6206
29772627168625,981.61743
29772667078208,981.6106
29772707077479,981.60767
29772747080291,981.6096
29772787079927,981.6118
29772827083052,981.6074
29772867076594,981.60156
29772907077427,981.60254
29772947080396,981.59937
29772987082114,981.6067
29773027080083,981.6089
29773067284666,981.6128
29773107077896,981.6101
29773147084458,981.61255
29773187081541,981.6084
29773227079041,981.60547
29773267108521,981.61426
29773307077114,981.6179
29773347080031,981.6201
29773387081646,981.61865
29773427077062,981.61426
29773467081489,981.6123
29773507080552,981.6128
29773547077739,981.6116
29773587079406,981.6062
29773627080291,981.604
29773667079875,981.61206
29773707246541,981.6072
29773747076958,981.60425
29773787077114,981.6045
29773827219354,981.59717
29773867078937,981.5991
29773907081906,981.59546
29773947077323,981.6138
29773987077896,981.6172
29774027084198,981.60645
29774067082635,981.6096
29774107079146,981.6074
29774147081281,981.61304
29774187077791,981.61475
29774227080708,981.6128
29774267079614,981.61597
29774307082219,981.61694
29774347137739,981.6101
29774387078052,981.6133
29774427080187,981.62256
29774467081177,981.61743
29774507080239,981.62256
29774547080291,981.6211
29774587077791,981.624
29774627077739,981.6245
29774667080031,981.6145
29774707082323,981.61646
29774747080448,981.62256
29774787247375,981.6223
29774827077323,981.61646
29774867080708,981.6111
29774907084094,981.6072
29774947080031,981.6155
29774987080604,981.6155
29775027076698,981.60986
29775067077791,981.59644
29775107141802,981.6006
29775147082375,981.60254
29775187079979,981.59595
29775227078000,981.59375
29775267077791,981.6001
29775307079771,981.6106
29775347080083,981.6052
29775387080604,981.6101
29775427185916,981.6113
29775467077583,981.61426
29775507078729,981.6094
29775547079041,981.6052
29775587079354,981.60474
29775627080187,981.6013
29775667077531,981.60986
29775707077948,981.6074
29775747084562,981.61206
29775787081177,981.6184
29775827078521,981.6167
29775867236802,981.61694
29775907077427,981.61597
29775947080552,981.61816
29775987116281,981.6211
29776027080708,981.6145
29776067118989,981.605
29776107077531,981.60156
29776147077791,981.6018
29776187080135,981.6018
29776227081437,981.6072
29776267086489,981.60376
29776307078260,981.60205
29776347076958,981.59863
29776387082479,981.59375
29776427079354,981.5989
29776467078989,981.5967
29776507216594,981.6013
29776547076958,981.6062
29776587076854,981.60693
29776627081177,981.6128
29776667077219,981.61816
29776707079927,981.6155
29776747076698,981.6096
29776787077948,981.60913
29776827082635,981.604
29776867080239,981.61304
29776907092271,981.60693
29776947079719,981.6052
29776987077635,981.6028
29777027083573,981.60034
29777067078677,981.60425
29777107079041,981.6084
29777147153781,981.61035
29777187077114,981.61743
29777227080448,981.61523
29777267079927,981.61084
29777307078260,981.6101
29777347080552,981.6067
29777387082062,981.6096
29777427077531,981.6052
29777467079719,981.5962
29777507128625,981.60474
29777547080812,981.60864
29777587235031,981.6162
29777627077010,981.6155
29777667079406,981.6094
29777707079979,981.6052
29777747081333,981.6133
29777787078208,981.61035
29777827077531,981.6018
29777867081229,981.6035
29777907082166,981.6008
29777947078833,981.6052
29777987079510,981.6094
29778027078989,981.6106
29778067078729,981.6128
29778107080031,981.6033
29778147080083,981.60425
29778187079458,981.6013
29778227079823,981.6045
29778267077323,981.6023
29778307077271,981.6008
29778347080864,981.59985
29778387080396,981.5991
29778427080083,981.6033
29778467077427,981.603
29778507077948,981.6018
29778547079979,981.6035
29778587119406,981.6089
29778627081750,981.61743
29778667093573,981.6145
29778707076906,981.6138
29778747082010,981.61426
29778787080500,981.61816
29778827079979,981.6223
29778867120239,981.6277
29778907077844,981.62573
29778947077375,981.6162
29778987079927,981.6189
29779027079666,981.61426
29779067078416,981.61914
29779107078521,981.61255
29779147077427,981.6111
29779187082219,981.615
29779227082271,981.614
29779267082166,981.615
29779307241073,981.60645
29779347077323,981.6062
29779387077219,981.6033
29779427080239,981.59814
29779467079406,981.60425
29779507080552,981.604
29779547077479,981.6062
29779587077531,981.61035
29779627077479,981.6113
29779667081906,981.614
29779707079146,981.6094
29779747079354,981.61255
29779787077635,981.614
29779827081489,981.6206
29779867085344,981.62695
29779907079666,981.6228
29779947152687,981.6238
29779987077010,981.63525
29780027077166,981.645
29780067080500,981.636
29780107079666,981.6299
29780147081021,981.6299
29780187078937,981.63086
29780227079146,981.62524
29780267082583,981.6255
29780307079719,981.6228
29780347078416,981.6116
29780387272791,981.61084
29780427077271,981.6101
29780467076906,981.60864
29780507130031,981.6094
29780547081333,981.60693
29780587079927,981.59766
29780627077479,981.6072
29780667076698,981.62085
29780707079614,981.61865
29780747079719,981.61865
29780787079250,981.61743
29780827079562,981.61865
29780867077062,981.6118
29780907080083,981.60815
29780947090604,981.60913
29780987081437,981.61475
29781027220239,981.6094
29781067077635,981.61646
29781107079041,981.6157
29781147079719,981.61865
29781187080344,981.60864
29781227079719,981.59595
29781267076385,981.60034
29781307079666,981.6074
29781347082844,981.60913
29781387079719,981.6116
29781427084979,981.6116
29781467080969,981.6157
29781507080239,981.6111
29781547078052,981.61426
29781587082531,981.61523
29781627079719,981.6079
29781667127583,981.61304
29781707077166,981.6145
29781747077896,981.6135
29781787081021,981.6084
29781827078833,981.60596
29781867079614,981.614
29781907080448,981.6145
29781947079823,981.6135
29781987079562,981.61865
29782027080604,981.6167
29782067079719,981.614
29782107236594,981.6135
29782147077739,981.61304
29782187077323,981.615
29782227082114,981.6116
29782267078573,981.6116
29782307079198,981.6113
29782347077896,981.61035
29782387103989,981.61426
29782427082323,981.60767
29782467077323,981.6033
29782507079666,981.6135
29782547082323,981.61035
29782587077844,981.6162
29782627079250,981.615
29782667079666,981.60767
29782707079771,981.60815
29782747194875,981.60986
29782787134510,981.6074
29782827077323,981.6113
29782867079875,981.6118
29782907082323,981.6128
29782947084198,981.6138
29782987079875,981.6162
29783027077375,981.61646
29783067079510,981.6238
29783107133052,981.625
29783147079666,981.6279
29783187284041,981.6167
29783227080812,981.6118
29783267079198,981.6052
29783307080916,981.6094
29783347079198,981.61206
29783387102791,981.6101
29783427077583,981.61523
29783467077791,981.6155
29783507084354,981.61646
29783547080448,981.61304
29783587080708,981.60596
29783627083625,981.60547
29783667077531,981.60376
29783707082219,981.6101
29783747120604,981.61035
29783787079979,981.6089
29783827215812,981.6177
29783867077479,981.6123
29783907077114,981.6079
29783947143781,981.61084
29783987079562,981.6052
29784027079979,981.6089
29784067077010,981.61255
29784107077791,981.6113
29784147081646,981.6138
29784187080083,981.6133
29784227080187,981.61035
29784267079927,981.61035
29784307076750,981.60767
29784347077844,981.6074
29784387080969,981.6101
29784427077896,981.6079
29784467136594,981.6079
29784507077687,981.6096
29784547080552,981.60864
29784587081594,981.6111
29784627079666,981.60645
29784667081437,981.60156
29784707079666,981.60864
29784747077791,981.6094
29784787079562,981.6135
29784827079562,981.6179
29784867078781,981.61646
29784907203937,981.6145
29784947077739,981.6106
29784987077166,981.6089
29785027087531,981.6045
29785067082844,981.6023
29785107083156,981.60986
29785147077791,981.61084
29785187077479,981.6096
29785227082010,981.6106
29785267079719,981.60693
29785307079302,981.6116
29785347082479,981.6116
29785387077375,981.6074
29785427082062,981.60474
29785467079562,981.60425
29785507078573,981.60474
29785547174562,981.61206
29785587078208,981.6101
29785627077896,981.605
29785667079719,981.6052
29785707077687,981.61035
29785747081594,981.6084
29785787078260,981.6128
29785827078052,981.6116
29785867081802,981.6133
29785907080083,981.6145
29785947079823,981.60693
29785987093885,981.6074
29786027077739,981.60474
29786067080969,981.60693
29786107079719,981.6062
29786147080969,981.60547
29786187123156,981.59717
29786227079094,981.60815
29786267077583,981.6113
29786307079198,981.6116
29786347079823,981.60986
29786387081177,981.6172
29786427079719,981.61475
29786467076958,981.6118
29786507079562,981.6101
29786547114198,981.615
29786587080396,981.6221
29786627213937,981.6282
29786667077062,981.62573
29786707082010,981.6184
29786747079666,981.6133
29786787080187,981.61084
29786827079562,981.61914
29786867077791,981.624
29786907079875,981.6206
29786947081229,981.60864
29786987079823,981.6123
29787027078312,981.6135
29787067080500,981.61523
29787107077219,981.6145
29787147085396,981.61475
29787187144719,981.6135
29787227081750,981.614
29787267124041,981.6113
29787307077635,981.605
29787347077375,981.60767
29787387080239,981.6013
29787427082687,981.60596
29787467079771,981.60986
29787507087271,981.6155
29787547077323,981.6113
29787587080083,981.6196
29787627105604,981.6218
29787667080083,981.61743
29787707284354,981.615
29787747077114,981.61816
