t_ns,clk_time_ns,full_bias_ns,bias_ns,drift_nps,hw_clock_disc,leap_s,time_unc_ns,bias_unc_ns,drift_unc_nps,constellation,svid,cn0,baseband_cn0,pr_rate_mps,pr_rate_unc,adr_state,adr_m,adr_unc_m,carrier_freq_hz,multipath,received_sv_time_ns,state,agc_db,code_type
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,41,35.9,31.599999999999998,-472.8972473144531,0.8554999828338623,16,0.0,0.0,1.561098E9,0,511703452072903,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,38,35.4,31.099999999999998,335.7714538574219,0.8645000457763672,16,0.0,0.0,1.561098E9,0,511703446432899,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,37,34.9,30.599999999999998,418.8189392089844,0.8785000443458557,16,0.0,0.0,1.561098E9,0,511703450911896,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,33,37.6,33.300000000000004,-8.766603469848633,0.7970000505447388,16,0.0,0.0,1.561098E9,0,511703451968942,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,28,40.5,36.2,78.38091278076172,0.7294999957084656,16,0.0,0.0,1.561098E9,0,511703456708910,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,27,35.8,31.499999999999996,-211.08021545410156,0.8510000705718994,16,0.0,0.0,1.561098E9,0,511703455062000,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,13,40.0,35.7,248.8159637451172,0.737000048160553,16,0.0,0.0,1.561098E9,0,511703451012784,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,9,38.0,33.7,-158.06771850585938,0.7799999713897705,16,0.0,0.0,1.561098E9,0,511703409179802,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,8,30.7,26.4,-19.376785278320312,1.027500033378601,16,0.0,0.0,1.561098E9,0,511703404286740,16399,-60.67,I
29753243884606,29679319000000,-1472565238212199441,-0.865086555480957,-5.859375041507191,33,18,0.0,639.0932248905301,18.90529867300578,5,6,33.5,29.2,-42.39271545410156,0.9099999666213989,16,0.0,0.0,1.561098E9,0,511703409900905,16399,-60.67,I
