t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=5.8 s=15.0 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-213.7 s=443.5 count=0 corridors=2"
1.575,RECOG,"SNU_R1 fix=2 d=5.8 s=15.2 count=2 corridors=2"
1.575,RECOG,"SNU_R2 fix=2 d=-213.8 s=443.5 count=0 corridors=2"
2.786,RECOG,"SNU_R1 fix=3 d=5.9 s=15.4 count=3 corridors=2"
2.786,RECOG,"SNU_R2 fix=3 d=-214.0 s=443.5 count=0 corridors=2"
3.783,RECOG,"SNU_R1 fix=4 d=5.9 s=15.6 count=4 corridors=2"
3.783,RECOG,"SNU_R2 fix=4 d=-214.2 s=443.5 count=0 corridors=2"
4.784,RECOG,"SNU_R1 fix=5 d=6.0 s=15.7 count=5 corridors=2"
4.784,RECOG,"SNU_R2 fix=5 d=-214.4 s=443.5 count=0 corridors=2"
5.787,RECOG,"SNU_R1 fix=6 d=6.0 s=15.9 count=6 corridors=2"
5.787,RECOG,"SNU_R2 fix=6 d=-214.5 s=443.5 count=0 corridors=2"
6.787,RECOG,"SNU_R1 fix=7 d=6.0 s=15.9 count=7 corridors=2"
6.787,RECOG,"SNU_R2 fix=7 d=-214.5 s=443.5 count=0 corridors=2"
7.790,RECOG,"SNU_R1 fix=8 d=6.0 s=15.9 count=8 corridors=2"
7.790,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=15.9 d=6.0 s_start=15.9"
15.001,ALIGN,"stand g=9.872 pitch=2.42 roll=63.37 bias_dps=[0.022 0.034 -0.071] quiet=true qfrac=0.79 rot=3.45deg"
15.001,PHASE,"RIDE"
17.785,MOTION_START,"v=1.16"
18.800,DIRECTION,"AB"
23.790,ALIGN,"psi=47.17 (init) pitch=2.42 roll=63.37 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=47.17 (init) pitch=-0.25 roll=63.75 blocks=1 moved_at=NaN sway_ratio=NaN"
38.790,ALIGN,"psi=91.08 (sway) pitch=-0.25 roll=63.75 blocks=1 moved_at=NaN sway_ratio=6.5"
38.800,ARMED,""
45.010,ALIGN,"psi=91.08 (sway) pitch=-0.24 roll=63.74 blocks=2 moved_at=NaN sway_ratio=6.5"
48.790,ALIGN,"psi=93.08 (sway) pitch=-0.24 roll=63.74 blocks=2 moved_at=NaN sway_ratio=3.3"
48.791,SIM_ENTER,"armed=true"
48.800,MODE,"GNSS_INS->INERTIAL sim"
48.800,DISARMED,"gnss5s"
48.800,BAND_ENTER,""
58.790,ALIGN,"psi=92.77 (sway) pitch=-0.24 roll=63.74 blocks=2 moved_at=NaN sway_ratio=3.6"
65.010,ALIGN,"psi=92.77 (sway) pitch=-0.30 roll=63.76 blocks=3 moved_at=NaN sway_ratio=3.6"
68.790,ALIGN,"psi=91.66 (sway) pitch=-0.30 roll=63.76 blocks=3 moved_at=NaN sway_ratio=3.8"
75.010,ALIGN,"psi=91.66 (sway) pitch=-0.39 roll=63.82 blocks=4 moved_at=NaN sway_ratio=3.8"
78.790,ALIGN,"psi=84.72 (sway) pitch=-0.39 roll=63.82 blocks=4 moved_at=NaN sway_ratio=4.0"
85.010,ALIGN,"psi=84.72 (sway) pitch=-0.53 roll=63.69 blocks=5 moved_at=NaN sway_ratio=4.0"
86.784,REVEAL,"off_by_m=5.1 distance_m=141 duration_s=39 max_err_m=5.3 sim=true armed=true"
86.800,MODE,"INERTIAL->RECOVERING"
86.800,BAND_EXIT,""
88.790,ALIGN,"psi=84.38 (sway) pitch=-0.53 roll=63.69 blocks=5 moved_at=NaN sway_ratio=5.0"
89.800,MODE,"RECOVERING->GNSS_INS"
91.800,ARMED,""
95.010,ALIGN,"psi=84.38 (sway) pitch=-0.61 roll=63.61 blocks=6 moved_at=NaN sway_ratio=5.0"
98.790,ALIGN,"psi=85.10 (sway) pitch=-0.61 roll=63.61 blocks=6 moved_at=NaN sway_ratio=5.0"
105.010,ALIGN,"psi=85.10 (sway) pitch=-0.67 roll=63.47 blocks=7 moved_at=NaN sway_ratio=5.0"
111.862,PHASE,"STOP_STAND"
115.010,ALIGN,"psi=85.10 (sway) pitch=-0.69 roll=62.89 blocks=8 moved_at=NaN sway_ratio=5.0"
126.863,PHASE,"DONE"
