t_s,lat,lon,x_m,y_m,v,heading_deg,mode,sim,k,sigma_pos,v_model,sigma_model,stop,tick_ms,model_ms,corridor_id,s_m,d_m
0.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.016,0.000,,,
0.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.104,0.000,,,
0.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.070,0.000,,,
0.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.066,0.000,,,
0.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.089,0.000,,,
0.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.077,0.000,,,
0.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.097,0.000,,,
0.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.121,0.000,,,
0.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.077,0.000,,,
0.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.057,0.000,,,
1.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.073,0.000,,,
1.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.057,0.000,,,
1.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.066,0.000,,,
1.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.060,0.000,,,
1.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.058,0.000,,,
1.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.057,0.000,,,
1.600,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,1.592,0.000,,,
1.700,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.076,0.000,,,
1.800,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.068,0.000,,,
1.900,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.089,0.000,,,
2.000,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.085,0.000,,,
2.100,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,1.319,0.000,,,
2.200,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.166,0.000,,,
2.300,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.070,0.000,,,
2.400,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.080,0.000,,,
2.500,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.129,0.000,,,
2.600,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.156,1,1.298,0.226,,,
2.700,28.52268203,77.57399139,0.097,0.696,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.147,1,0.607,0.374,,,
2.800,28.52268165,77.57399131,0.090,0.654,-0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.150,1,0.533,0.292,,,
2.900,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.155,1,0.379,0.261,,,
3.000,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.157,1,0.380,0.265,,,
3.100,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.155,1,1.206,0.269,,,
3.200,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.162,1,0.490,0.369,,,
3.300,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.156,1,0.337,0.180,,,
3.400,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.002,0.164,1,0.253,0.171,,,
3.500,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.155,1,0.323,0.225,,,
3.600,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.161,1,1.201,0.213,,,
3.700,28.52268165,77.57399131,0.090,0.654,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.167,1,1.083,0.509,,,
3.800,28.52268105,77.57399127,0.085,0.588,-0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.168,1,0.581,0.439,,,
3.900,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.152,1,0.614,0.438,,,
4.000,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.153,1,0.580,0.408,,,
4.100,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.151,1,2.364,0.339,,,
4.200,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.139,1,0.615,0.420,,,
4.300,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.140,1,0.544,0.381,,,
4.400,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.139,1,0.666,0.454,,,
4.500,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.141,1,0.905,0.715,,,
4.600,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.139,1,2.125,0.333,,,
4.700,28.52268105,77.57399127,0.085,0.588,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.132,1,1.019,0.824,,,
4.800,28.52268036,77.57399115,0.073,0.510,-0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.140,1,1.534,1.310,,,
4.900,28.52268036,77.57399115,0.073,0.510,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.141,1,0.843,0.592,,,
5.000,28.52268036,77.57399115,0.073,0.510,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.138,1,0.732,0.550,,,
5.100,28.52268036,77.57399115,0.073,0.510,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.142,1,2.384,0.337,,,
5.200,28.52268036,77.57399115,0.073,0.510,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.143,1,0.771,0.516,,,
5.300,28.52268036,77.57399115,0.073,0.510,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.143,1,1.074,0.795,,,
5.400,28.52268036,77.57399115,0.073,0.510,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.143,1,0.664,0.479,,,
5.500,28.52268036,77.57399115,0.073,0.510,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.138,1,0.505,0.359,,,
