t_ns,value
97052397740582,48.0
97052717741988,59.0
97052877740009,72.0
97053037740218,47.0
97053197741780,76.0
97053357742770,48.0
97053517745165,47.0
97053677739905,48.0
97053837741311,47.0
97053997741520,48.0
97054317739280,47.0
97055757741155,48.0
97056077739593,47.0
97056237740165,48.0
97056557739697,47.0
97056717744332,48.0
97057357742405,47.0
97057517739697,48.0
97057837739905,47.0
97058477739436,48.0
97058637742509,47.0
97058957738551,48.0
97059117740790,47.0
97059277742822,48.0
97059437744488,47.0
97059917839020,48.0
97060237740634,47.0
97060397739436,48.0
97063917743030,47.0
97064077740530,48.0
97064237740165,47.0
97064397740113,48.0
97064557742145,47.0
97065837740738,48.0
97066477806051,47.0
97066637742770,48.0
97066797740113,47.0
97066957740113,48.0
97067757740374,47.0
97067917746207,48.0
97070637740165,47.0
97070797739488,48.0
97070957741572,47.0
97071117739697,48.0
97071437743343,47.0
97071597741936,48.0
97072077740009,47.0
97072237742040,48.0
97072397776207,47.0
97072557740218,48.0
97073837743811,47.0
97073997739697,48.0
97075277740322,47.0
97075437743447,48.0
97076877741311,47.0
97077037739593,48.0
97077197739957,47.0
97077997739020,46.0
97078903308395,46.0
97079107364957,46.0
97079147368186,46.0
97079307367561,34.0
97079467367040,46.0
97079787371988,46.0
97079953199332,42.0
97080124389889,47.0
97080284388430,47.0
97080444391868,41.0
97080604431451,35.0
97080764387024,30.0
97080924386660,22.0
97081084387493,39.0
97081244388743,64.0
97081404386920,24.0
97081564386399,16.0
97081724388378,20.0
97081884391399,19.0
97082044388951,16.0
97082204386347,19.0
97082364387441,25.0
97082524391451,23.0
97082684389107,24.0
97083164384316,23.0
97083484382545,22.0
97083644409524,23.0
97083804388743,24.0
97084284462128,20.0
97084444391712,17.0
97084604389264,18.0
97084924537649,20.0
97085244387597,51.0
97085404386451,69.0
97085564399889,57.0
97085724387493,47.0
97085884388743,42.0
97086044386712,51.0
97086204388639,54.0
97086364390618,48.0
97086524391451,38.0
97086684386972,49.0
97086844386607,48.0
97088604386920,49.0
97089084391764,48.0
97089564421503,49.0
97089724391712,48.0
97089884392128,49.0
97090044386920,48.0
97090524388587,49.0
97090844536243,48.0
97091004388899,49.0
97091164390305,48.0
97091484403326,49.0
97091644387180,48.0
97092284386503,49.0
97092604386868,48.0
97092924388951,49.0
97093564389316,48.0
97093724391035,49.0
97095804388535,48.0
97096444385097,49.0
97096604383378,48.0
97097084384368,49.0
97098204385201,48.0
97098684382857,49.0
97099004386607,48.0
97099804386399,49.0
97100444393795,48.0
97100604386295,49.0
97100764390982,48.0
97100924388795,49.0
97101244386816,48.0
97101404460462,49.0
97101564391660,48.0
97101724388274,49.0
97102364391295,48.0
97102524386451,49.0
97103644392285,48.0
97103964388066,49.0
97104284384785,48.0
97104924389628,49.0
97105244382857,48.0
97105884386191,49.0
97110204386087,50.0
97110684383795,49.0
97110844384055,50.0
97111484383795,49.0
97112124383795,50.0
97112444390097,49.0
97112604526035,50.0
97112924394993,49.0
97113084386816,50.0
97113724386139,49.0
97114364387337,50.0
97114524386347,49.0
97115004387024,50.0
97119324389368,50.0
97123644385878,50.0
97127964388639,50.0
97131004387076,49.0
97131324391399,50.0
97131804388274,49.0
97132124390930,50.0
97136444389524,50.0
97140764385752,50.0
97144284421794,43.0
97144444387731,47.0
97144604393565,50.0
97148924388669,50.0
97153244384554,49.0
97153404386846,50.0
97153724387679,49.0
97153884386950,50.0
97154044388096,49.0
97154524389085,50.0
97154684386690,49.0
97155164391638,50.0
97155324386481,49.0
97155484390231,50.0
97155964386221,49.0
97156124445440,50.0
97156284390075,49.0
97156924390075,50.0
97161244386481,50.0
97162044431221,49.0
97162524386325,50.0
97162844388669,49.0
97163004388252,50.0
97163164386794,49.0
97163324553773,50.0
97163484389294,49.0
97166524386117,50.0
97166684390752,49.0
97166844391638,50.0
97167004393825,49.0
97168124388669,50.0
97168284392367,49.0
97170044388148,40.0
97170204390127,44.0
97170364386065,50.0
97170684388929,48.0
97170844389815,50.0
97171964388356,49.0
97172764392419,50.0
97173244386273,49.0
97173404384815,50.0
97177724387054,50.0
97179644387419,49.0
97179804394190,50.0
97180124392367,49.0
97181564386742,50.0
97182044390179,49.0
97182684388408,50.0
97183964389502,42.0
97184124389085,37.0
97184604391377,41.0
97184764390492,49.0
97184924386533,50.0
97185084389710,49.0
97185244391117,50.0
97185404394710,49.0
97189724384138,49.0
97191964391846,50.0
97192124386481,49.0
97194524391013,50.0
97194844390856,49.0
97196124386325,50.0
97197564383825,49.0
97197724385648,50.0
97199644410075,49.0
97200604382916,50.0
97200924383697,49.0
97201564383957,50.0
97202684388749,49.0
97202844390937,50.0
97203164389114,49.0
97203324386718,50.0
97203484388541,49.0
97203644390676,50.0
97207964390624,50.0
97211324389947,49.0
97211804386822,50.0
97212284392239,51.0
97212444385989,40.0
97212604440259,37.0
97212764388801,38.0
97212924390259,32.0
97213084386718,34.0
97213244507187,43.0
97213404389166,48.0
97213564394270,50.0
97213884559895,49.0
97214204389009,50.0
