t_ns,wall_ms,type,text
97052357463962,1788626998739,SESSION_START,"20260905_221958_NAV_run902"
97052357606566,1788626998740,CALIB_START,"stand still 15s"
97067357351925,1788627013739,CALIB_END,"n_fixes=0"
97067357591352,1788627013740,RIDE_START,""
97201184424530,1788627147566,STOP_CALIB_START,"stand still 15s"
97216184869473,1788627162567,STOP_CALIB_END,"n_fixes=0"
97216190998483,1788627162573,SESSION_END,""
