t_ns,gx,gy,gz,accuracy
21040409991229,1.527162E-4,-0.0013744457,0.0050396346,3
21040412370291,-0.002290743,-0.0025961753,0.0050396346,3
21040414749302,-0.0035124724,-0.0025961753,0.003817905,3
21040417128312,-0.002290743,-0.0025961753,0.0050396346,3
21040419507270,-0.0010690134,-0.0025961753,0.003817905,3
21040421886333,0.0013744457,-0.003817905,0.003817905,3
21040424265343,0.0013744457,-0.003817905,0.003817905,3
21040426644406,1.527162E-4,-0.003817905,0.003817905,3
21040429023416,1.527162E-4,-0.0050396346,0.006261364,3
21040431402427,-0.0010690134,-0.0050396346,0.0050396346,3
21040433781437,-0.0010690134,-0.006261364,0.0074830935,3
21040436160447,1.527162E-4,-0.008704823,0.006261364,3
21040438539458,0.0013744457,-0.0074830935,0.006261364,3
21040440918520,0.0013744457,-0.0074830935,0.006261364,3
21040443297531,0.0013744457,-0.006261364,0.0074830935,3
21040445676541,1.527162E-4,-0.0050396346,0.006261364,3
21040448055552,-0.0010690134,-0.003817905,0.003817905,3
21040450434562,-0.002290743,-0.0013744457,0.0025961753,3
21040452813572,-0.0010690134,-0.0013744457,0.0025961753,3
21040455192583,-0.0010690134,0.002290743,0.0013744457,3
21040457571645,1.527162E-4,0.0035124724,0.0013744457,3
21040459950656,0.0013744457,0.0035124724,1.527162E-4,3
21040462329666,1.527162E-4,0.004734202,-0.0010690134,3
21040464708677,1.527162E-4,0.0035124724,1.527162E-4,3
21040467087635,-0.0010690134,0.0035124724,0.0013744457,3
21040469466697,-0.0010690134,0.0035124724,0.0013744457,3
21040471845760,1.527162E-4,0.0010690134,0.0025961753,3
21040474224770,1.527162E-4,-1.527162E-4,0.003817905,3
21040476603781,1.527162E-4,-0.0025961753,0.006261364,3
21040478982791,1.527162E-4,-0.0025961753,0.006261364,3
21040481361802,-0.0010690134,-0.0050396346,0.0074830935,3
21040483740812,-0.002290743,-0.0050396346,0.0074830935,3
21040486119874,1.527162E-4,-0.006261364,0.008704823,3
21040488498885,-0.0010690134,-0.0074830935,0.006261364,3
21040490877895,-0.0010690134,-0.006261364,0.006261364,3
21040493256906,1.527162E-4,-0.006261364,0.0050396346,3
21040495635916,1.527162E-4,-0.0025961753,0.0050396346,3
21040498014927,1.527162E-4,-0.0013744457,0.0013744457,3
21040500393937,-0.0010690134,-1.527162E-4,1.527162E-4,3
21040502772999,1.527162E-4,0.002290743,0.0013744457,3
21040505152010,0.0013744457,0.002290743,1.527162E-4,3
21040507531020,0.0025961753,0.0035124724,-0.0010690134,3
21040509910031,0.0025961753,0.004734202,1.527162E-4,3
21040512289041,0.0025961753,0.004734202,1.527162E-4,3
21040514668052,0.0013744457,0.002290743,1.527162E-4,3
21040517047114,0.0013744457,0.0035124724,1.527162E-4,3
21040519426124,0.0013744457,0.0010690134,-0.0010690134,3
21040521805135,0.0025961753,0.0010690134,0.0013744457,3
21040524184145,0.0025961753,0.002290743,0.0025961753,3
21040526563156,0.0025961753,0.002290743,0.0013744457,3
21040528942166,0.0013744457,0.0010690134,1.527162E-4,3
21040531321177,0.0013744457,0.0010690134,-0.0010690134,3
