t_ns,hPa
21040559457010,982.5554
21040599457999,982.5564
21040639457010,982.54834
21040679455916,982.5459
21040719456437,982.5508
21040759457322,982.5442
21040799456385,982.5405
21040839456697,982.5386
21040879457166,982.5381
21040919455552,982.532
21040959457739,982.53
21040999456333,982.53345
21041039457010,982.54785
21041079456385,982.551
21041119458052,982.54834
21041159456645,982.54346
21041199458677,982.5405
21041239456749,982.5364
21041279457531,982.5354
21041319456020,982.5344
21041359457270,982.5342
21041399457114,982.53735
21041439456385,982.53467
21041479459562,982.5315
21041519457270,982.531
21041559528364,982.52856
21041599457427,982.53784
21041639456541,982.5398
21041679456437,982.54224
21041719458468,982.54224
21041759459093,982.54517
21041799456385,982.54785
21041839456697,982.5459
21041879457270,982.5427
21041919456906,982.5383
21041959455395,982.54297
21041999456229,982.5425
21042039456437,982.5342
21042079457218,982.5359
21042119457947,982.5337
21042159457687,982.5322
21042199455604,982.5293
21042239457114,982.5261
21042279457427,982.5332
21042319456385,982.54004
21042359457374,982.53735
21042399456177,982.53467
21042439455864,982.5276
21042479457427,982.5254
21042519456958,982.5266
21042559457010,982.52466
21042599524666,982.52637
21042639457999,982.52954
21042679457739,982.53394
21042719456229,982.5342
21042759457218,982.5283
21042799593156,982.52563
21042839458312,982.5283
21042879458468,982.5371
21042919457218,982.54224
21042959455604,982.5449
21042999457218,982.5408
21043039456229,982.54297
21043079455812,982.5366
21043119456541,982.53687
21043159456906,982.5398
21043199456541,982.54004
21043239455968,982.5398
21043279457583,982.54004
21043319455708,982.5354
21043359456906,982.53687
21043399457479,982.53735
21043439458260,982.5442
21043479456177,982.54175
21043519456072,982.5513
21043559456749,982.551
21043599454927,982.55566
21043639459979,982.5513
21043679480656,982.55176
21043719455552,982.54785
21043759457270,982.5486
21043799462270,982.5425
21043839462999,982.5366
21043879516749,982.5354
21043919458729,982.53076
21043959460916,982.5276
21043999462010,982.5315
21044039462010,982.5305
21044079633156,982.53296
21044119460812,982.52954
21044159463156,982.53394
21044199462374,982.53735
21044239460916,982.53516
21044279598572,982.5366
21044319460291,982.5322
21044359461124,982.53467
21044399462895,982.52954
21044439462062,982.5276
21044479462062,982.5322
21044519460604,982.53394
21044559458729,982.5283
21044599462999,982.5342
21044639463260,982.54663
21044679461489,982.5415
21044719462739,982.5405
21044759459302,982.53955
21044799461072,982.53906
21044839463416,982.54175
21044879462583,982.5393
21044919558677,982.52954
21044959459145,982.5254
21044999459718,982.52246
21045039473572,982.522
21045079462270,982.53613
21045119462166,982.54004
21045159459354,982.54614
21045199459041,982.5398
21045239465604,982.5403
21045279462166,982.53955
21045319462114,982.53467
21045359574145,982.5305
21045399461906,982.531
21045439461489,982.5393
21045479461281,982.5359
21045519464614,982.5332
21045559486854,982.5283
21045599461229,982.53516
21045639460343,982.5415
21045679461749,982.5383
21045719461958,982.53687
21045759462322,982.5344
21045799463260,982.53687
21045839460499,982.5376
21045879461749,982.5383
21045919464406,982.5359
21045959466333,982.5327
21045999461593,982.5386
21046039530604,982.5366
21046079466020,982.5354
21046119464770,982.541
21046159464666,982.53345
21046199460656,982.5364
21046239459874,982.5403
21046279459406,982.5359
21046319462895,982.5359
21046359463052,982.54004
21046399459770,982.5427
21046439676854,982.5464
21046479462322,982.53735
21046519462635,982.53345
21046559463312,982.5383
21046599461593,982.54224
21046639465447,982.5437
21046679461177,982.5376
21046719462687,982.5342
21046759521385,982.53564
21046799465187,982.5337
21046839460604,982.5403
21046879459510,982.53906
21046919460291,982.5327
21046959461958,982.53345
21046999464979,982.5266
21047039461854,982.53564
21047079461697,982.53735
21047119540760,982.5288
21047159460864,982.53
21047199463364,982.53174
21047239461124,982.5342
21047279566906,982.5337
21047319462635,982.53174
21047359459666,982.5408
21047399494614,982.5476
21047439461593,982.5398
21047479461124,982.5364
21047519475656,982.5344
21047559458624,982.5322
21047599463312,982.5215
21047639464666,982.5227
21047679463208,982.52246
21047719556177,982.52686
21047759460031,982.5322
21047799461333,982.52734
21047839459927,982.52686
21047879461958,982.52515
21047919515083,982.5325
21047959461749,982.53564
21047999462687,982.53687
21048039463729,982.5383
21048079462322,982.53516
21048119460604,982.5344
21048159462270,982.5337
21048199459874,982.53735
21048239459927,982.5393
21048279463312,982.5388
21048319461906,982.5383
21048359464718,982.5425
21048399459249,982.5437
21048439461229,982.55347
21048479462635,982.5486
21048519463364,982.5481
21048559462218,982.551
21048599460187,982.5425
21048639459093,982.5432
21048679461281,982.5427
21048719462635,982.5381
21048759462270,982.52686
21048799462687,982.52026
21048839459458,982.52563
21048879461541,982.531
21048919462739,982.53174
21048959463052,982.5281
21048999463989,982.53076
21049039458781,982.52734
21049079462010,982.5288
21049119502739,982.5332
21049159462010,982.5403
21049199461333,982.53784
21049239459979,982.5498
21049279460031,982.55054
21049319464927,982.5469
21049359460447,982.54395
21049399463624,982.53564
21049439582479,982.5322
21049479532791,982.53345
21049519461124,982.5303
