t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=-425.5 s=213.6 count=0 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-0.4 s=16.2 count=1 corridors=2"
1.575,RECOG,"SNU_R1 fix=2 d=-425.5 s=213.6 count=0 corridors=2"
1.575,RECOG,"SNU_R2 fix=2 d=-0.4 s=16.2 count=2 corridors=2"
3.057,RECOG,"SNU_R1 fix=3 d=-425.5 s=213.6 count=0 corridors=2"
3.057,RECOG,"SNU_R2 fix=3 d=-0.4 s=16.2 count=3 corridors=2"
4.056,RECOG,"SNU_R1 fix=4 d=-425.5 s=213.6 count=0 corridors=2"
4.056,RECOG,"SNU_R2 fix=4 d=-0.4 s=16.2 count=4 corridors=2"
5.056,RECOG,"SNU_R1 fix=5 d=-425.5 s=213.6 count=0 corridors=2"
5.056,RECOG,"SNU_R2 fix=5 d=-0.4 s=16.2 count=5 corridors=2"
6.060,RECOG,"SNU_R1 fix=6 d=-425.6 s=213.6 count=0 corridors=2"
6.060,RECOG,"SNU_R2 fix=6 d=-0.3 s=16.1 count=6 corridors=2"
7.055,RECOG,"SNU_R1 fix=7 d=-425.6 s=213.6 count=0 corridors=2"
7.055,RECOG,"SNU_R2 fix=7 d=-0.3 s=16.1 count=7 corridors=2"
8.053,RECOG,"SNU_R1 fix=8 d=-425.6 s=213.6 count=0 corridors=2"
8.053,RECOG,"SNU_R2 fix=8 d=-0.3 s=16.1 count=8 corridors=2"
8.053,CORRIDOR,"recognised SNU_R2 (Circular Rd) s=16.1 d=-0.3 s_start=16.1"
15.000,ALIGN,"stand g=9.867 pitch=2.41 roll=67.31 bias_dps=[-0.002 -0.025 0.092] quiet=true qfrac=0.79 rot=2.63deg"
15.000,PHASE,"RIDE"
39.059,MOTION_START,"v=2.29"
40.100,DIRECTION,"AB"
45.060,ALIGN,"psi=47.85 (init) pitch=2.41 roll=67.31 blocks=0 moved_at=NaN sway_ratio=NaN"
55.010,ALIGN,"psi=47.85 (init) pitch=0.85 roll=67.81 blocks=1 moved_at=NaN sway_ratio=NaN"
59.050,ALIGN,"psi=88.01 (sway) pitch=0.85 roll=67.81 blocks=1 moved_at=NaN sway_ratio=62.0"
59.100,ARMED,""
65.010,ALIGN,"psi=88.01 (sway) pitch=0.82 roll=67.68 blocks=2 moved_at=NaN sway_ratio=62.0"
69.050,ALIGN,"psi=88.31 (sway) pitch=0.82 roll=67.68 blocks=2 moved_at=NaN sway_ratio=53.0"
75.010,ALIGN,"psi=88.31 (sway) pitch=0.83 roll=67.58 blocks=3 moved_at=NaN sway_ratio=53.0"
79.050,ALIGN,"psi=88.14 (sway) pitch=0.83 roll=67.58 blocks=3 moved_at=NaN sway_ratio=62.3"
85.010,ALIGN,"psi=88.14 (sway) pitch=0.78 roll=67.44 blocks=4 moved_at=NaN sway_ratio=62.3"
86.054,SIM_ENTER,"armed=true"
86.100,MODE,"GNSS_INS->INERTIAL sim"
86.100,DISARMED,"gnss5s"
86.100,BAND_ENTER,""
89.050,ALIGN,"psi=88.05 (sway) pitch=0.78 roll=67.44 blocks=4 moved_at=NaN sway_ratio=48.9"
95.010,ALIGN,"psi=88.05 (sway) pitch=0.72 roll=67.27 blocks=5 moved_at=NaN sway_ratio=48.9"
99.050,ALIGN,"psi=88.13 (sway) pitch=0.72 roll=67.27 blocks=5 moved_at=NaN sway_ratio=43.8"
105.010,ALIGN,"psi=88.13 (sway) pitch=0.66 roll=67.20 blocks=6 moved_at=NaN sway_ratio=43.8"
109.050,ALIGN,"psi=88.13 (sway) pitch=0.66 roll=67.20 blocks=6 moved_at=NaN sway_ratio=40.7"
115.010,ALIGN,"psi=88.13 (sway) pitch=0.69 roll=67.24 blocks=7 moved_at=NaN sway_ratio=40.7"
119.050,ALIGN,"psi=88.85 (sway) pitch=0.69 roll=67.24 blocks=7 moved_at=NaN sway_ratio=27.9"
125.010,ALIGN,"psi=88.85 (sway) pitch=0.77 roll=67.22 blocks=8 moved_at=NaN sway_ratio=27.9"
129.050,ALIGN,"psi=88.44 (sway) pitch=0.77 roll=67.22 blocks=8 moved_at=NaN sway_ratio=25.6"
135.010,ALIGN,"psi=88.44 (sway) pitch=0.79 roll=67.25 blocks=9 moved_at=NaN sway_ratio=25.6"
