t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.5801281,21491680603018,28.5226650,77.5740013,155.2067871,3.7900925,0.0000000,,56,0.1593586,-0.1129898
2.6451282,21492745603122,28.5226649,77.5740009,155.2947388,3.7900925,0.0000000,,56,0.1202351,-0.1207822
3.6524427,21493752917653,28.5226652,77.5740004,155.3460693,3.7900925,0.0000000,,55,0.0693745,-0.0884994
4.6547743,21494755249267,28.5226656,77.5740000,155.4699707,3.7900925,0.0000000,,61,0.0380756,-0.0461978
5.6522139,21495752688798,28.5226662,77.5739996,155.5784302,3.7900925,0.0000000,,64,-0.0010480,0.0228206
6.6537452,21496754220152,28.5226663,77.5739993,155.7093506,3.7900925,0.0000000,,62,-0.0294125,0.0328394
7.6529680,21497753442964,28.5226663,77.5739992,155.7670288,3.7900925,0.0000000,,63,-0.0391934,0.0339526
8.6566275,21498757102495,28.5226663,77.5739992,155.7794800,3.7900925,0.0000000,,61,-0.0401715,0.0372922
9.6475787,21499748053692,28.5226663,77.5739992,155.7885742,3.7900925,0.0000000,,60,-0.0401715,0.0361790
10.6450674,21500745542338,28.5226664,77.5739992,155.7873535,3.7900925,0.0000000,,61,-0.0460400,0.0417450
11.6504744,21501750949317,28.5226664,77.5739992,155.7932129,3.7900925,0.0000000,,61,-0.0479962,0.0417450
12.6498863,21502750361295,28.5226664,77.5739992,155.7991333,3.7900925,0.0000000,,59,-0.0479962,0.0417450
13.6437089,21503744183847,28.5226664,77.5739992,155.8029175,3.7900925,0.0000000,,59,-0.0479962,0.0406318
14.6556831,21504756158066,28.5226663,77.5739992,155.8064575,3.7900925,0.0000000,,60,-0.0470181,0.0395186
15.6512693,21505751744263,28.5226663,77.5739992,155.8111572,3.7900925,0.0000000,,61,-0.0470181,0.0384054
16.6498523,21506750327284,28.5226640,77.5739985,155.7002563,3.7900925,0.2900000,89.3000000,59,-0.1125501,-0.2176306
17.6473861,21507747861032,28.5226587,77.5739947,155.7901001,3.7900925,0.7100000,89.3000000,62,-0.4793335,-0.8120794
18.6549537,21508755428689,28.5226462,77.5739846,155.6731567,3.7900925,2.0900000,213.2000000,63,-1.4681815,-2.2058058
19.6495644,21509750039314,28.5226272,77.5739745,155.4791870,3.7900925,2.6500000,200.1000000,63,-2.4609418,-4.3231122
20.6506960,21510751170928,28.5226017,77.5739638,155.4202271,3.7900925,3.3600000,200.6000000,64,-3.5045628,-7.1550930
21.6461692,21511746644156,28.5225728,77.5739482,155.1184082,3.7900925,3.8500000,204.7000000,64,-5.0362501,-10.3711278
22.6448318,21512745306759,28.5225413,77.5739298,155.1770630,3.7900925,4.1000000,206.1000000,64,-6.8281092,-13.8765946
23.6534953,21513753970197,28.5225084,77.5739076,155.1544189,3.7900925,4.3700000,211.0000000,64,-8.9994668,-17.5379094
24.6437292,21514744204155,28.5224764,77.5738792,155.2648315,3.7900925,4.6200000,218.0000000,65,-11.7762615,-21.1057154
25.6453651,21515745840093,28.5224453,77.5738447,155.4533691,3.7900925,4.9100000,223.9000000,65,-15.1506685,-24.5688806
26.6510047,21516751479623,28.5224179,77.5738056,155.4085693,3.7900925,4.9500000,231.4000000,67,-18.9789089,-27.6212750
27.6563744,21517756849310,28.5223991,77.5737591,155.4221191,3.7900925,5.0200000,241.6000000,66,-23.5280008,-29.7107514
28.6567219,21518757196862,28.5223809,77.5737142,155.3194580,3.7900925,4.7900000,247.3000000,66,-27.9225547,-31.7390018
29.6529942,21519753469101,28.5223636,77.5736664,155.2885742,3.7900925,5.0100000,249.4000000,66,-32.5929297,-33.6659510
30.6438426,21520744317538,28.5223443,77.5736213,155.2434692,3.7900925,4.8000000,243.7000000,64,-37.0090016,-35.8133138
31.6456034,21521746078372,28.5223270,77.5735743,155.3109741,3.7900925,4.8600000,246.9000000,66,-41.6040637,-37.7369234
32.6435050,21522743979934,28.5223135,77.5735248,155.5333862,3.7900925,4.9100000,253.3000000,65,-46.4387577,-39.2397434
33.6500564,21523750531340,28.5223024,77.5734770,155.5762939,3.7900925,4.8000000,256.7000000,66,-51.1150012,-40.4765086
34.6535612,21524754036183,28.5223001,77.5734289,155.6693115,3.7900925,4.6200000,270.1000000,65,-55.8225435,-40.7247522
35.6510934,21525751568318,28.5223021,77.5733813,155.7652588,3.7900925,4.5900000,278.0000000,66,-60.4772691,-40.5132442
36.6508180,21526751292953,28.5223127,77.5733364,155.7373657,3.7900925,4.6800000,289.1000000,68,-64.8659545,-39.3254598
37.6445417,21527745016650,28.5223355,77.5732991,155.5822754,3.7900925,4.4500000,307.6000000,68,-68.5181388,-36.7907034
38.6502975,21528750772483,28.5223597,77.5732661,155.5530396,3.7900925,4.0900000,304.5000000,68,-71.7419202,-34.0956462
39.6491560,21529749630972,28.5223669,77.5732242,155.6425171,3.7900925,4.6400000,271.7000000,68,-75.8430474,-33.2974818
