t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.1992515,19430307745419,28.5215841,77.5716139,155.0151367,3.7900925,0.0000000,,31,-0.1029799,-0.1084575
2.6422514,19431750745262,28.5215846,77.5716143,154.9478149,3.7900925,0.0000000,,31,-0.0599435,-0.0516843
3.6460695,19432754563387,28.5215850,77.5716144,154.9434204,3.7900925,0.0000000,,51,-0.0521187,-0.0071563
4.6535026,19433761996512,28.5215855,77.5716144,154.9764404,3.7900925,0.0000000,,51,-0.0511406,0.0462773
5.6441836,19434752677553,28.5215856,77.5716146,155.0349121,3.7900925,0.0000000,,57,-0.0374472,0.0618621
6.6543944,19435762888333,28.5215856,77.5716147,155.0944214,3.7900925,0.0000000,,57,-0.0208195,0.0529565
7.6430158,19436751509688,28.5215855,77.5716149,155.1520996,3.7900925,0.0000000,,57,-0.0002795,0.0485037
8.6515886,19437760082551,28.5215853,77.5716151,155.1675415,3.7900925,0.0000000,,56,0.0124358,0.0229001
9.6488032,19438757297134,28.5215851,77.5716152,155.1935425,3.7900925,0.0000000,,56,0.0251511,-0.0027035
10.6490891,19439757583019,28.5215849,77.5716153,155.2078857,3.7900925,0.0000000,,54,0.0378664,-0.0194015
11.6529967,19440761490571,28.5215849,77.5716154,155.2241211,3.7900925,0.0000000,,57,0.0476474,-0.0182883
12.6438736,19441752367498,28.5215850,77.5716155,155.2410889,3.7900925,0.0000000,,58,0.0574284,-0.0138355
13.6507572,19442759251144,28.5215850,77.5716156,155.2572021,3.7900925,0.0000000,,58,0.0672094,-0.0082695
14.6448763,19443753370258,28.5215851,77.5716157,155.2685547,3.7900925,0.0000000,,58,0.0769904,-0.0027035
15.6487346,19444757228486,28.5215851,77.5716158,155.2730713,3.7900925,0.0000000,,58,0.0818809,-0.0004771
16.6466503,19445755144215,28.5215884,77.5716180,155.3238525,3.7900925,0.4100000,207.0000000,57,0.2980407,0.3713317
17.6517763,19446760270204,28.5215994,77.5716243,155.2305298,3.7900925,1.7400000,30.1000000,61,0.9171774,1.5936253
18.6545561,19447763050048,28.5216155,77.5716370,155.0152588,3.7900925,2.4400000,38.5000000,62,2.1574070,3.3892169
19.6496078,19448758101662,28.5216334,77.5716557,154.9432983,3.7900925,2.8800000,43.4000000,61,3.9844960,5.3740525
20.6510578,19449759551714,28.5216525,77.5716781,154.8588257,3.7900925,3.2300000,45.7000000,62,6.1754378,7.5069437
21.6449224,19450753416296,28.5216736,77.5717023,154.8504639,3.7900925,3.4900000,44.8000000,63,8.5473280,9.8580221
22.6545614,19451763055307,28.5216970,77.5717267,154.8491211,3.7900925,3.6200000,42.1000000,63,10.9338896,12.4540045
23.6421999,19452750693795,28.5217208,77.5717520,154.6655273,3.7900925,3.7100000,42.4000000,61,13.4006554,15.1089865
24.6423364,19453750830306,28.5217447,77.5717773,154.6815186,3.7900925,3.7200000,42.1000000,60,15.8772021,17.7717609
25.6550597,19454763553587,28.5217698,77.5718038,154.5724487,3.7900925,3.8900000,42.3000000,60,18.4740550,20.5658929
26.6483924,19455756886295,28.5217947,77.5718308,154.5491943,3.7900925,3.8500000,41.9000000,59,21.1178567,23.3321949
27.6551879,19456763681763,28.5218207,77.5718570,154.4884033,3.7900925,3.9400000,38.8000000,57,23.6794981,26.2309677
28.6420156,19457750509470,28.5218493,77.5718800,154.3324585,3.7900925,3.9300000,33.4000000,58,25.9252135,29.4158329
29.6456887,19458754182596,28.5218799,77.5719014,154.1119385,3.7900925,3.9900000,30.9000000,58,28.0134549,32.8211117
30.6510526,19459759546502,28.5219115,77.5719220,153.8816528,3.7900925,4.0500000,29.2000000,56,30.0302951,36.3410501
31.6420287,19460750522595,28.5219446,77.5719409,153.9118652,3.7900925,4.1200000,26.1000000,54,31.8808585,40.0246289
32.6434540,19461751947907,28.5219794,77.5719568,153.8692627,3.7900925,4.1300000,20.9000000,54,33.4350578,43.8952253
33.6454451,19462753939001,28.5220148,77.5719694,154.0455933,3.7900925,4.0400000,18.0000000,54,34.6743093,47.8337269
34.6531549,19463761648792,28.5220499,77.5719827,153.9689941,3.7900925,4.1200000,19.3000000,55,35.9663781,51.7443985
35.6464885,19464754982437,28.5220844,77.5719981,153.9082642,3.7900925,4.0800000,22.4000000,54,37.4736287,55.5849385
36.6467489,19465755242802,28.5221183,77.5720158,153.6975098,3.7900925,4.0700000,25.1000000,53,39.2029078,59.3531205
37.6475974,19466756091342,28.5221514,77.5720357,153.5087280,3.7900925,4.1100000,28.3000000,52,41.1581278,63.0411521
38.6455230,19467754016863,28.5221835,77.5720585,153.2985229,3.7900925,4.1500000,32.7000000,51,43.3862374,66.6189769
39.6528573,19468761351238,28.5222140,77.5720835,153.2083130,3.7900925,4.1200000,36.4000000,50,45.8305068,70.0131237
40.6463581,19469754851967,28.5222423,77.5721118,153.0842285,3.7900925,4.1800000,42.5000000,50,48.5995052,73.1568005
41.6460602,19470754554102,28.5222670,77.5721437,153.0508423,3.7900925,4.1500000,48.9000000,51,51.7127944,75.9119705
42.6457093,19471754203216,28.5222881,77.5721777,153.1207275,3.7900925,4.0300000,54.3000000,52,55.0432216,78.2552565
43.6545600,19472763053944,28.5223078,77.5722125,153.1326294,3.7900925,4.0200000,55.2000000,51,58.4470062,80.4549397
44.6465139,19473755007798,28.5223280,77.5722469,153.0662842,3.7900925,4.0100000,54.3000000,51,61.8146012,82.7036037
45.6518196,19474760313527,28.5223481,77.5722817,153.1963501,3.7900925,4.0700000,55.9000000,52,65.2134953,84.9333433
46.6504195,19475758913370,28.5223660,77.5723164,153.3537598,3.7900925,3.8700000,60.1000000,53,68.6084771,86.9348769
47.6554232,19476763917120,28.5223813,77.5723526,153.2229004,3.7900925,3.8800000,64.2000000,54,72.1462613,88.6358465
48.6545664,19477763060297,28.5223953,77.5723882,153.2156372,3.7900925,3.7200000,65.8000000,53,75.6361186,90.1909869
