t_ns,mx,my,mz,accuracy
18827616193777,6.99375,-24.225,30.16875,3
18827626193777,8.493751,-23.025002,28.725,3
18827636193777,8.493751,-23.025002,28.725,3
18827646193777,8.19375,-22.6875,29.812502,3
18827656193777,7.1062503,-23.587502,30.13125,3
18827666193777,6.5062504,-24.16875,31.143751,3
18827676193777,7.5000005,-24.91875,30.281252,3
18827686193777,4.74375,-24.525002,30.750002,3
18827696193777,6.8812504,-24.112501,29.250002,3
18827706193777,7.74375,-24.375002,30.393751,3
18827716193777,7.6687503,-23.625,31.29375,3
18827726193777,6.9375005,-23.737501,29.531252,3
18827736193777,4.425,-25.575,30.656252,3
18827746193777,5.5687504,-24.0375,31.706251,3
18827756193777,6.6000004,-23.775002,30.0375,3
18827766193777,5.90625,-25.743752,31.725,3
18827776193777,5.5125003,-24.431252,31.425001,3
18827786193777,6.8812504,-24.112501,29.250002,3
18827796193777,8.25,-24.187502,30.16875,3
18827806193777,7.33125,-24.187502,29.343752,3
18827816193777,5.1000004,-24.093752,31.7625,3
18827826193777,7.74375,-24.375002,30.075,3
18827836193777,3.9375002,-27.525002,30.618752,3
18827846193777,5.0625,-24.487501,31.0125,3
18827856193777,6.5625005,-24.16875,29.60625,3
18827866193777,6.01875,-24.225,31.500002,3
18827876193777,6.675,-24.2625,30.206251,3
18827886193777,6.8437505,-23.362501,29.38125,3
18827896193777,5.6625004,-23.53125,31.368752,3
18827906193777,8.08125,-22.331251,30.281252,3
18827916193777,5.26875,-25.218752,30.54375,3
18827926193777,8.00625,-23.962502,29.118752,3
18827936193777,8.00625,-22.575,31.06875,3
18827946193777,7.0875,-24.975,28.181252,3
18827956193777,6.3750005,-25.06875,30.712502,3
18827966193777,5.49375,-23.681252,31.237501,3
18827976193777,5.86875,-24.375002,30.300001,3
18827986193777,8.625,-23.1375,28.406252,3
18827996193777,5.5687504,-25.425001,29.437502,3
18828006193777,7.8750005,-23.475,30.656252,3
18828016193777,6.4125004,-26.062502,29.212502,3
18828026193777,7.18125,-23.587502,27.975,3
18828036193777,6.1875005,-26.212502,30.468752,3
18828046193777,6.3375,-23.4375,30.525002,3
18828056193777,6.525,-25.1625,30.243752,3
18828066193777,5.8500004,-25.3875,30.487501,3
18828076193777,6.0937505,-24.843752,30.6,3
18828086193777,5.7937503,-24.900002,30.31875,3
18828096193777,7.70625,-23.625,30.525002,3
18828106193777,8.4375,-24.0375,29.531252,3
18828116193777,5.0062504,-24.993752,29.643751,3
18828126193777,6.0937505,-24.843752,30.6,3
18828136193777,5.025,-24.750002,30.4125,3
18828146193777,6.5625005,-24.7875,30.843752,3
18828156193777,3.8812501,-24.900002,31.63125,3
18828166193777,6.4125004,-24.675001,31.1625,3
18828176193777,4.5,-23.925001,31.518751,3
18828186193777,4.5750003,-24.675001,30.300001,3
18828196193777,5.71875,-24.281252,30.768751,3
18828206193777,5.175,-23.587502,31.743752,3
18828216193777,5.7562504,-23.8875,31.518751,3
18828226193777,3.7500002,-25.800001,31.2,3
18828236193777,5.49375,-24.675001,30.656252,3
18828246193777,5.9437504,-24.487501,32.287502,3
18828256193777,6.9375005,-24.487501,30.487501,3
18828266193777,6.4500003,-24.675001,30.393751,3
18828276193777,6.80625,-23.25,26.775002,3
18828286193777,7.5375004,-24.91875,29.19375,3
18828296193777,7.1062503,-23.587502,30.13125,3
