t_ns,hPa
18838243001902,982.938
18838283005600,982.94385
18838323003100,982.95044
18838363003569,982.948
18838403002267,982.9397
18838443002996,982.9409
18838483000861,982.9419
18838523002215,982.94336
18838563005496,982.9409
18838603003569,982.9458
18838643003517,982.9429
18838683000704,982.9414
18838723001642,982.9363
18838763003621,982.9331
18838803002684,982.9348
18838843001069,982.9353
18838883002684,982.93945
18838923002319,982.93823
18838963000444,982.94116
18839003004246,982.93945
18839043001329,982.9429
18839083000600,982.94824
18839123005809,982.9541
18839163003465,982.9536
18839203006434,982.9502
18839243003309,982.94995
18839283004298,982.95435
18839323002996,982.9487
18839363004090,982.949
18839403005079,982.9397
18839443000913,982.9463
18839483002996,982.94946
18839523003361,982.9531
18839563003569,982.9529
18839603003881,982.94995
18839643004142,982.947
18839683002475,982.9485
18839723001434,982.94165
18839763004506,982.9453
18839803002319,982.937
18839843006173,982.93823
18839883001486,982.9426
18839923003204,982.9463
18839963002527,982.94604
18840003002579,982.94946
18840043003986,982.95386
18840083000913,982.9524
18840123002215,982.9475
18840163004454,982.94507
18840203003673,982.94556
18840243004506,982.9463
18840283005027,982.9446
18840323000652,982.9407
18840363000809,982.9414
18840403001954,982.9363
18840443002319,982.9407
18840483005965,982.93994
18840523003048,982.93994
18840563001381,982.9365
18840603001434,982.9424
18840643002840,982.9507
18840683003881,982.9509
18840723001434,982.9531
18840763000861,982.9487
18840803006173,982.9519
18840843005236,982.94336
18840883006173,982.9375
18840923003934,982.938
18840963003517,982.9453
18841003003517,982.9414
18841043002475,982.938
18841083002006,982.9336
18841123006954,982.93384
18841163001069,982.9392
18841203000652,982.94727
18841243001017,982.94556
18841283002736,982.93286
18841323005079,982.9302
18841363002475,982.92993
18841403000809,982.92944
18841443002319,982.9309
18841483003829,982.938
18841523001746,982.93555
18841563003881,982.9397
18841603001173,982.93677
18841643001277,982.9363
18841683001746,982.93335
18841723002111,982.9387
18841763005548,982.93384
18841803000184,982.938
18841843003309,982.9453
18841883005496,982.9436
18841923002996,982.94507
18841963005861,982.95215
18842003001121,982.9531
18842043003673,982.9426
18842083003152,982.9424
18842123003048,982.94507
18842163004246,982.94556
18842203001850,982.9407
18842243001277,982.93774
18842283003413,982.9326
18842323003569,982.9392
18842363004923,982.93506
18842403006277,982.9346
18842443004402,982.93774
18842483001069,982.94336
18842523000809,982.9409
18842563002423,982.94165
18842603005756,982.9419
18842643002111,982.9431
18842683001746,982.9536
18842723002736,982.95435
18842763002736,982.9529
18842803003934,982.9514
18842843004142,982.9568
18842883002840,982.95386
