t_ns,wall_ms,type,text
18826503825545,1788548772678,SESSION_START,"20260905_003612_SNU_AJB_AB_run1"
18826503904504,1788548772678,CALIB_START,"stand still 15s"
18841503504550,1788548787677,CALIB_END,"n_fixes=14"
18841503753196,1788548787678,RIDE_START,""
18956756670443,1788548902930,STOP_CALIB_START,"stand still 15s"
18971757313459,1788548917931,STOP_CALIB_END,"n_fixes=15"
18971763490229,1788548917937,SESSION_END,""
