t_ns,gx,gy,gz,accuracy
18826725256277,-0.0010690134,0.00763581,0.00763581,3
18826727635548,-0.0010690134,-0.0021380268,0.012522728,3
18826730014767,1.527162E-4,-0.014355322,0.019853106,3
18826732394038,0.0013744457,-0.021685699,0.023518294,3
18826734773256,1.527162E-4,-0.031459536,0.027183482,3
18826737152527,-0.0010690134,-0.037568185,0.029626941,3
18826739531746,-0.002290743,-0.04367683,0.03329213,3
18826741911017,-0.002290743,-0.04367683,0.03329213,3
18826744290236,-0.0010690134,-0.041233372,0.03329213,3
18826746669506,-0.002290743,-0.037568185,0.032070402,3
18826749048725,1.527162E-4,-0.032681264,0.028405212,3
18826751427996,1.527162E-4,-0.02535089,0.024740024,3
18826753807267,1.527162E-4,-0.014355322,0.019853106,3
18826756186486,1.527162E-4,-0.0070249448,0.013744458,3
18826758565756,1.527162E-4,0.0027488915,0.011300999,3
18826760944975,1.527162E-4,0.012522728,0.00763581,3
18826763324246,0.0013744457,0.018631376,0.0051923506,3
18826765703465,0.0025961753,0.024740024,0.0027488915,3
18826768082736,0.0025961753,0.027183482,0.0015271619,3
18826770461954,0.0025961753,0.027183482,0.0027488915,3
18826772841225,1.527162E-4,0.025961753,0.0027488915,3
18826775220444,1.527162E-4,0.019853106,0.003970621,3
18826777599715,1.527162E-4,0.016187917,0.010079269,3
18826779978934,-0.0010690134,0.008857539,0.012522728,3
18826782358204,1.527162E-4,0.0015271619,0.014966187,3
18826784737475,1.527162E-4,-0.004581486,0.021074835,3
18826787116694,1.527162E-4,-0.014355322,0.025961753,3
18826789495965,-0.0010690134,-0.021685699,0.03084867,3
18826791875184,-0.002290743,-0.030237807,0.03573559,3
18826794254454,-0.002290743,-0.036346454,0.03695732,3
18826796633673,-0.004734202,-0.041233372,0.040622506,3
18826799012944,-0.002290743,-0.04367683,0.041844238,3
18826801392163,-0.0035124724,-0.04612029,0.043065965,3
18826803771434,-0.0035124724,-0.044898562,0.044287696,3
18826806150652,-0.002290743,-0.044898562,0.044287696,3
18826808529923,-0.0035124724,-0.041233372,0.041844238,3
18826810909142,-0.002290743,-0.037568185,0.03940078,3
18826813288413,-0.002290743,-0.032681264,0.038179047,3
18826815667631,-0.0035124724,-0.026572619,0.03451386,3
18826818046902,-0.0035124724,-0.021685699,0.03329213,3
18826820426173,-0.002290743,-0.01802051,0.029626941,3
18826822805392,-0.002290743,-0.013133593,0.028405212,3
18826825184611,-0.002290743,-0.008246674,0.025961753,3
18826827563881,-0.002290743,-0.004581486,0.025961753,3
18826829943152,-0.0035124724,-0.0033597562,0.023518294,3
18826832322371,-0.0035124724,-9.162972E-4,0.023518294,3
18826834701642,-0.0035124724,-9.162972E-4,0.022296565,3
18826837080861,-0.0035124724,-9.162972E-4,0.023518294,3
18826839460131,-0.004734202,-0.0021380268,0.023518294,3
18826841839350,-0.0035124724,-0.0021380268,0.024740024,3
18826844218621,-0.0035124724,-0.004581486,0.024740024,3
18826846597840,-0.0035124724,-0.0070249448,0.027183482,3
18826848977111,-0.0035124724,-0.009468404,0.028405212,3
18826851356381,-0.0035124724,-0.011911863,0.028405212,3
18826853735600,-0.004734202,-0.015577052,0.028405212,3
18826856114871,-0.0035124724,-0.01802051,0.03084867,3
18826858494090,-0.0035124724,-0.02046397,0.03329213,3
18826860873361,-0.004734202,-0.022907428,0.03329213,3
18826863252579,-0.0059559317,-0.024129158,0.03451386,3
18826865631850,-0.0059559317,-0.024129158,0.03451386,3
18826868011069,-0.004734202,-0.02535089,0.03573559,3
18826870390340,-0.0059559317,-0.024129158,0.03573559,3
18826872769559,-0.004734202,-0.022907428,0.03695732,3
18826875148829,-0.0059559317,-0.022907428,0.03695732,3
18826877528048,-0.0059559317,-0.02046397,0.03451386,3
18826879907319,-0.007177661,-0.01924224,0.03573559,3
18826882286538,-0.007177661,-0.016798781,0.03695732,3
18826884665809,-0.0059559317,-0.015577052,0.03573559,3
18826887045027,-0.0059559317,-0.013133593,0.03573559,3
18826889424298,-0.004734202,-0.013133593,0.03573559,3
18826891803569,-0.004734202,-0.011911863,0.03573559,3
18826894182788,-0.007177661,-0.013133593,0.03573559,3
18826896562059,-0.004734202,-0.013133593,0.03695732,3
18826898941277,-0.004734202,-0.014355322,0.038179047,3
18826901320548,-0.0059559317,-0.015577052,0.038179047,3
18826903699767,-0.0059559317,-0.01802051,0.03940078,3
18826906079038,-0.004734202,-0.02046397,0.043065965,3
18826908458256,-0.004734202,-0.022907428,0.043065965,3
18826910837527,-0.004734202,-0.02535089,0.044287696,3
18826913216746,-0.007177661,-0.029016078,0.045509428,3
18826915596017,-0.007177661,-0.030237807,0.044287696,3
18826917975236,-0.007177661,-0.030237807,0.046731155,3
18826920354506,-0.004734202,-0.030237807,0.046731155,3
18826922733725,-0.004734202,-0.030237807,0.044287696,3
18826925112996,-0.004734202,-0.031459536,0.043065965,3
18826927492215,-0.002290743,-0.030237807,0.041844238,3
18826929871486,-0.0035124724,-0.026572619,0.03940078,3
18826932250704,-0.0035124724,-0.02535089,0.03695732,3
18826934629975,-0.0035124724,-0.024129158,0.03695732,3
18826937009246,-0.004734202,-0.02046397,0.03329213,3
18826939388465,-0.0035124724,-0.01802051,0.03084867,3
18826941767736,-0.002290743,-0.015577052,0.03084867,3
18826944146954,-0.0035124724,-0.015577052,0.03084867,3
18826946526225,-0.0035124724,-0.013133593,0.029626941,3
18826948905444,-0.002290743,-0.013133593,0.029626941,3
18826951284715,-0.002290743,-0.010690134,0.027183482,3
18826953663934,-0.002290743,-0.009468404,0.027183482,3
18826956043204,-0.002290743,-0.008246674,0.025961753,3
18826958422423,-0.0035124724,-0.0070249448,0.025961753,3
18826960801694,-0.0010690134,-0.004581486,0.025961753,3
18826963180913,-0.002290743,-0.004581486,0.024740024,3
18826965560184,-0.0010690134,-0.004581486,0.027183482,3
18826967939402,-0.0010690134,-0.004581486,0.029626941,3
18826970318673,-0.002290743,-0.008246674,0.03084867,3
18826972697892,-0.0035124724,-0.008246674,0.03329213,3
18826975077163,-0.002290743,-0.009468404,0.03451386,3
18826977456434,-0.0035124724,-0.011911863,0.03573559,3
18826979835652,-0.002290743,-0.011911863,0.03695732,3
18826982214923,-0.0035124724,-0.014355322,0.03940078,3
18826984594142,-0.004734202,-0.015577052,0.03940078,3
18826986973413,-0.004734202,-0.016798781,0.040622506,3
18826989352631,-0.007177661,-0.015577052,0.040622506,3
18826991731902,-0.0059559317,-0.014355322,0.041844238,3
18826994111121,-0.007177661,-0.014355322,0.041844238,3
18826996490392,-0.007177661,-0.015577052,0.041844238,3
18826998869611,-0.004734202,-0.014355322,0.043065965,3
18827001248881,-0.007177661,-0.016798781,0.041844238,3
18827003628100,-0.007177661,-0.01924224,0.041844238,3
18827006007371,-0.007177661,-0.01924224,0.041844238,3
18827008386590,-0.007177661,-0.02046397,0.040622506,3
18827010765861,-0.0059559317,-0.02046397,0.03940078,3
18827013145079,-0.0059559317,-0.022907428,0.03940078,3
18827015524350,-0.0059559317,-0.022907428,0.040622506,3
18827017903569,-0.0059559317,-0.02535089,0.03940078,3
18827020282840,-0.0059559317,-0.02535089,0.038179047,3
18827022662111,-0.004734202,-0.02535089,0.038179047,3
18827025041329,-0.004734202,-0.02535089,0.03695732,3
18827027420600,-0.004734202,-0.02535089,0.03695732,3
18827029799819,-0.004734202,-0.02535089,0.03695732,3
18827032179090,-0.0059559317,-0.024129158,0.03451386,3
18827034558309,-0.004734202,-0.021685699,0.03451386,3
18827036937579,-0.004734202,-0.01802051,0.03329213,3
18827039316798,-0.004734202,-0.015577052,0.032070402,3
18827041696069,-0.004734202,-0.010690134,0.03084867,3
18827044075288,-0.004734202,-0.008246674,0.028405212,3
18827046454559,-0.0059559317,-0.004581486,0.025961753,3
18827048833777,-0.004734202,3.054324E-4,0.024740024,3
18827051213048,-0.0035124724,0.0027488915,0.023518294,3
18827053592267,-0.002290743,0.00641408,0.021074835,3
18827055971538,-0.002290743,0.010079269,0.021074835,3
18827058350756,-0.0035124724,0.010079269,0.021074835,3
18827060730027,-0.002290743,0.010079269,0.022296565,3
18827063109246,-0.0010690134,0.00763581,0.022296565,3
18827065488517,-0.002290743,0.0051923506,0.024740024,3
18827067867788,-0.002290743,3.054324E-4,0.028405212,3
18827070247006,-0.0035124724,-0.0058032153,0.032070402,3
18827072626277,-0.002290743,-0.011911863,0.03695732,3
18827075005496,-0.0010690134,-0.02046397,0.03940078,3
18827077384767,-0.002290743,-0.026572619,0.043065965,3
18827079763986,-0.002290743,-0.031459536,0.049174614,3
18827082143256,-0.0035124724,-0.035124727,0.051618073,3
18827084522475,-0.0035124724,-0.037568185,0.050396346,3
18827086901746,-0.0035124724,-0.038789913,0.052839804,3
18827089280965,-0.004734202,-0.037568185,0.050396346,3
18827091660236,-0.0035124724,-0.035124727,0.050396346,3
18827094039454,-0.0035124724,-0.030237807,0.047952887,3
18827096418725,-0.0035124724,-0.027794348,0.047952887,3
18827098797944,-0.0035124724,-0.022907428,0.045509428,3
18827101177215,-0.002290743,-0.01802051,0.041844238,3
18827103556434,-0.002290743,-0.011911863,0.038179047,3
18827105935704,-0.002290743,-0.008246674,0.03695732,3
18827108314923,-0.002290743,-0.004581486,0.03329213,3
18827110694194,-0.0035124724,-9.162972E-4,0.032070402,3
18827113073465,-0.0035124724,3.054324E-4,0.028405212,3
18827115452684,-0.002290743,3.054324E-4,0.027183482,3
18827117831954,-0.0035124724,-9.162972E-4,0.028405212,3
18827120211173,-0.004734202,-0.004581486,0.027183482,3
18827122590444,-0.004734202,-0.0070249448,0.028405212,3
18827124969663,-0.007177661,-0.009468404,0.028405212,3
18827127348934,-0.007177661,-0.011911863,0.029626941,3
18827129728152,-0.0059559317,-0.014355322,0.028405212,3
18827132107423,-0.0059559317,-0.015577052,0.029626941,3
18827134486642,-0.004734202,-0.016798781,0.029626941,3
18827136865913,-0.0059559317,-0.016798781,0.03084867,3
18827139245131,-0.0059559317,-0.014355322,0.028405212,3
18827141624402,-0.0059559317,-0.013133593,0.025961753,3
18827144003621,-0.004734202,-0.008246674,0.024740024,3
18827146382892,-0.0059559317,-0.004581486,0.022296565,3
18827148762111,-0.007177661,-0.0033597562,0.024740024,3
18827151141381,-0.0035124724,0.0027488915,0.023518294,3
18827153520600,1.527162E-4,-9.162972E-4,0.023518294,3
18827155899871,0.0050396346,-9.162972E-4,0.025961753,3
18827158279090,0.0025961753,-0.0021380268,0.027183482,3
18827160658361,-0.004734202,0.0015271619,0.025961753,3
18827163037579,-0.0059559317,3.054324E-4,0.022296565,3
18827165416850,-0.0035124724,0.0015271619,0.019853106,3
18827167796069,1.527162E-4,0.003970621,0.023518294,3
18827170175340,0.0050396346,0.0051923506,0.023518294,3
18827172554611,0.006261364,-0.0021380268,0.025961753,3
18827174933829,0.0025961753,-0.008246674,0.025961753,3
18827177313048,-0.004734202,-0.014355322,0.029626941,3
18827179692319,-0.008399391,-0.02046397,0.03451386,3
18827182071590,-0.0035124724,-0.026572619,0.038179047,3
18827184450809,1.527162E-4,-0.030237807,0.040622506,3
18827186830079,1.527162E-4,-0.031459536,0.043065965,3
18827189209298,1.527162E-4,-0.031459536,0.041844238,3
18827191588569,-0.0035124724,-0.031459536,0.03940078,3
18827193967788,-0.004734202,-0.030237807,0.03695732,3
18827196347059,-0.004734202,-0.024129158,0.03573559,3
18827198726277,-0.0035124724,-0.021685699,0.03084867,3
18827201105548,1.527162E-4,-0.01802051,0.029626941,3
18827203484767,-0.0010690134,-0.015577052,0.028405212,3
18827205864038,1.527162E-4,-0.015577052,0.028405212,3
18827208243256,1.527162E-4,-0.015577052,0.028405212,3
18827210622527,1.527162E-4,-0.016798781,0.029626941,3
18827213001694,-0.002290743,-0.01924224,0.032070402,3
18827215381017,-0.002290743,-0.01924224,0.032070402,3
18827217760236,-0.002290743,-0.021685699,0.03084867,3
18827220139506,-0.002290743,-0.02046397,0.03329213,3
18827222518725,-0.0010690134,-0.02046397,0.03451386,3
18827224897996,-0.002290743,-0.021685699,0.03329213,3
18827227277215,-0.002290743,-0.02046397,0.032070402,3
18827229656486,-0.0035124724,-0.02046397,0.03329213,3
18827232035756,-0.0035124724,-0.02046397,0.03329213,3
18827234414975,-0.0035124724,-0.021685699,0.03573559,3
18827236794246,-0.0035124724,-0.021685699,0.03573559,3
18827239173465,-0.0010690134,-0.024129158,0.038179047,3
18827241552736,0.0013744457,-0.02535089,0.041844238,3
18827243931954,0.003817905,-0.027794348,0.046731155,3
18827246311225,0.0050396346,-0.015577052,0.049174614,3
18827248690444,-0.008399391,-0.0070249448,0.052839804,3
18827251069715,-0.030390523,-0.0070249448,0.047952887,3
18827253448934,-0.03649917,-0.02535089,0.043065965,3
18827255828204,-0.026725333,-0.02535089,0.047952887,3
18827258207423,-0.016951498,-0.009468404,0.054061532,3
18827260586694,-0.00962112,0.003970621,0.055283263,3
18827262965913,-0.0035124724,-0.011911863,0.051618073,3
18827265345184,-0.0059559317,-0.030237807,0.049174614,3
18827267724402,-0.012064579,-0.035124727,0.055283263,3
18827270103673,-0.013286309,-0.037568185,0.057726722,3
18827272482892,0.0013744457,-0.053450666,0.06017018,3
18827274862163,0.013591741,-0.066889696,0.06994402,3
18827277241381,0.014813471,-0.08155045,0.082161315,3
18827279620652,0.0074830935,-0.10231985,0.08949169,3
18827281999871,1.527162E-4,-0.12064579,0.09071342,3
18827284379142,-0.00962112,-0.1291979,0.08949169,3
18827286758361,-0.014508039,-0.12675445,0.09071342,3
18827289137631,-0.013286309,-0.12186752,0.088269964,3
18827291516850,-0.004734202,-0.10720677,0.07971785,3
18827293896121,0.0013744457,-0.08277218,0.06627883,3
18827296275340,0.003817905,-0.054672398,0.052839804,3
18827298654611,-0.0010690134,-0.030237807,0.03940078,3
18827301033881,-0.008399391,-0.0033597562,0.024740024,3
18827303413100,-0.012064579,0.022296565,0.011300999,3
18827305792319,-0.00962112,0.043065965,-0.0021380268,3
18827308171590,-0.004734202,0.057726722,-0.0058032153,3
18827310550861,0.0025961753,0.074830934,-0.0058032153,3
18827312930079,0.0050396346,0.0858265,-0.004581486,3
18827315309350,0.0025961753,0.088269964,-0.0070249448,3
18827317688569,-0.0010690134,0.07849612,-0.0070249448,3
18827320067840,-0.008399391,0.068722285,-0.0033597562,3
18827322447059,-0.012064579,0.057726722,0.00641408,3
18827324826329,-0.0108428495,0.040622506,0.014966187,3
18827327205548,-0.0059559317,0.017409647,0.023518294,3
18827329584819,-0.0010690134,-0.008246674,0.038179047,3
18827331964038,1.527162E-4,-0.033902995,0.054061532,3
18827334343309,-0.007177661,-0.062002774,0.068722285,3
18827336722527,-0.012064579,-0.091324285,0.08093958,3
18827339101798,-0.015729768,-0.11453715,0.09071342,3
18827341481017,-0.018173227,-0.13164136,0.101708986,3
18827343860288,-0.015729768,-0.13897173,0.11148282,3
18827346239506,-0.0108428495,-0.13897173,0.11270455,3
18827348618777,-0.0059559317,-0.13164136,0.107817635,3
18827350997996,-0.0059559317,-0.11942407,0.10293072,3
18827353377267,-0.00962112,-0.097432934,0.094378605,3
18827355756486,-0.012064579,-0.07177661,0.08093958,3
18827358135756,-0.00962112,-0.041233372,0.062613636,3
18827360514975,-0.004734202,-0.009468404,0.045509428,3
18827362894246,0.0025961753,0.019853106,0.03451386,3
18827365273465,0.006261364,0.047952887,0.022296565,3
18827367652736,0.0074830935,0.06994402,0.00763581,3
18827370031954,0.003817905,0.082161315,-9.162972E-4,3
18827372411225,1.527162E-4,0.0858265,-0.0021380268,3
18827374790444,-0.002290743,0.08460477,0.0015271619,3
18827377169715,1.527162E-4,0.076052666,0.010079269,3
18827379548934,1.527162E-4,0.06017018,0.018631376,3
18827381928204,1.527162E-4,0.03573559,0.03084867,3
18827384307423,-0.002290743,0.00641408,0.046731155,3
18827386686694,-0.0059559317,-0.021685699,0.06627883,3
18827389065913,-0.008399391,-0.04856375,0.07971785,3
18827391445184,-0.012064579,-0.0754418,0.09193515,3
18827393824402,-0.012064579,-0.098654665,0.10415245,3
18827396203673,-0.012064579,-0.11209369,0.11270455,3
18827398582892,-0.014508039,-0.11942407,0.11759147,3
18827400962163,-0.013286309,-0.123089254,0.11636974,3
18827403341434,-0.013286309,-0.12186752,0.11270455,3
18827405720652,-0.0108428495,-0.11209369,0.11026109,3
18827408099871,-0.012064579,-0.098654665,0.10537417,3
18827410479142,-0.012064579,-0.08032872,0.09560034,3
18827412858413,-0.012064579,-0.065667965,0.083383046,3
18827415237631,-0.00962112,-0.044898562,0.07238748,3
18827417616902,-0.007177661,-0.022907428,0.062613636,3
18827419996121,-0.004734202,-0.0021380268,0.052839804,3
18827422375340,-0.0010690134,0.016187917,0.041844238,3
18827424754611,1.527162E-4,0.032070402,0.03084867,3
18827427133881,0.0013744457,0.050396346,0.024740024,3
18827429513100,0.0074830935,0.07971785,0.021074835,3
18827431892371,-0.0059559317,0.025961753,0.011300999,3
18827434271590,-0.0010690134,0.016187917,0.00763581,3
18827436650861,0.008704823,0.05894845,0.03329213,3
18827439030079,-0.019394957,0.043065965,0.029626941,3
18827441409350,-0.023060145,-0.031459536,0.011300999,3
18827443788569,0.0074830935,-0.04612029,0.03329213,3
18827446167840,-0.013286309,-0.04856375,0.07116575,3
18827448547059,-0.020616686,-0.027794348,0.07238748,3
18827450926329,0.009926553,-0.0962112,0.06994402,3
18827453305548,0.027030766,-0.12675445,0.07971785,3
18827455684819,-0.0035124724,-0.123089254,0.107817635,3
18827458064038,-0.04016436,-0.116980605,0.10537417,3
18827460443309,-0.04382955,-0.15974113,0.07971785,3
18827462822527,-0.025503604,-0.13775001,0.057726722,3
18827465201798,-0.0059559317,-0.08888082,0.06627883,3
18827467581017,0.01847866,-0.057115857,0.0650571,3
18827469960288,0.033139415,-0.05222894,0.045509428,3
18827472339506,0.01725693,-0.013133593,0.012522728,3
18827474718777,-0.013286309,0.013744458,-0.0058032153,3
18827477097996,-0.024281874,0.022296565,-0.013133593,3
18827479477267,-0.012064579,0.03451386,-0.014355322,3
18827481856486,0.011148282,0.076052666,-0.024129158,3
18827484235756,0.028252495,0.0772744,-0.031459536,3
18827486614975,0.04046979,0.07971785,-0.032681264,3
18827488994246,0.027030766,0.08949169,-0.031459536,3
18827491373465,0.0013744457,0.1065959,-0.041233372,3
18827493752736,-0.0108428495,0.09315688,-0.051007207,3
18827496131954,-0.004734202,0.08093958,-0.054672398,3
18827498511225,0.0025961753,0.07971785,-0.044898562,3
18827500890444,0.013591741,0.0736092,-0.029016078,3
18827503269715,0.023365578,0.045509428,-0.02046397,3
18827505648934,0.025809037,0.003970621,-0.009468404,3
18827508028204,0.009926553,-0.032681264,0.008857539,3
18827510407423,-0.00962112,-0.07177661,0.03573559,3
18827512786642,-0.015729768,-0.11209369,0.055283263,3
18827515165913,-0.00962112,-0.14508039,0.068722285,3
18827517545184,-0.0010690134,-0.16829325,0.08093958,3
18827519924402,0.009926553,-0.17562363,0.094378605,3
18827522303673,0.009926553,-0.18539746,0.10293072,3
18827524682892,0.0025961753,-0.18539746,0.09682207,3
18827527062163,-0.0108428495,-0.17806709,0.083383046,3
18827529441381,-0.014508039,-0.16707152,0.074830934,3
18827531820652,-0.015729768,-0.14752385,0.06994402,3
18827534199871,-0.007177661,-0.10354158,0.057726722,3
18827536579142,0.0050396346,-0.060781047,0.03695732,3
18827538958361,0.016035201,-0.022907428,0.014966187,3
18827541337631,0.01725693,0.021074835,-9.162972E-4,3
18827543716850,0.008704823,0.0736092,-0.02046397,3
18827546096121,1.527162E-4,0.11759147,-0.04856375,3
18827548475340,-0.002290743,0.14813471,-0.0754418,3
18827550854611,0.0025961753,0.18600832,-0.09010255,3
18827553233829,0.009926553,0.21899502,-0.092546016,3
18827555613100,0.01725693,0.23365578,-0.0962112,3
18827557992319,0.024587307,0.22876886,-0.097432934,3
18827560371590,0.024587307,0.21777329,-0.0876591,3
18827562750809,0.012370012,0.20433427,-0.06933315,3
18827565130079,-0.002290743,0.16890411,-0.04734202,3
18827567509298,-0.008399391,0.1188132,-0.030237807,3
18827569888517,0.0025961753,0.0736092,-0.009468404,3
18827572267788,0.0074830935,0.03940078,0.019853106,3
18827574647059,0.003817905,0.0027488915,0.046731155,3
18827577026277,0.0050396346,-0.04612029,0.0650571,3
18827579405548,0.0025961753,-0.08643737,0.07971785,3
18827581784767,-0.0108428495,-0.11453715,0.09682207,3
18827584164038,-0.020616686,-0.13652828,0.11026109,3
18827586543256,-0.018173227,-0.16462806,0.11759147,3
18827588922475,-0.012064579,-0.18051054,0.12247839,3
18827591301694,-0.0108428495,-0.18051054,0.12614357,3
18827593681017,-0.00962112,-0.17928882,0.1273653,3
18827596060236,-0.00962112,-0.17806709,0.12370012,3
18827598439506,-0.015729768,-0.16096286,0.11270455,3
18827600818777,-0.024281874,-0.13530655,0.0980438,3
18827603197996,-0.025503604,-0.11331542,0.082161315,3
18827605577215,-0.023060145,-0.083993904,0.06383537,3
18827607956486,-0.019394957,-0.044898562,0.046731155,3
18827610335704,-0.019394957,-0.009468404,0.027183482,3
18827612714975,-0.016951498,0.017409647,0.00763581,3
18827615094194,-0.018173227,0.046731155,-0.009468404,3
18827617473465,-0.024281874,0.074830934,-0.021685699,3
18827619852736,-0.025503604,0.0980438,-0.033902995,3
18827622231954,-0.019394957,0.11514801,-0.041233372,3
18827624611225,-0.013286309,0.13469568,-0.04612029,3
18827626990444,-0.0108428495,0.15057817,-0.04734202,3
