t_ns,wall_ms,sentence
20662258968907,1788550608433,"$GPGSV,1,1,04,06,64,030,39,13,00,000,45,22,36,122,41,24,35,253,43,1*6C  "
20662259080835,1788550608433,"$GPGSV,1,1,04,11,74,236,33,14,15,131,27,21,24,163,36,24,35,253,36,8*6F  "
20662259208960,1788550608433,"$GLGSV,1,1,04,10,00,000,37,20,63,299,44,19,34,024,40,21,30,247,39,1*7A  "
20662259328491,1788550608433,"$GAGSV,2,1,06,02,60,096,30,15,33,213,35,18,62,017,43,30,54,332,45,7*71  "
20662259453543,1788550608433,"$GAGSV,2,2,06,34,86,155,36,36,37,039,32,7*72  "
20662259785574,1788550608433,"$GAGSV,1,1,04,15,33,213,27,18,62,017,25,30,54,332,28,36,37,039,25,1*7A  "
20662260027553,1788550608433,"$GQGSV,1,1,02,02,23,100,27,03,32,061,30,8*6F  "
20662260169168,1788550608433,"$GBGSV,2,1,06,23,71,208,30,25,29,159,33,28,53,277,33,37,40,310,34,5*73  "
20662260350157,1788550608433,"$GBGSV,2,2,06,38,53,026,25,42,08,091,24,5*7A  "
20662269322397,1788550608442,"$GNGSA,A,3,06,11,12,14,17,19,21,22,24,,,,0.7,0.4,0.5,1*3C  "
20662269610626,1788550608442,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.7,0.4,0.5,1,8*45  "
20662269624532,1788550608442,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.7,0.4,0.5,2*3A  "
20662269640626,1788550608442,"$GNGSA,A,3,02,15,18,25,30,34,36,,,,,,0.7,0.4,0.5,3*3C  "
20662270593387,1788550608442,"$PSSGR,GSA,A,3,302,315,318,330,334,336,,,,,,,0.7,0.4,0.5,3,1*46  "
20662270882605,1788550608442,"$GNGSA,A,3,06,08,09,10,13,23,25,27,28,37,38,42,0.7,0.4,0.5,4*36  "
20662271512293,1788550608442,"$PSSGR,GSA,A,3,223,225,227,228,237,238,242,,,,,,0.7,0.4,0.5,4,5*79  "
20662271534480,1788550608442,"$GNGSA,A,3,02,03,,,,,,,,,,,0.7,0.4,0.5,5*32  "
20662271902605,1788550608442,"$PSSGR,GSA,A,3,194,195,,,,,,,,,,,0.7,0.4,0.5,5,8*46  "
20662272209949,1788550608442,"$GNVTG,,T,,M,0.0,N,0.0,K,A*3D  "
20662272572449,1788550608442,"$GNDTM,W84,,0000.000000,N,00000.000000,E,0.000,W84*41  "
20662272866720,1788550608442,"$GNRMC,193647.97,A,2831.360523,N,07734.439994,E,0.0,,040926,1.3,E,A,V*70  "
20662273058126,1788550608442,"$GNGNS,193647.97,2831.360523,N,07734.439994,E,AAAAAN,33,0.4,208.8,-54.0,,,V*03  "
20662273291824,1788550608442,"$GNGGA,193647.97,2831.360523,N,07734.439994,E,1,12,0.4,208.8,M,-54.0,M,,*5F  "
20662273610678,1788550608447,"$PSMSG,magcal=FAIL,bluesky=0*00 "
20662765706303,1788550608939,"$GNGSA,A,3,06,11,12,14,17,19,21,22,24,,,,0.6,0.4,0.5,1*3D  "
20662765723282,1788550608939,"$PSSGR,GSA,A,3,06,11,14,21,24,,,,,,,,0.6,0.4,0.5,1,8*44  "
20662766186668,1788550608939,"$GNGSA,A,3,80,83,85,,,,,,,,,,0.6,0.4,0.5,2*3B  "
20662767357449,1788550608939,"$GNGSA,A,3,02,15,18,25,30,34,36,,,,,,0.6,0.4,0.5,3*3D  "
20662768533491,1788550608939,"$PSSGR,GSA,A,3,302,315,318,330,334,336,,,,,,,0.6,0.4,0.5,3,1*47  "
20662769190886,1788550608939,"$GNGSA,A,3,01,06,08,09,10,13,23,25,27,28,37,38,0.6,0.4,0.5,4*30  "
20662769205053,1788550608939,"$PSSGR,GSA,A,3,223,225,227,228,237,238,242,,,,,,0.6,0.4,0.5,4,5*78  "
20662769389376,1788550608939,"$GNGSA,A,3,02,03,,,,,,,,,,,0.6,0.4,0.5,5*33  "
20662769622189,1788550608939,"$PSSGR,GSA,A,3,194,195,,,,,,,,,,,0.6,0.4,0.5,5,8*47  "
