t_ns,mx,my,mz,bx,by,bz
19429063852091,-7.6312504,38.4,-4.8187504,3.12,37.92,25.26
19429073852091,-8.55,37.893753,-3.16875,3.12,37.92,25.26
19429083852091,-7.9500003,37.59375,-3.8437502,3.12,37.92,25.26
19429093852091,-8.793751,37.237503,-4.03125,3.12,37.92,25.26
19429103852091,-7.1062503,37.21875,-3.0,3.12,37.92,25.26
19429113852091,-6.4875,38.550003,-5.5687504,3.12,37.92,25.26
19429123852091,-7.89375,38.86875,-4.03125,3.12,37.92,25.26
19429133852091,-7.6312504,37.65,-4.18125,3.12,37.92,25.26
19429143852091,-8.887501,37.59375,-3.8812501,3.12,37.92,25.26
19429153852091,-7.5937505,37.893753,-3.9,3.12,37.92,25.26
19429163852091,-9.1125,36.45,-3.05625,3.12,37.92,25.26
19429173852091,-7.0875,38.34375,-2.8875,3.12,37.92,25.26
19429183852091,-11.475,36.24375,-3.075,3.12,37.92,25.26
19429193852091,-7.3125005,36.05625,-2.9437501,3.12,37.92,25.26
19429203852091,-7.6125,38.90625,-3.0,3.12,37.92,25.26
19429213852091,-8.1,37.96875,-2.1375,3.12,37.92,25.26
19429223852091,-7.6125,37.143753,-2.6437502,3.12,37.92,25.26
19429233852091,-8.625,38.4,-3.0187502,3.12,37.92,25.26
19429243852091,-7.3500004,38.4375,-3.7875001,3.12,37.92,25.26
19429253852091,-8.1,35.943752,-3.16875,3.12,37.92,25.26
19429263852091,-7.89375,37.85625,-4.1625004,3.12,37.92,25.26
19429273852091,-6.58125,38.550003,-3.1125002,3.12,37.92,25.26
19429283852091,-7.7625003,38.006252,-2.9437501,3.12,37.92,25.26
19429293852091,-7.5937505,38.643753,-4.8375,3.12,37.92,25.26
19429303852091,-8.56875,35.756252,-4.0125003,3.12,37.92,25.26
19429313852091,-7.2375,37.443752,-2.8500001,3.12,37.92,25.26
19429323852091,-5.83125,37.65,-2.25,3.12,37.92,25.26
19429333852091,-9.262501,37.55625,-1.9875001,3.12,37.92,25.26
19429343852091,-8.19375,36.45,-2.4,3.12,37.92,25.26
19429353852091,-7.89375,37.10625,-3.2250001,3.12,37.92,25.26
19429363852091,-7.2187505,37.706253,-2.0812502,3.12,37.92,25.26
19429373852091,-6.1875005,38.850002,-4.2375,3.12,37.92,25.26
19429383852091,-8.962501,37.350002,-2.79375,3.12,37.92,25.26
