t_ns,mx,my,mz,accuracy
19711103333509,-7.7812505,-17.15625,-43.537502,3
19711113333509,-7.6312504,-17.00625,-42.6375,3
19711123333509,-7.2937503,-17.456251,-41.4375,3
19711133333509,-4.8562503,-16.25625,-42.825,3
19711143333509,-6.3562503,-15.95625,-43.275,3
19711153333509,-7.3500004,-14.83125,-45.037502,3
19711163333509,-5.53125,-14.962501,-44.475002,3
19711173333509,-7.6875005,-17.268751,-42.300003,3
19711183333509,-7.33125,-17.71875,-41.11875,3
19711193333509,-6.4687505,-17.34375,-42.300003,3
19711203333509,-7.0875,-15.806251,-43.800003,3
19711213333509,-7.2000003,-15.69375,-44.4,3
19711223333509,-7.74375,-16.893751,-43.537502,3
19711233333509,-4.96875,-16.0125,-42.975002,3
19711243333509,-5.64375,-15.8625,-45.506252,3
19711253333509,-7.51875,-16.743752,-44.79375,3
19711263333509,-6.8812504,-15.900001,-45.825,3
19711273333509,-4.4625,-16.331251,-45.9375,3
19711283333509,-7.5750003,-15.993751,-44.362503,3
19711293333509,-6.1312504,-15.056251,-45.46875,3
19711303333509,-7.8,-15.525001,-44.193752,3
19711313333509,-6.0750003,-16.556252,-44.98125,3
19711323333509,-7.1062503,-17.0625,-44.68125,3
19711333333509,-7.2562504,-17.7,-43.575,3
19711343333509,-7.36875,-17.212502,-42.65625,3
19711353333509,-6.3187504,-16.706251,-43.10625,3
19711363333509,-5.7937503,-15.50625,-43.818752,3
19711373333509,-5.34375,-15.450001,-42.787502,3
19711383333509,-5.775,-16.5,-44.7,3
19711393333509,-5.5687504,-16.85625,-43.5,3
19711403333509,-5.625,-15.6,-44.4375,3
19711413333509,-5.86875,-17.025002,-44.381252,3
19711423333509,-5.025,-15.900001,-45.73125,3
19711433333509,-6.6375003,-17.493752,-42.43125,3
19711443333509,-6.8250003,-17.400002,-41.175003,3
19711453333509,-5.49375,-16.331251,-43.21875,3
19711463333509,-6.7312503,-17.00625,-41.9625,3
19711473333509,-5.49375,-16.59375,-44.11875,3
19711483333509,-6.9375005,-15.656251,-43.068752,3
19711493333509,-6.3562503,-17.962502,-43.8375,3
19711503333509,-6.76875,-14.75625,-43.725002,3
19711513333509,-5.8125,-14.00625,-44.925003,3
19711523333509,-7.0875,-14.793751,-43.36875,3
19711533333509,-6.43125,-15.843751,-44.79375,3
19711543333509,-7.7250004,-17.268751,-41.53125,3
19711553333509,-5.0062504,-15.656251,-44.662502,3
19711563333509,-6.4687505,-17.85,-44.4375,3
19711573333509,-7.2187505,-16.706251,-44.53125,3
19711583333509,-6.525,-16.10625,-43.706253,3
19711593333509,-6.20625,-16.81875,-42.80625,3
19711603333509,-7.4812503,-16.85625,-41.8875,3
19711613333509,-6.4125004,-15.95625,-41.41875,3
19711623333509,-8.118751,-16.3125,-43.2,3
19711633333509,-7.3875003,-16.59375,-43.59375,3
19711643333509,-7.2562504,-16.706251,-43.143753,3
19711653333509,-7.6312504,-15.993751,-42.506252,3
