t_ns,wall_ms,type,text
19711143502968,1788549657317,SESSION_START,"20260905_005057_SNU_AJB_BA_run6"
19711143554583,1788549657317,CALIB_START,"stand still 15s"
19726143588275,1788549672317,CALIB_END,"n_fixes=14"
19726144087077,1788549672318,RIDE_START,""
19816361680636,1788549762536,STOP_CALIB_START,"stand still 15s"
19831361536672,1788549777535,STOP_CALIB_END,"n_fixes=15"
19831366900631,1788549777541,SESSION_END,""
