t_ns,gx,gy,gz
20923572939868,0.6426465,8.851743,4.1718144
20923577697785,0.6422381,8.851766,4.171831
20923582455702,0.6420681,8.851742,4.171906
20923587213618,0.64196736,8.8518,4.1717978
20923591971535,0.6421372,8.851794,4.1717844
20923596729504,0.64235175,8.851765,4.171813
20923601487421,0.6423622,8.851761,4.171819
20923606245337,0.6423032,8.851813,4.1717167
20923611003254,0.64222634,8.8518,4.171757
20923615761171,0.64202535,8.851765,4.1718645
20923620519139,0.6417644,8.851775,4.171881
20923625277056,0.64160645,8.851803,4.1718464
20923630034973,0.641433,8.851807,4.171865
20923634792889,0.64145625,8.851826,4.171825
20923639550806,0.64146847,8.851832,4.1718063
20923644308671,0.64145213,8.851834,4.171804
20923649066691,0.6416579,8.851817,4.1718106
20923653824608,0.64164525,8.851859,4.171722
20923658582525,0.6416684,8.851901,4.1716294
20923663340441,0.6415804,8.851874,4.1717014
20923668098358,0.64140475,8.851867,4.171745
20923672856327,0.6411832,8.851856,4.171798
20923677614243,0.6412033,8.851841,4.1718287
20923682372160,0.6412812,8.851766,4.171976
20923687130077,0.6415875,8.851718,4.172031
20923691887993,0.64170706,8.851643,4.1721725
20923696645962,0.64181525,8.851636,4.1721706
20923701403879,0.6421608,8.8516035,4.172185
20923706161796,0.642101,8.851585,4.1722336
20923710919712,0.6420872,8.85159,4.172226
20923715677629,0.6422133,8.8515625,4.1722636
20923720435598,0.64225554,8.851553,4.1722784
20923725193410,0.64220923,8.851545,4.1723022
20923729951431,0.6421851,8.8516035,4.1721826
20923734709348,0.6423598,8.851596,4.1721716
20923739467264,0.6425554,8.851631,4.1720667
20923744225233,0.64261615,8.851612,4.1720967
20923748983150,0.64283496,8.851616,4.1720557
20923753741066,0.6428475,8.85161,4.1720653
20923758498983,0.6429454,8.851599,4.1720734
20923763256900,0.6430231,8.851658,4.171936
20923768014816,0.64307153,8.851672,4.1719017
20923772772785,0.643197,8.851631,4.171969
20923777530702,0.64334536,8.851585,4.1720424
20923782288618,0.6433686,8.851523,4.1721687
20923787046535,0.6433025,8.851551,4.17212
20923791804452,0.6433503,8.85151,4.1722
20923796562421,0.6434561,8.851509,4.1721854
20923801320337,0.6435199,8.851491,4.1722155
20923806078254,0.64334494,8.851562,4.1720915
20923810836171,0.6432141,8.851584,4.172065
20923815594087,0.64321643,8.851508,4.172225
20923820352004,0.6432726,8.851465,4.1723075
20923825109973,0.6432336,8.851457,4.172333
20923829867889,0.64304787,8.851451,4.1723714
20923834625806,0.6430487,8.851463,4.172346
20923839383723,0.6430254,8.851452,4.1723747
20923844141691,0.64281166,8.851483,4.172341
20923848899608,0.6426949,8.851535,4.172249
20923853657525,0.64267516,8.851588,4.1721387
20923858415441,0.64271295,8.85161,4.1720862
20923863173358,0.64270437,8.851552,4.1722126
20923867931327,0.642791,8.851538,4.17223
20923872689243,0.64327526,8.85151,4.1722116
20923877447160,0.64402074,8.851385,4.172363
20923882205077,0.64489156,8.851187,4.1726494
20923886962993,0.64586776,8.851028,4.1728315
20923891720910,0.6470493,8.85092,4.172881
20923896478879,0.6479105,8.850979,4.1726227
20923901236796,0.64845806,8.850967,4.1725616
20923905994712,0.64902437,8.850951,4.172507
20923910752629,0.6495138,8.85108,4.1721582
20923915510546,0.64937174,8.851315,4.1716824
20923920268514,0.6480127,8.851498,4.171506
20923925026431,0.6459308,8.851907,4.1709604
20923929784348,0.64442044,8.852152,4.170673
20923934542264,0.6444606,8.852044,4.170894
20923939300181,0.6462474,8.852074,4.1705556
20923944058150,0.6490955,8.852163,4.1699243
20923948816014,0.6516526,8.852154,4.1695457
