t_ns,value
96466157740134,34.0
96466317743207,35.0
96466797740290,36.0
96466957739769,34.0
96467117740498,32.0
96467917744821,33.0
96469517739561,34.0
96470637745654,33.0
96471277742009,32.0
96472397742946,33.0
96473197745342,32.0
96473517740290,33.0
96473677755082,34.0
96474317780811,33.0
96475597925186,34.0
96476237932113,33.0
96476717740290,32.0
96477517740550,31.0
96477677744613,32.0
96478317741540,33.0
96478477744821,34.0
96479757744404,35.0
96480237782321,36.0
96480397742946,38.0
96480557747217,37.0
96480717739300,36.0
96480877843988,35.0
96481037741904,33.0
96481197742998,32.0
96484877741904,33.0
96485037744925,36.0
96485197739977,38.0
96485357739196,44.0
96485517745029,36.0
96485677835029,32.0
96486797778154,31.0
96486957741540,32.0
96487117745029,42.0
96487277739665,49.0
96487757744821,48.0
96487917740394,49.0
96490797741748,48.0
96492877744509,45.0
96493037741957,42.0
96493197739873,49.0
96493997758207,48.0
96494317744196,49.0
96494477739821,48.0
96498797795602,48.0
96502477928913,44.0
96502637741517,48.0
96502797741048,45.0
96502957739694,48.0
96506637741517,49.0
96510957742194,49.0
96511437739486,50.0
96511757744746,49.0
96516077739538,49.0
96516397743132,50.0
96516557744486,49.0
96517517897767,48.0
96517837744590,49.0
96518637739694,48.0
96518957748080,49.0
96523277739173,49.0
96527597779173,49.0
96531917739903,49.0
96534157745996,48.0
96536077741153,49.0
96537677738913,48.0
96537837742194,37.0
96537997741778,49.0
96542317741465,49.0
96543117944642,48.0
96543597739538,49.0
96545997742923,41.0
96546157739955,48.0
96547117742194,47.0
96547437746778,45.0
96547597739642,44.0
96547757787663,47.0
96548077742559,48.0
96548717744903,42.0
96548877739746,49.0
96553197741986,49.0
96554477742298,48.0
96554637744903,49.0
96558957741413,49.0
96563277743942,49.0
96567597739359,49.0
96571917739307,49.0
96576237743838,49.0
96579917931442,48.0
96580077742171,47.0
96580237743682,41.0
96580397740036,36.0
96580717741754,42.0
96580877742484,48.0
96581357741911,47.0
96581517757015,44.0
96581677739567,38.0
96581837740140,36.0
96582477740140,37.0
96582637743838,39.0
96582797742379,43.0
96582957739359,47.0
96583117744827,48.0
96583277741702,47.0
96583597740296,46.0
96584077744984,47.0
96584557770452,48.0
96585517746598,46.0
96585677739827,43.0
96585837888786,47.0
96585997743734,48.0
96586317738682,49.0
96589997743734,48.0
96590797744827,49.0
96593357742744,48.0
96593517739515,49.0
96593997741129,48.0
