t_ns,wall_ms,batt_pct,charging,batt_temp_c,thermal_status,rotation,free_bytes
96796990022549,1788626743372,83,true,36.1,0,0,5526376448
96802006339214,1788626748388,83,true,36.1,0,0,5523820544
96807027242077,1788626753409,83,true,36.1,0,0,5520617472
96812046700512,1788626758429,83,true,36.1,0,0,5517856768
96817062447333,1788626763444,83,true,36.1,0,0,5514686464
96822078796654,1788626768461,83,true,36.1,0,0,5511380992
96827097830819,1788626773480,83,true,36.1,0,0,5506220032
96832115582015,1788626778498,83,true,36.1,0,0,5502935040
96837133021128,1788626783515,83,true,36.1,0,0,5499297792
96842150358053,1788626788532,83,true,36.1,0,0,5496348672
96847167309718,1788626793549,83,true,36.1,0,0,5492719616
96852183581070,1788626798566,83,true,36.1,0,0,5488766976
96857196563203,1788626803579,83,true,36.1,0,0,5515317248
96862211260597,1788626808593,83,true,36.1,0,0,5512556544
96867227038877,1788626813609,83,true,36.1,0,0,5507670016
96872241300698,1788626818623,83,true,36.1,0,0,5502947328
96877258242310,1788626823640,83,true,36.1,0,0,5497217024
96882272511683,1788626828654,83,true,36.1,0,0,5491916800
96887290273036,1788626833672,83,true,36.1,0,0,5486096384
96892302449596,1788626838684,83,true,36.1,0,0,5480382464
96897319902876,1788626843702,83,true,36.1,0,0,5506400256
96902332747353,1788626848715,83,true,36.1,0,0,5500743680
96907352769382,1788626853735,83,true,36.1,0,0,5496414208
96912371087714,1788626858753,83,true,36.1,0,0,5491572736
96917389678285,1788626863772,83,true,36.1,0,0,5486419968
96922410407658,1788626868792,83,true,36.1,0,0,5481091072
96927426951979,1788626873809,83,true,36.1,0,0,5475667968
96932441370206,1788626878823,83,true,36.1,0,0,5470724096
96937460468641,1788626883842,83,true,36.1,0,0,5496958976
96942485722858,1788626888868,83,true,36.1,0,0,5491728384
