run,dir,cut,mode,mm,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s
1,AB,c10,general,0,293.59,101.99,17.0,5.79,8.24,17.22,16.89,15.0
1,AB,c30,general,0,228.88,81.99,4.07,1.78,4.71,7.28,4.18,15.0
1,AB,c60,general,0,139.77,51.99,6.12,4.38,3.71,6.34,6.01,15.0
1,AB,turn,general,0,224.46,80.46,4.08,1.82,4.71,7.24,4.19,15.0
2,BA,c10,general,0,281.02,85.21,8.25,2.94,5.16,9.73,8.15,15.0
2,BA,c30,general,0,209.8,65.21,1.35,0.64,0.78,1.38,1.57,15.0
2,BA,c60,general,0,103.4,35.21,2.59,2.5,2.09,2.97,2.71,15.0
2,BA,turn,general,0,100.16,34.26,2.59,2.58,2.12,2.97,2.71,15.0
3,AB,c10,general,0,285.48,91.73,1.44,0.5,2.93,4.07,1.31,15.0
3,AB,c30,general,0,218.77,71.73,3.45,1.58,1.76,3.49,3.29,15.0
3,AB,c60,general,0,105.57,41.73,3.96,3.75,2.45,4.01,3.8,15.0
3,AB,turn,general,0,220.07,72.1,3.34,1.52,1.7,3.38,3.18,15.0
4,BA,c10,general,0,275.02,76.58,5.08,1.85,4.48,6.76,5.07,15.0
4,BA,c30,general,0,193.22,56.58,2.77,1.43,1.82,3.23,2.7,15.0
4,BA,c60,general,0,80.49,26.58,3.11,3.86,2.12,3.2,3.04,15.0
4,BA,turn,general,0,97.59,31.55,3.1,3.18,2.13,3.19,3.03,15.0
5,AB,c10,general,0,282.05,84.07,6.61,2.34,2.49,6.61,6.34,15.0
5,AB,c30,general,0,212.32,64.07,8.02,3.78,3.23,8.02,7.74,15.0
5,AB,c60,general,0,104.22,34.07,8.8,8.44,3.68,8.8,8.54,15.0
5,AB,turn,general,0,222.98,67.19,7.79,3.49,3.12,7.79,7.5,15.0
6,BA,c10,general,0,284.08,77.59,5.53,1.95,4.4,7.53,5.6,15.0
6,BA,c30,general,0,203.65,57.59,8.51,4.18,5.88,10.32,8.57,15.0
6,BA,c60,general,0,90.64,27.59,3.43,3.79,3.83,4.95,3.55,15.0
6,BA,turn,general,0,102.5,31.02,3.55,3.47,3.89,5.09,3.67,15.0
7,AB,c10,general,0,284.52,81.98,7.86,2.76,6.23,8.46,7.67,15.0
7,AB,c30,general,0,211.79,61.98,7.26,3.43,5.16,7.26,7.2,15.0
7,AB,c60,general,0,103.22,31.98,6.3,6.1,4.6,6.3,6.36,15.0
7,AB,turn,general,0,224.04,65.26,7.02,3.13,5.05,7.02,6.96,15.0
9,BA,c10,general,0,285.95,82.78,3.2,1.12,1.55,3.24,3.02,15.0
9,BA,c30,general,0,219.91,62.78,5.56,2.53,2.36,5.59,5.21,15.0
9,BA,c60,general,0,107.12,32.78,4.86,4.54,3.01,4.89,4.89,15.0
9,BA,turn,general,0,101.63,31.28,4.88,4.8,3.08,4.91,4.9,15.0
10,AB,c10,general,0,272.58,59.46,14.1,5.17,10.9,17.13,13.86,15.0
10,AB,c30,general,0,178.84,39.46,8.4,4.7,7.8,12.12,8.16,15.0
10,AB,turn,general,0,218.36,48.11,9.67,4.43,8.32,13.45,9.41,15.0
11,BA,c10,general,0,268.5,51.6,9.48,3.53,8.26,12.71,8.48,15.0
11,BA,c30,general,0,137.97,31.6,2.66,1.93,3.76,5.45,2.75,15.0
11,BA,turn,general,0,96.85,24.4,2.53,2.61,3.59,5.11,2.79,15.0
12,AB,c10,general,0,279.62,59.61,8.24,2.95,10.66,14.92,7.71,14.99
12,AB,c30,general,0,191.09,39.61,3.76,1.97,9.69,12.21,3.32,14.99
12,AB,turn,general,0,226.52,47.89,4.14,1.83,9.81,13.21,3.47,14.99
13,BA,c10,general,0,264.64,59.65,8.98,3.39,16.19,20.48,8.92,15.0
13,BA,c30,general,0,142.86,39.65,1.93,1.35,8.12,10.88,1.88,15.0
13,BA,turn,general,0,101.42,29.95,3.21,3.16,5.76,8.72,3.24,15.0
14,AB,c10,general,0,271.32,59.52,20.3,7.48,11.15,20.55,20.65,15.65
14,AB,c30,general,0,171.36,39.52,1.35,0.79,4.21,5.7,1.46,15.65
14,AB,turn,general,0,223.93,49.91,3.23,1.44,5.25,7.27,3.01,15.65
15,BA,c10,general,0,268.17,66.35,11.36,4.24,9.03,11.96,11.69,15.03
15,BA,c30,general,0,168.34,46.35,10.27,6.1,7.29,10.53,10.57,15.03
15,BA,c60,general,0,41.22,16.35,5.67,13.76,5.13,5.97,5.96,15.03
15,BA,turn,general,0,98.36,30.54,8.9,9.05,7.06,9.15,9.2,15.03
16,AB,c10,general,0,277.69,79.42,17.06,6.15,7.1,17.06,17.16,15.0
16,AB,c30,general,0,197.62,59.42,16.5,8.35,7.68,16.5,16.54,15.0
16,AB,c60,general,0,84.59,29.42,16.9,19.97,10.41,16.9,16.96,15.0
